time,rtt_ms,operator
2024-05-27T14:57:23.528155-04:00,83.4,att
2024-05-27T14:57:23.714368-04:00,69.2,att
2024-05-27T14:57:23.926985-04:00,80.5,att
2024-05-27T14:57:24.115708-04:00,69.1,att
2024-05-27T14:57:24.315639-04:00,68.4,att
2024-05-27T14:57:24.518602-04:00,70.4,att
2024-05-27T14:57:24.716805-04:00,65.7,att
2024-05-27T14:57:24.925541-04:00,75.3,att
2024-05-27T14:57:25.124756-04:00,73.6,att
2024-05-27T14:57:25.316698-04:00,65.2,att
2024-05-27T14:57:25.514498-04:00,62.2,att
2024-05-27T14:57:25.725550-04:00,72.4,att
2024-05-27T14:57:25.933548-04:00,79.4,att
2024-05-27T14:57:26.124623-04:00,69.4,att
2024-05-27T14:57:26.327894-04:00,71.6,att
2024-05-27T14:57:26.532598-04:00,76.0,att
2024-05-27T14:57:26.733862-04:00,76.5,att
2024-05-27T14:57:26.925435-04:00,67.5,att
2024-05-27T14:57:27.125872-04:00,67.7,att
2024-05-27T14:57:27.325396-04:00,67.1,att
2024-05-27T14:57:27.525543-04:00,66.6,att
2024-05-27T14:57:27.726185-04:00,65.6,att
2024-05-27T14:57:27.943575-04:00,82.8,att
2024-05-27T14:57:28.144551-04:00,83.4,att
2024-05-27T14:57:28.325651-04:00,63.5,att
2024-05-27T14:57:28.535785-04:00,72.5,att
2024-05-27T14:57:28.744478-04:00,80.2,att
2024-05-27T14:57:28.937822-04:00,68.4,att
2024-05-27T14:57:29.136154-04:00,68.4,att
2024-05-27T14:57:29.329335-04:00,59.5,att
2024-05-27T14:57:29.528641-04:00,57.5,att
2024-05-27T14:57:29.752963-04:00,79.2,att
2024-05-27T14:57:29.944269-04:00,69.8,att
2024-05-27T14:57:30.146533-04:00,71.5,att
2024-05-27T14:57:30.348713-04:00,71.2,att
2024-05-27T14:57:30.548339-04:00,71.5,att
2024-05-27T14:57:30.738160-04:00,57.5,att
2024-05-27T14:57:30.946851-04:00,66.0,att
2024-05-27T14:57:31.148253-04:00,66.4,att
2024-05-27T14:57:31.348901-04:00,65.8,att
2024-05-27T14:57:31.555398-04:00,72.9,att
2024-05-27T14:57:31.756783-04:00,73.7,att
2024-05-27T14:57:31.960726-04:00,77.5,att
2024-05-27T14:57:32.154472-04:00,70.3,att
2024-05-27T14:57:32.365385-04:00,80.5,att
2024-05-27T14:57:32.556371-04:00,70.5,att
