time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-27T16:29:13.298345,167,6020,13467,45
2024-05-27T16:29:13.298391,187,12139,20475,59
2024-05-27T16:29:13.298437,183,13900,22072,63
2024-05-27T16:29:13.298483,177,14309,22221,64
2024-05-27T16:29:13.298528,175,14822,22654,65
2024-05-27T16:29:13.298574,167,14466,21921,66
2024-05-27T16:29:13.298620,158,15657,22714,69
2024-05-27T16:29:13.298668,155,14903,21821,68
2024-05-27T16:29:13.298714,163,15008,22296,67
2024-05-27T16:29:13.298759,168,15566,23079,67
2024-05-27T16:29:13.298804,160,15241,22363,68
2024-05-27T16:29:13.298849,161,14574,21769,67
2024-05-27T16:29:13.298894,169,14849,22376,66
2024-05-27T16:29:13.298938,154,15554,22447,69
2024-05-27T16:29:13.298984,171,14880,22501,66
2024-05-27T16:29:13.299029,169,14487,22021,66
2024-05-27T16:29:13.299073,166,14920,22312,67
2024-05-27T16:29:13.299118,162,15316,22566,68
2024-05-27T16:29:13.299166,164,17913,25227,71
2024-05-27T16:29:13.299211,152,12280,19082,64
2024-05-27T16:29:13.299255,153,15722,22547,70
2024-05-27T16:29:13.299300,140,16214,22449,72
2024-05-27T16:29:13.299345,149,15496,22165,70
2024-05-27T16:29:13.299390,145,15887,22363,71
2024-05-27T16:29:13.299436,153,15036,21870,69
2024-05-27T16:29:13.299483,152,15993,22759,70
2024-05-27T16:29:13.299528,149,15953,22590,71
2024-05-27T16:29:13.299573,138,16067,22249,72
2024-05-27T16:29:13.299618,139,16107,22297,72
2024-05-27T16:29:13.299664,151,15476,22203,70
2024-05-27T16:29:13.299708,153,15710,22555,70
2024-05-27T16:29:13.299752,147,14717,21277,69
2024-05-27T16:29:13.299799,157,16331,23350,70
2024-05-27T16:29:13.299871,155,15044,21984,68
2024-05-27T16:29:13.299919,150,15165,21863,69
2024-05-27T16:29:13.299963,146,16134,22647,71
2024-05-27T16:29:13.300007,115,17582,22700,77
2024-05-27T16:29:13.300051,135,16130,22169,73
2024-05-27T16:29:13.300097,138,16055,22221,72
2024-05-27T16:29:13.300141,143,15795,22201,71
2024-05-27T16:29:13.300185,127,16195,21850,74
2024-05-27T16:29:13.300229,127,16609,22262,75
2024-05-27T16:29:13.300273,141,16639,22927,73
2024-05-27T16:29:13.300319,157,15656,22673,69
