Start time: 1716846297271
[2024-05-27 17:44:57.551304] PING 35.245.244.238 (35.245.244.238) 38(66) bytes of data.
[2024-05-27 17:44:57.552362] 46 bytes from 35.245.244.238: icmp_seq=1 ttl=54 time=205 ms
[2024-05-27 17:44:57.644836] 46 bytes from 35.245.244.238: icmp_seq=2 ttl=54 time=93.3 ms
[2024-05-27 17:44:57.826898] 46 bytes from 35.245.244.238: icmp_seq=3 ttl=54 time=74.6 ms
[2024-05-27 17:44:58.023918] 46 bytes from 35.245.244.238: icmp_seq=4 ttl=54 time=70.5 ms
[2024-05-27 17:44:58.225093] 46 bytes from 35.245.244.238: icmp_seq=5 ttl=54 time=71.6 ms
[2024-05-27 17:44:58.425177] 46 bytes from 35.245.244.238: icmp_seq=6 ttl=54 time=70.4 ms
[2024-05-27 17:44:58.630079] 46 bytes from 35.245.244.238: icmp_seq=7 ttl=54 time=74.3 ms
[2024-05-27 17:44:58.835954] 46 bytes from 35.245.244.238: icmp_seq=8 ttl=54 time=79.4 ms
[2024-05-27 17:44:59.034982] 46 bytes from 35.245.244.238: icmp_seq=9 ttl=54 time=77.3 ms
[2024-05-27 17:44:59.254725] 46 bytes from 35.245.244.238: icmp_seq=10 ttl=54 time=96.8 ms
[2024-05-27 17:44:59.445257] 46 bytes from 35.245.244.238: icmp_seq=11 ttl=54 time=87.0 ms
[2024-05-27 17:44:59.634691] 46 bytes from 35.245.244.238: icmp_seq=12 ttl=54 time=75.9 ms
[2024-05-27 17:44:59.840956] 46 bytes from 35.245.244.238: icmp_seq=13 ttl=54 time=81.6 ms
[2024-05-27 17:45:00.036067] 46 bytes from 35.245.244.238: icmp_seq=14 ttl=54 time=76.4 ms
[2024-05-27 17:45:00.235819] 46 bytes from 35.245.244.238: icmp_seq=15 ttl=54 time=76.2 ms
[2024-05-27 17:45:00.445097] 46 bytes from 35.245.244.238: icmp_seq=16 ttl=54 time=84.6 ms
[2024-05-27 17:45:00.656276] 46 bytes from 35.245.244.238: icmp_seq=17 ttl=54 time=94.5 ms
[2024-05-27 17:45:00.835014] 46 bytes from 35.245.244.238: icmp_seq=18 ttl=54 time=72.3 ms
[2024-05-27 17:45:01.033114] 46 bytes from 35.245.244.238: icmp_seq=19 ttl=54 time=69.4 ms
[2024-05-27 17:45:01.245026] 46 bytes from 35.245.244.238: icmp_seq=20 ttl=54 time=81.1 ms
[2024-05-27 17:45:01.454145] 46 bytes from 35.245.244.238: icmp_seq=21 ttl=54 time=89.4 ms
[2024-05-27 17:45:01.655444] 46 bytes from 35.245.244.238: icmp_seq=22 ttl=54 time=89.4 ms
[2024-05-27 17:45:01.853184] 46 bytes from 35.245.244.238: icmp_seq=23 ttl=54 time=86.1 ms
[2024-05-27 17:45:02.055097] 46 bytes from 35.245.244.238: icmp_seq=24 ttl=54 time=87.2 ms
[2024-05-27 17:45:02.254802] 46 bytes from 35.245.244.238: icmp_seq=25 ttl=54 time=87.2 ms
[2024-05-27 17:45:02.456331] 46 bytes from 35.245.244.238: icmp_seq=26 ttl=54 time=87.6 ms
[2024-05-27 17:45:02.647196] 46 bytes from 35.245.244.238: icmp_seq=27 ttl=54 time=78.3 ms
[2024-05-27 17:45:02.845081] 46 bytes from 35.245.244.238: icmp_seq=28 ttl=54 time=75.1 ms
[2024-05-27 17:45:03.055955] 46 bytes from 35.245.244.238: icmp_seq=29 ttl=54 time=85.2 ms
[2024-05-27 17:45:03.266368] 46 bytes from 35.245.244.238: icmp_seq=30 ttl=54 time=84.8 ms
[2024-05-27 17:45:03.464800] 46 bytes from 35.245.244.238: icmp_seq=31 ttl=54 time=82.9 ms
[2024-05-27 17:45:03.664780] 46 bytes from 35.245.244.238: icmp_seq=32 ttl=54 time=82.4 ms
[2024-05-27 17:45:03.865314] 46 bytes from 35.245.244.238: icmp_seq=33 ttl=54 time=81.7 ms
[2024-05-27 17:45:04.065147] 46 bytes from 35.245.244.238: icmp_seq=34 ttl=54 time=81.2 ms
[2024-05-27 17:45:04.265618] 46 bytes from 35.245.244.238: icmp_seq=35 ttl=54 time=81.5 ms
[2024-05-27 17:45:04.465308] 46 bytes from 35.245.244.238: icmp_seq=36 ttl=54 time=81.0 ms
[2024-05-27 17:45:04.666153] 46 bytes from 35.245.244.238: icmp_seq=37 ttl=54 time=81.2 ms
[2024-05-27 17:45:04.874373] 46 bytes from 35.245.244.238: icmp_seq=38 ttl=54 time=88.6 ms
[2024-05-27 17:45:05.065021] 46 bytes from 35.245.244.238: icmp_seq=39 ttl=54 time=79.1 ms
[2024-05-27 17:45:05.265181] 46 bytes from 35.245.244.238: icmp_seq=40 ttl=54 time=79.4 ms
[2024-05-27 17:45:05.465223] 46 bytes from 35.245.244.238: icmp_seq=41 ttl=54 time=78.2 ms
[2024-05-27 17:45:05.676112] 46 bytes from 35.245.244.238: icmp_seq=42 ttl=54 time=88.3 ms
[2024-05-27 17:45:05.865310] 46 bytes from 35.245.244.238: icmp_seq=43 ttl=54 time=76.5 ms
[2024-05-27 17:45:06.066083] 46 bytes from 35.245.244.238: icmp_seq=44 ttl=54 time=76.2 ms
[2024-05-27 17:45:06.264943] 46 bytes from 35.245.244.238: icmp_seq=45 ttl=54 time=75.3 ms
[2024-05-27 17:45:06.483309] 46 bytes from 35.245.244.238: icmp_seq=46 ttl=54 time=92.6 ms
[2024-05-27 17:45:06.687536] 46 bytes from 35.245.244.238: icmp_seq=47 ttl=54 time=84.1 ms
[2024-05-27 17:45:06.883360] 46 bytes from 35.245.244.238: icmp_seq=48 ttl=54 time=92.0 ms
[2024-05-27 17:45:07.075156] 46 bytes from 35.245.244.238: icmp_seq=49 ttl=54 time=83.2 ms
[2024-05-27 17:45:07.278278] 46 bytes from 35.245.244.238: icmp_seq=50 ttl=54 time=86.3 ms
[2024-05-27 17:45:07.476016] 46 bytes from 35.245.244.238: icmp_seq=51 ttl=54 time=83.3 ms
[2024-05-27 17:45:07.681167] 46 bytes from 35.245.244.238: icmp_seq=52 ttl=54 time=81.5 ms
[2024-05-27 17:45:07.867909] 46 bytes from 35.245.244.238: icmp_seq=53 ttl=54 time=73.2 ms
[2024-05-27 17:45:08.076025] 46 bytes from 35.245.244.238: icmp_seq=54 ttl=54 time=80.6 ms
[2024-05-27 17:45:08.276024] 46 bytes from 35.245.244.238: icmp_seq=55 ttl=54 time=80.3 ms
[2024-05-27 17:45:08.475269] 46 bytes from 35.245.244.238: icmp_seq=56 ttl=54 time=78.3 ms
