time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-28T11:22:34.015076,3.9419,0,176,0.00
2024-05-28T11:22:34.573844,4.0091,0,179,0.00
2024-05-28T11:22:35.036661,4.5029,0,201,0.00
2024-05-28T11:22:35.522039,7.3251,0,327,0.00
2024-05-28T11:22:35.996670,7.0110,0,313,0.00
2024-05-28T11:22:36.536278,6.5854,0,294,0.00
2024-05-28T11:22:37.028778,6.6745,0,298,0.00
2024-05-28T11:22:37.584137,4.0996,0,183,0.00
2024-05-28T11:22:38.087069,5.2642,0,235,0.00
2024-05-28T11:22:38.539732,4.5920,0,205,0.00
2024-05-28T11:22:39.046352,4.4352,0,198,0.00
2024-05-28T11:22:39.498806,4.1888,0,187,0.00
2024-05-28T11:22:40.037672,4.1217,0,184,0.00
2024-05-28T11:22:40.543008,6.3615,0,284,0.00
2024-05-28T11:22:41.101770,4.9728,0,222,0.00
2024-05-28T11:22:41.498300,4.4575,0,199,0.00
2024-05-28T11:22:42.089726,6.0255,0,269,0.00
2024-05-28T11:22:42.647293,6.1382,0,274,0.00
2024-05-28T11:22:42.993656,4.1216,0,184,0.00
2024-05-28T11:22:43.602726,4.3229,0,193,0.00
2024-05-28T11:22:44.578773,3.8529,0,172,0.00
2024-05-28T11:22:44.578975,2.6879,-7,113,-6.19469
2024-05-28T11:22:45.082652,2.7553,0,123,0.00
2024-05-28T11:22:45.583319,4.3232,0,193,0.00
2024-05-28T11:22:46.034891,7.2130,0,322,0.00
2024-05-28T11:22:46.488326,9.6542,0,431,0.00
2024-05-28T11:22:47.051259,10.0131,0,447,0.00
2024-05-28T11:22:47.588031,5.2639,0,235,0.00
2024-05-28T11:22:48.146086,5.8911,0,263,0.00
2024-05-28T11:22:48.493001,9.7444,0,435,0.00
2024-05-28T11:22:49.002992,18.9937,0,848,0.00
2024-05-28T11:22:49.488887,19.0854,0,852,0.00
2024-05-28T11:22:50.002730,13.1720,0,588,0.00
2024-05-28T11:22:50.602046,4.9278,0,220,0.00
2024-05-28T11:22:51.002985,9.4084,0,420,0.00
2024-05-28T11:22:51.544464,19.0401,0,850,0.00
2024-05-28T11:22:51.998869,18.8382,0,841,0.00
2024-05-28T11:22:52.500079,20.2495,0,904,0.00
2024-05-28T11:22:53.003210,18.3449,0,819,0.00
2024-05-28T11:22:53.492627,15.3222,0,684,0.00
2024-05-28T11:22:54.000007,14.1785,0,633,0.00
2024-05-28T11:22:54.554889,7.0561,0,315,0.00
2024-05-28T11:22:55.007236,5.8240,0,260,0.00
2024-05-28T11:22:55.548508,11.8272,0,528,0.00
2024-05-28T11:22:55.998760,18.9061,0,844,0.00
2024-05-28T11:22:56.503172,18.8159,0,840,0.00
2024-05-28T11:22:57.014320,18.7930,0,839,0.00
2024-05-28T11:22:57.551377,19.8680,0,887,0.00
2024-05-28T11:22:58.003044,19.6011,0,875,0.00
2024-05-28T11:22:58.506964,19.6678,0,878,0.00
2024-05-28T11:22:59.012210,15.0080,0,670,0.00
2024-05-28T11:22:59.554986,19.3080,0,862,0.00
2024-05-28T11:23:00.054069,9.0050,0,402,0.00
2024-05-28T11:23:00.511162,14.5135,0,648,0.00
2024-05-28T11:23:01.010737,20.4750,1,915,0.11
2024-05-28T11:23:01.519226,19.0622,0,851,0.00
2024-05-28T11:23:02.001715,20.3625,0,909,0.00
2024-05-28T11:23:02.506873,20.2726,0,905,0.00
2024-05-28T11:23:03.006768,18.8366,0,841,0.00
2024-05-28T11:23:03.642100,15.9048,0,710,0.00
2024-05-28T11:23:04.201194,4.3231,0,193,0.00
2024-05-28T11:23:04.514686,3.5618,0,159,0.00
2024-05-28T11:23:05.049630,13.6855,0,611,0.00
2024-05-28T11:23:05.506620,19.0183,0,849,0.00
2024-05-28T11:23:06.011391,16.1494,0,721,0.00
2024-05-28T11:23:06.515074,15.2781,0,682,0.00
2024-05-28T11:23:07.056668,15.4556,0,690,0.00
2024-05-28T11:23:07.505722,19.6898,0,879,0.00
2024-05-28T11:23:08.062867,16.3059,0,728,0.00
2024-05-28T11:23:08.520547,16.1736,0,722,0.00
2024-05-28T11:23:09.053937,17.2932,0,772,0.00
2024-05-28T11:23:09.562245,11.9621,0,534,0.00
2024-05-28T11:23:10.019443,12.3200,0,550,0.00
2024-05-28T11:23:10.513816,17.8744,0,798,0.00
2024-05-28T11:23:11.006580,12.4543,0,556,0.00
2024-05-28T11:23:11.510974,14.8287,0,662,0.00
2024-05-28T11:23:12.018742,12.9251,0,577,0.00
2024-05-28T11:23:12.524304,15.6577,0,699,0.00
2024-05-28T11:23:13.007101,19.3991,0,866,0.00
2024-05-28T11:23:13.515937,19.4431,0,868,0.00
2024-05-28T11:23:14.022801,17.9192,0,800,0.00
2024-05-28T11:23:14.522967,20.0483,0,895,0.00
2024-05-28T11:23:15.011938,16.6880,0,745,0.00
