Start time: 1716924209525
[2024-05-28 15:23:53.185884] Connecting to host 35.245.244.238, port 5202
[2024-05-28 15:23:53.186516] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:23:53.186561] [  5] local 10.45.167.251 port 54356 connected to 35.245.244.238 port 5202
[2024-05-28 15:23:53.186594] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:23:53.186625] [  5]   0.00-0.50   sec  3.83 MBytes  64.3 Mbits/sec  0.129 ms  1341/4210 (32%)  
[2024-05-28 15:23:53.186656] [  5]   0.50-1.00   sec  12.2 MBytes   205 Mbits/sec  0.040 ms  13132/22291 (59%)  
[2024-05-28 15:23:53.186685] [  5]   1.00-1.50   sec  12.1 MBytes   203 Mbits/sec  0.068 ms  10073/19118 (53%)  
[2024-05-28 15:23:53.186714] [  5]   1.50-2.00   sec  13.6 MBytes   228 Mbits/sec  0.045 ms  12106/22294 (54%)  
[2024-05-28 15:23:53.186742] [  5]   2.00-2.50   sec  13.6 MBytes   227 Mbits/sec  0.048 ms  12065/22218 (54%)  
[2024-05-28 15:23:53.186770] [  5]   2.50-3.00   sec  13.5 MBytes   226 Mbits/sec  0.051 ms  12376/22472 (55%)  
[2024-05-28 15:23:53.186797] [  5]   3.00-3.50   sec  13.0 MBytes   218 Mbits/sec  0.250 ms  12429/22151 (56%)  
[2024-05-28 15:23:53.186825] [  5]   3.50-4.00   sec  13.5 MBytes   226 Mbits/sec  0.250 ms  12657/22733 (56%)  
[2024-05-28 15:23:53.186853] [  5]   4.00-4.50   sec  12.8 MBytes   214 Mbits/sec  0.260 ms  12467/22022 (57%)  
[2024-05-28 15:23:53.186881] [  5]   4.50-5.00   sec  13.1 MBytes   220 Mbits/sec  0.392 ms  12266/22084 (56%)  
[2024-05-28 15:23:53.186909] [  5]   5.00-5.50   sec  12.0 MBytes   202 Mbits/sec  0.047 ms  13391/22389 (60%)  
[2024-05-28 15:23:53.186937] [  5]   5.50-6.00   sec  12.4 MBytes   208 Mbits/sec  0.067 ms  13375/22672 (59%)  
[2024-05-28 15:23:53.186965] [  5]   6.00-6.50   sec  12.3 MBytes   206 Mbits/sec  0.163 ms  13134/22349 (59%)  
[2024-05-28 15:23:53.186992] [  5]   6.50-7.00   sec  12.8 MBytes   215 Mbits/sec  0.302 ms  12579/22193 (57%)  
[2024-05-28 15:23:53.187021] [  5]   7.00-7.50   sec  13.1 MBytes   219 Mbits/sec  0.282 ms  12453/22228 (56%)  
[2024-05-28 15:23:53.187049] [  5]   7.50-8.00   sec  12.7 MBytes   214 Mbits/sec  0.347 ms  11944/21484 (56%)  
[2024-05-28 15:23:53.187076] [  5]   8.00-8.50   sec  13.5 MBytes   226 Mbits/sec  0.065 ms  13220/23318 (57%)  
[2024-05-28 15:23:53.187103] [  5]   8.50-9.00   sec  13.7 MBytes   229 Mbits/sec  0.254 ms  11976/22219 (54%)  
[2024-05-28 15:23:53.187131] [  5]   9.00-9.50   sec  13.5 MBytes   227 Mbits/sec  0.275 ms  12120/22255 (54%)  
[2024-05-28 15:23:53.187159] [  5]   9.50-10.00  sec  13.7 MBytes   229 Mbits/sec  0.037 ms  12354/22588 (55%)  
[2024-05-28 15:23:53.187186] [  5]  10.00-10.50  sec  13.9 MBytes   234 Mbits/sec  0.048 ms  11837/22263 (53%)  
[2024-05-28 15:23:53.187214] [  5]  10.50-11.00  sec  13.9 MBytes   233 Mbits/sec  0.072 ms  11792/22175 (53%)  
[2024-05-28 15:23:53.187242] [  5]  11.00-11.50  sec  13.4 MBytes   224 Mbits/sec  0.313 ms  12391/22406 (55%)  
[2024-05-28 15:23:53.187271] [  5]  11.50-12.00  sec  13.3 MBytes   222 Mbits/sec  0.056 ms  12470/22401 (56%)  
[2024-05-28 15:23:53.187298] [  5]  12.00-12.50  sec  13.6 MBytes   228 Mbits/sec  0.035 ms  12072/22260 (54%)  
[2024-05-28 15:23:53.187326] [  5]  12.50-13.00  sec  12.8 MBytes   215 Mbits/sec  0.133 ms  11926/21508 (55%)  
[2024-05-28 15:23:53.187404] [  5]  13.00-13.50  sec  12.7 MBytes   214 Mbits/sec  0.097 ms  12407/21942 (57%)  
[2024-05-28 15:23:53.187437] [  5]  13.50-14.00  sec  14.0 MBytes   235 Mbits/sec  0.071 ms  12809/23295 (55%)  
[2024-05-28 15:23:53.187466] [  5]  14.00-14.50  sec  13.0 MBytes   218 Mbits/sec  0.268 ms  12632/22356 (57%)  
[2024-05-28 15:23:53.187494] [  5]  14.50-15.00  sec  14.0 MBytes   236 Mbits/sec  0.224 ms  11838/22358 (53%)  
[2024-05-28 15:23:53.187522] [  5]  15.00-15.50  sec  14.0 MBytes   234 Mbits/sec  0.047 ms  11853/22316 (53%)  
[2024-05-28 15:23:53.187549] [  5]  15.50-16.00  sec  13.8 MBytes   231 Mbits/sec  0.049 ms  12289/22592 (54%)  
[2024-05-28 15:23:53.187577] [  5]  16.00-16.50  sec  13.1 MBytes   219 Mbits/sec  0.096 ms  12406/22192 (56%)  
[2024-05-28 15:23:53.187631] [  5]  16.50-17.00  sec  14.0 MBytes   235 Mbits/sec  0.093 ms  11912/22389 (53%)  
[2024-05-28 15:23:53.187661] [  5]  17.00-17.50  sec  13.7 MBytes   229 Mbits/sec  0.031 ms  12160/22397 (54%)  
[2024-05-28 15:23:53.187689] [  5]  17.50-18.00  sec  13.7 MBytes   230 Mbits/sec  0.408 ms  11779/22040 (53%)  
[2024-05-28 15:23:53.187716] [  5]  18.00-18.50  sec  13.0 MBytes   217 Mbits/sec  0.223 ms  12655/22357 (57%)  
