time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-27T12:34:00.131101,85.0,26173,29975,87
2024-05-27T12:34:00.131188,101,8153,12658,64
2024-05-27T12:34:00.131277,257,12001,23487,51
2024-05-27T12:34:00.131362,221,13826,23707,58
2024-05-27T12:34:00.131448,198,11091,19944,56
2024-05-27T12:34:00.131534,516,5137,28153,18
2024-05-27T12:34:00.131619,299,14093,27459,51
2024-05-27T12:34:00.131703,338,13192,28261,47
2024-05-27T12:34:00.131787,354,11829,27614,43
2024-05-27T12:34:00.131871,212,11533,20981,55
2024-05-27T12:34:00.131954,354,7742,23529,33
2024-05-27T12:34:00.132037,324,7315,21771,34
2024-05-27T12:34:00.132120,307,9286,22975,40
2024-05-27T12:34:00.132294,298,8991,22291,40
2024-05-27T12:34:00.132384,338,6634,21707,31
2024-05-27T12:34:00.132468,311,8367,22267,38
2024-05-27T12:34:00.132553,317,7709,21851,35
2024-05-27T12:34:00.132636,237,12676,23262,54
2024-05-27T12:34:00.132720,322,7409,21782,34
2024-05-27T12:34:00.132803,325,8087,22597,36
2024-05-27T12:34:00.132887,255,7938,19337,41
2024-05-27T12:34:00.132970,284,8002,20685,39
2024-05-27T12:34:00.133052,259,7125,18692,38
2024-05-27T12:34:00.133138,272,6944,19070,36
2024-05-27T12:34:00.133222,245,5616,16554,34
2024-05-27T12:34:00.133306,161,9656,16852,57
2024-05-27T12:34:00.133390,35.8,15426,17023,91
2024-05-27T12:34:00.133473,44.0,25704,27670,93
2024-05-27T12:34:00.133558,190,13800,22299,62
2024-05-27T12:34:00.133641,129,12005,17754,68
2024-05-27T12:34:00.133724,129,20275,26023,78
2024-05-27T12:34:00.133806,137,14793,20909,71
2024-05-27T12:34:00.133890,65.3,8599,11516,75
2024-05-27T12:34:00.134007,92.5,31294,35421,88
2024-05-27T12:34:00.134099,184,14482,22714,64
2024-05-27T12:34:00.134186,222,12192,22109,55
2024-05-27T12:34:00.134269,160,14796,21954,67
2024-05-27T12:34:00.134352,248,11440,22491,51
2024-05-27T12:34:00.134436,206,13386,22589,59
2024-05-27T12:34:00.134520,210,12570,21954,57
2024-05-27T12:34:00.134602,178,14538,22499,65
2024-05-27T12:34:00.134688,93.3,9323,13487,69
2024-05-27T12:34:00.134770,23.2,30291,31329,97
