Start time: 1716932495084
[2024-05-28 17:41:36.198917] nuttcp-t: v8.1.4: socket
[2024-05-28 17:41:36.199965] nuttcp-t: buflen=65536, nstream=1, port=5002 tcp -> 35.245.244.238
[2024-05-28 17:41:36.200050] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 17:41:36.200121] nuttcp-t: connect to 35.245.244.238 with mss=1378, RTT=73.150 ms af=inet
[2024-05-28 17:41:36.200186] nuttcp-t: send window size = 524288, receive window size = 4194304
[2024-05-28 17:41:36.200250] nuttcp-t: available send window = 393216, available receive window = 3145728
[2024-05-28 17:41:36.200311] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-28 17:41:36.200372] nuttcp-r: v8.1.4: socket
[2024-05-28 17:41:36.200433] nuttcp-r: buflen=65536, nstream=1, port=5002 tcp
[2024-05-28 17:41:36.200492] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 17:41:36.200554] nuttcp-r: accept from 107.122.244.82 with af=inet
[2024-05-28 17:41:36.200615] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 17:41:36.200676] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 17:41:36.200762]     0.1875 MB /   0.50 sec =    3.1455 Mbps     0 retrans    263 KB-cwnd
[2024-05-28 17:41:36.895536]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans    678 KB-cwnd
[2024-05-28 17:41:37.391959]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans    975 KB-cwnd
[2024-05-28 17:41:37.970845]     0.3125 MB /   0.50 sec =    5.2426 Mbps     0 retrans   1103 KB-cwnd
[2024-05-28 17:41:38.601731]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans   1131 KB-cwnd
[2024-05-28 17:41:39.151098]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans   1131 KB-cwnd
[2024-05-28 17:41:39.151541]     0.3125 MB /   0.50 sec =    5.2427 Mbps     0 retrans   1131 KB-cwnd
[2024-05-28 17:41:39.767137]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans   1131 KB-cwnd
[2024-05-28 17:41:40.293205]     0.3125 MB /   0.50 sec =    5.2431 Mbps     0 retrans   1131 KB-cwnd
[2024-05-28 17:41:40.805233]     0.3125 MB /   0.50 sec =    5.2427 Mbps     0 retrans   1157 KB-cwnd
[2024-05-28 17:41:41.225264]     0.4375 MB /   0.50 sec =    7.3402 Mbps     0 retrans   1157 KB-cwnd
[2024-05-28 17:41:41.689025]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans   1157 KB-cwnd
[2024-05-28 17:41:42.506905]     0.4375 MB /   0.50 sec =    7.3396 Mbps     0 retrans   1232 KB-cwnd
[2024-05-28 17:41:42.878071]     0.4375 MB /   0.50 sec =    7.3403 Mbps     0 retrans   1243 KB-cwnd
[2024-05-28 17:41:43.337217]     0.4375 MB /   0.50 sec =    7.3405 Mbps     0 retrans   1243 KB-cwnd
[2024-05-28 17:41:43.856898]     0.3750 MB /   0.50 sec =    6.2913 Mbps     0 retrans    538 KB-cwnd
