time,throughput_mbps,retrans,cwnd_kb
2024-05-28T18:18:13.939902,6.2911,0,924
2024-05-28T18:18:14.484249,20.9699,0,1579
2024-05-28T18:18:14.754788,19.9224,0,1613
2024-05-28T18:18:15.294906,22.0199,0,1613
2024-05-28T18:18:15.844874,20.9729,0,1655
2024-05-28T18:18:16.354963,22.0206,0,1655
2024-05-28T18:18:16.908880,20.9708,0,1655
2024-05-28T18:18:17.471188,19.9231,0,1655
2024-05-28T18:18:17.735349,20.9718,0,1655
2024-05-28T18:18:18.317647,22.0207,0,1655
2024-05-28T18:18:18.855453,19.9218,0,1661
2024-05-28T18:18:19.390778,19.9231,0,1661
2024-05-28T18:18:19.940947,22.0201,0,1661
2024-05-28T18:18:20.479155,20.9702,0,1661
2024-05-28T18:18:20.751251,22.0229,0,1661
2024-05-28T18:18:21.311058,22.0178,0,1661
2024-05-28T18:18:21.841220,20.9720,0,1661
2024-05-28T18:18:22.321068,23.0672,0,1715
2024-05-28T18:18:22.847397,20.9726,0,1715
2024-05-28T18:18:23.372435,20.9720,0,1754
2024-05-28T18:18:23.897780,23.0690,0,1754
2024-05-28T18:18:24.427065,20.9721,0,1754
2024-05-28T18:18:24.723207,19.9220,0,1754
2024-05-28T18:18:25.279105,20.9713,0,1421
2024-05-28T18:18:25.856929,20.9721,0,1434
2024-05-28T18:18:26.479006,18.8743,0,1434
2024-05-28T18:18:26.754974,17.8257,0,1434
2024-05-28T18:18:27.336943,20.9723,0,1434
2024-05-28T18:18:28.011027,16.7764,0,1434
2024-05-28T18:18:28.319352,17.8252,0,1434
2024-05-28T18:18:28.878984,19.9252,0,1434
2024-05-28T18:18:29.277551,14.6787,0,1434
2024-05-28T18:18:29.903428,18.8759,0,1434
2024-05-28T18:18:30.252433,17.8249,0,1434
2024-05-28T18:18:30.984877,14.6798,0,1434
2024-05-28T18:18:31.311074,16.7777,0,1434
2024-05-28T18:18:32.048766,16.7771,0,1434
2024-05-28T18:18:32.525091,14.6803,0,1434
2024-05-28T18:18:33.007039,10.4859,0,1434
2024-05-28T18:18:33.375263,13.6302,0,1434
2024-05-28T18:18:33.869456,12.5833,0,1434
2024-05-28T18:18:34.318287,11.5332,0,1434
2024-05-28T18:18:35.050948,14.6826,0,1434
2024-05-28T18:18:35.519002,14.6799,0,1434
2024-05-28T18:18:35.951124,12.5826,0,1434
2024-05-28T18:18:36.615358,11.5343,0,1434
2024-05-28T18:18:37.532261,8.3875,0,1434
2024-05-28T18:18:37.532721,6.2913,0,1434
2024-05-28T18:18:38.526177,5.2438,0,1434
2024-05-28T18:18:38.526326,5.2425,0,1434
2024-05-28T18:18:39.629429,4.1943,0,1434
2024-05-28T18:18:39.629955,5.2430,0,1434
2024-05-28T18:18:40.936969,6.2917,1,1434
2024-05-28T18:18:40.937329,3.1456,0,1434
2024-05-28T18:18:40.937413,3.1459,0,1434
2024-05-28T18:18:41.391592,12.5828,0,1434
2024-05-28T18:18:42.598888,8.3884,0,1434
2024-05-28T18:18:42.599357,4.1942,0,1434
2024-05-28T18:18:43.188281,4.1945,0,1434
2024-05-28T18:18:43.504058,10.4850,0,1434
2024-05-28T18:18:44.075332,15.7304,0,1434
2024-05-28T18:18:44.745987,8.3875,0,1434
2024-05-28T18:18:44.746585,9.4383,0,1434
2024-05-28T18:18:45.357768,8.3879,0,1434
2024-05-28T18:18:45.952046,9.4372,0,1434
2024-05-28T18:18:46.431629,10.4865,0,1434
