Start time: 1716942426593
[2024-05-28 20:27:06.723856] PING 35.245.244.238 (35.245.244.238) 38(66) bytes of data.
[2024-05-28 20:27:06.724628] 46 bytes from 35.245.244.238: icmp_seq=1 ttl=56 time=87.8 ms
[2024-05-28 20:27:06.919001] 46 bytes from 35.245.244.238: icmp_seq=2 ttl=56 time=81.1 ms
[2024-05-28 20:27:07.127985] 46 bytes from 35.245.244.238: icmp_seq=3 ttl=56 time=89.8 ms
[2024-05-28 20:27:07.321525] 46 bytes from 35.245.244.238: icmp_seq=4 ttl=56 time=80.7 ms
[2024-05-28 20:27:07.535456] 46 bytes from 35.245.244.238: icmp_seq=5 ttl=56 time=95.2 ms
[2024-05-28 20:27:07.719176] 46 bytes from 35.245.244.238: icmp_seq=6 ttl=56 time=76.8 ms
[2024-05-28 20:27:07.919545] 46 bytes from 35.245.244.238: icmp_seq=7 ttl=56 time=76.0 ms
[2024-05-28 20:27:08.129407] 46 bytes from 35.245.244.238: icmp_seq=8 ttl=56 time=83.2 ms
[2024-05-28 20:27:08.323178] 46 bytes from 35.245.244.238: icmp_seq=9 ttl=56 time=77.3 ms
[2024-05-28 20:27:08.521046] 46 bytes from 35.245.244.238: icmp_seq=10 ttl=56 time=74.6 ms
[2024-05-28 20:27:08.737343] 46 bytes from 35.245.244.238: icmp_seq=11 ttl=56 time=90.3 ms
[2024-05-28 20:27:08.945415] 46 bytes from 35.245.244.238: icmp_seq=12 ttl=56 time=97.9 ms
[2024-05-28 20:27:09.128587] 46 bytes from 35.245.244.238: icmp_seq=13 ttl=56 time=80.2 ms
[2024-05-28 20:27:09.329214] 46 bytes from 35.245.244.238: icmp_seq=14 ttl=56 time=79.7 ms
[2024-05-28 20:27:09.529765] 46 bytes from 35.245.244.238: icmp_seq=15 ttl=56 time=79.1 ms
[2024-05-28 20:27:09.729064] 46 bytes from 35.245.244.238: icmp_seq=16 ttl=56 time=78.0 ms
[2024-05-28 20:27:09.949073] 46 bytes from 35.245.244.238: icmp_seq=17 ttl=56 time=96.1 ms
[2024-05-28 20:27:10.130401] 46 bytes from 35.245.244.238: icmp_seq=18 ttl=56 time=76.4 ms
[2024-05-28 20:27:10.345244] 46 bytes from 35.245.244.238: icmp_seq=19 ttl=56 time=91.9 ms
[2024-05-28 20:27:10.531612] 46 bytes from 35.245.244.238: icmp_seq=20 ttl=56 time=77.2 ms
[2024-05-28 20:27:10.729264] 46 bytes from 35.245.244.238: icmp_seq=21 ttl=56 time=74.7 ms
[2024-05-28 20:27:10.930726] 46 bytes from 35.245.244.238: icmp_seq=22 ttl=56 time=75.1 ms
[2024-05-28 20:27:11.138513] 46 bytes from 35.245.244.238: icmp_seq=23 ttl=56 time=81.9 ms
[2024-05-28 20:27:11.329975] 46 bytes from 35.245.244.238: icmp_seq=24 ttl=56 time=72.8 ms
[2024-05-28 20:27:11.533148] 46 bytes from 35.245.244.238: icmp_seq=25 ttl=56 time=72.9 ms
[2024-05-28 20:27:11.759179] 46 bytes from 35.245.244.238: icmp_seq=26 ttl=56 time=100 ms
[2024-05-28 20:27:11.939242] 46 bytes from 35.245.244.238: icmp_seq=27 ttl=56 time=78.8 ms
[2024-05-28 20:27:12.160310] 46 bytes from 35.245.244.238: icmp_seq=28 ttl=56 time=98.5 ms
[2024-05-28 20:27:12.339322] 46 bytes from 35.245.244.238: icmp_seq=29 ttl=56 time=77.8 ms
[2024-05-28 20:27:12.568273] 46 bytes from 35.245.244.238: icmp_seq=30 ttl=56 time=105 ms
[2024-05-28 20:27:12.741320] 46 bytes from 35.245.244.238: icmp_seq=31 ttl=56 time=78.0 ms
[2024-05-28 20:27:12.959325] 46 bytes from 35.245.244.238: icmp_seq=32 ttl=56 time=94.9 ms
[2024-05-28 20:27:13.149394] 46 bytes from 35.245.244.238: icmp_seq=33 ttl=56 time=84.0 ms
[2024-05-28 20:27:13.359359] 46 bytes from 35.245.244.238: icmp_seq=34 ttl=56 time=93.0 ms
[2024-05-28 20:27:13.561464] 46 bytes from 35.245.244.238: icmp_seq=35 ttl=56 time=94.1 ms
[2024-05-28 20:27:13.758988] 46 bytes from 35.245.244.238: icmp_seq=36 ttl=56 time=90.4 ms
[2024-05-28 20:27:13.961447] 46 bytes from 35.245.244.238: icmp_seq=37 ttl=56 time=91.5 ms
[2024-05-28 20:27:14.169057] 46 bytes from 35.245.244.238: icmp_seq=38 ttl=56 time=97.8 ms
[2024-05-28 20:27:14.358503] 46 bytes from 35.245.244.238: icmp_seq=39 ttl=56 time=86.9 ms
[2024-05-28 20:27:14.570630] 46 bytes from 35.245.244.238: icmp_seq=40 ttl=56 time=97.4 ms
[2024-05-28 20:27:14.750100] 46 bytes from 35.245.244.238: icmp_seq=41 ttl=56 time=77.4 ms
[2024-05-28 20:27:14.959123] 46 bytes from 35.245.244.238: icmp_seq=42 ttl=56 time=85.3 ms
[2024-05-28 20:27:15.157893] 46 bytes from 35.245.244.238: icmp_seq=43 ttl=56 time=83.1 ms
[2024-05-28 20:27:15.367938] 46 bytes from 35.245.244.238: icmp_seq=44 ttl=56 time=91.9 ms
[2024-05-28 20:27:15.568707] 46 bytes from 35.245.244.238: icmp_seq=45 ttl=56 time=91.5 ms
[2024-05-28 20:27:15.759089] 46 bytes from 35.245.244.238: icmp_seq=46 ttl=56 time=80.3 ms
[2024-05-28 20:27:15.960044] 46 bytes from 35.245.244.238: icmp_seq=47 ttl=56 time=80.1 ms
[2024-05-28 20:27:16.159193] 46 bytes from 35.245.244.238: icmp_seq=48 ttl=56 time=78.2 ms
[2024-05-28 20:27:16.360285] 46 bytes from 35.245.244.238: icmp_seq=49 ttl=56 time=78.1 ms
[2024-05-28 20:27:16.559010] 46 bytes from 35.245.244.238: icmp_seq=50 ttl=56 time=76.1 ms
[2024-05-28 20:27:16.768274] 46 bytes from 35.245.244.238: icmp_seq=51 ttl=56 time=82.8 ms
[2024-05-28 20:27:16.969220] 46 bytes from 35.245.244.238: icmp_seq=52 ttl=56 time=83.1 ms
[2024-05-28 20:27:17.169197] 46 bytes from 35.245.244.238: icmp_seq=53 ttl=56 time=81.9 ms
[2024-05-28 20:27:17.359232] 46 bytes from 35.245.244.238: icmp_seq=54 ttl=56 time=71.4 ms
[2024-05-28 20:27:17.559456] 46 bytes from 35.245.244.238: icmp_seq=55 ttl=56 time=71.3 ms
[2024-05-28 20:27:17.777609] 46 bytes from 35.245.244.238: icmp_seq=56 ttl=56 time=86.1 ms
[2024-05-28 20:27:17.986115] 46 bytes from 35.245.244.238: icmp_seq=57 ttl=56 time=94.0 ms
[2024-05-28 20:27:18.178983] 46 bytes from 35.245.244.238: icmp_seq=58 ttl=56 time=86.2 ms
