time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-29T11:51:20.964381,2.6203,0,117,0.00
2024-05-29T11:51:21.310819,3.5394,0,158,0.00
2024-05-29T11:51:21.918766,4.8161,0,215,0.00
2024-05-29T11:51:22.320578,3.2255,0,144,0.00
2024-05-29T11:51:22.823866,5.5324,0,247,0.00
2024-05-29T11:51:23.280466,5.4883,0,245,0.00
2024-05-29T11:51:24.083906,4.3233,0,193,0.00
2024-05-29T11:51:24.398988,3.8528,0,172,0.00
2024-05-29T11:51:25.088277,3.5167,0,157,0.00
2024-05-29T11:51:25.699909,2.5088,0,112,0.00
2024-05-29T11:51:25.855289,4.1216,0,184,0.00
2024-05-29T11:51:26.302701,4.3456,0,194,0.00
2024-05-29T11:51:26.910524,4.5025,0,201,0.00
2024-05-29T11:51:27.420331,3.8976,0,174,0.00
2024-05-29T11:51:27.768926,4.9954,0,223,0.00
2024-05-29T11:51:28.357002,5.4880,0,245,0.00
2024-05-29T11:51:28.816966,4.5247,0,202,0.00
2024-05-29T11:51:29.316960,5.0401,0,225,0.00
2024-05-29T11:51:29.878516,3.4267,0,153,0.00
2024-05-29T11:51:30.485562,3.1810,0,142,0.00
2024-05-29T11:51:30.795185,3.6961,0,165,0.00
2024-05-29T11:51:31.440166,3.4273,0,153,0.00
2024-05-29T11:51:32.063200,2.6655,0,119,0.00
2024-05-29T11:51:32.276159,2.6208,0,117,0.00
2024-05-29T11:51:32.784340,2.8672,0,128,0.00
2024-05-29T11:51:33.287481,4.5024,0,201,0.00
2024-05-29T11:51:33.977674,2.8895,0,129,0.00
2024-05-29T11:51:34.594813,2.7104,0,121,0.00
2024-05-29T11:51:34.954806,3.5618,0,159,0.00
2024-05-29T11:51:35.407036,3.3822,0,151,0.00
2024-05-29T11:51:35.812062,3.4048,0,152,0.00
2024-05-29T11:51:36.313964,3.0464,0,136,0.00
2024-05-29T11:51:36.878510,3.1137,0,139,0.00
2024-05-29T11:51:37.436646,3.1359,0,140,0.00
2024-05-29T11:51:37.780487,3.7408,0,167,0.00
2024-05-29T11:51:38.639955,3.7184,0,166,0.00
2024-05-29T11:51:38.796407,3.9423,0,176,0.00
2024-05-29T11:51:39.459424,3.5165,0,157,0.00
2024-05-29T11:51:39.767673,3.9203,0,175,0.00
2024-05-29T11:51:40.470230,4.6369,0,207,0.00
2024-05-29T11:51:40.891033,4.5473,0,203,0.00
2024-05-29T11:51:41.396126,4.0319,0,180,0.00
2024-05-29T11:51:41.851271,3.2478,0,145,0.00
2024-05-29T11:51:42.616623,2.6210,0,117,0.00
2024-05-29T11:51:43.124139,2.2175,0,99,0.00
2024-05-29T11:51:43.685069,2.0160,4,94,4.26
2024-05-29T11:51:43.841617,2.5984,35,151,23.18
2024-05-29T11:51:44.393107,2.8225,9,135,6.67
2024-05-29T11:51:45.062650,2.6656,0,119,0.00
2024-05-29T11:51:45.275161,3.0912,0,138,0.00
2024-05-29T11:51:45.881431,2.8671,0,128,0.00
2024-05-29T11:51:46.383101,1.4561,20,85,23.53
2024-05-29T11:51:46.933443,1.4335,42,106,39.62
2024-05-29T11:51:47.590632,1.9265,70,156,44.87
2024-05-29T11:51:48.045024,1.5456,10,79,12.66
2024-05-29T11:51:48.548333,0.9632,34,77,44.16
2024-05-29T11:51:49.210729,1.1424,138,189,73.02
2024-05-29T11:51:49.422918,1.6800,9,84,10.71
2024-05-29T11:51:49.885004,1.6352,16,89,17.98
2024-05-29T11:51:50.388931,1.8816,90,174,51.72
2024-05-29T11:51:50.949021,2.0832,19,112,16.96
2024-05-29T11:51:51.501318,2.1729,0,97,0.00
2024-05-29T11:51:52.061866,2.3519,0,105,0.00
2024-05-29T11:51:52.616467,3.0464,23,159,14.47
2024-05-29T11:51:53.126517,2.6878,0,120,0.00
2024-05-29T11:51:53.282758,3.3602,0,150,0.00
2024-05-29T11:51:53.839186,3.4720,0,155,0.00
2024-05-29T11:51:54.391924,3.8754,0,173,0.00
2024-05-29T11:51:54.847537,4.3457,0,194,0.00
2024-05-29T11:51:55.282742,5.6225,0,251,0.00
2024-05-29T11:51:55.787118,7.5485,0,337,0.00
2024-05-29T11:51:56.399198,4.6143,0,206,0.00
2024-05-29T11:51:56.902756,4.5250,0,202,0.00
2024-05-29T11:51:57.303391,4.4574,0,199,0.00
2024-05-29T11:51:57.841318,4.7938,0,214,0.00
2024-05-29T11:51:58.292211,5.7569,0,257,0.00
2024-05-29T11:51:58.851796,5.9582,0,266,0.00
2024-05-29T11:51:59.302530,5.8687,0,262,0.00
2024-05-29T11:51:59.943084,4.7040,0,210,0.00
2024-05-29T11:52:00.347546,4.0547,0,181,0.00
2024-05-29T11:52:00.794828,4.9950,0,223,0.00
2024-05-29T11:52:01.409378,4.8833,0,218,0.00
2024-05-29T11:52:01.858728,4.3457,0,194,0.00
2024-05-29T11:52:02.520885,3.6062,0,161,0.00
2024-05-29T11:52:03.082073,3.9425,0,176,0.00
2024-05-29T11:52:03.588259,3.4720,0,155,0.00
2024-05-29T11:52:03.950593,2.5985,0,116,0.00
2024-05-29T11:52:04.493524,2.3742,0,106,0.00
2024-05-29T11:52:05.209358,1.8369,46,128,35.94
2024-05-29T11:52:05.418811,1.8591,4,87,4.60
2024-05-29T11:52:05.977006,1.8816,54,138,39.13
2024-05-29T11:52:06.532040,1.6351,46,119,38.66
2024-05-29T11:52:07.091712,2.7776,12,136,8.82
2024-05-29T11:52:07.698969,1.8817,8,92,8.70
2024-05-29T11:52:08.151434,1.8145,8,89,8.99
2024-05-29T11:52:08.312291,1.9039,89,174,51.15
2024-05-29T11:52:09.316778,1.7026,18,94,19.15
2024-05-29T11:52:09.317326,1.6799,10,85,11.76
2024-05-29T11:52:09.972184,2.6880,35,155,22.58
2024-05-29T11:52:10.340801,3.2480,4,149,2.68
2024-05-29T11:52:10.823123,4.3903,0,196,0.00
2024-05-29T11:52:11.326959,4.0096,0,179,0.00
2024-05-29T11:52:11.934655,3.6063,0,161,0.00
2024-05-29T11:52:12.282501,3.6065,0,161,0.00
2024-05-29T11:52:12.978682,3.7633,0,168,0.00
2024-05-29T11:52:13.432321,3.6286,0,162,0.00
2024-05-29T11:52:13.886717,2.5090,0,112,0.00
2024-05-29T11:52:14.646174,3.0686,0,137,0.00
2024-05-29T11:52:14.854610,2.1728,0,97,0.00
2024-05-29T11:52:15.410932,2.1504,15,111,13.51
2024-05-29T11:52:15.861915,1.9488,53,140,37.86
2024-05-29T11:52:16.417337,1.8368,9,91,9.89
2024-05-29T11:52:16.981176,2.3295,7,111,6.31
2024-05-29T11:52:17.481861,2.3968,20,127,15.75
2024-05-29T11:52:18.043208,2.6881,7,127,5.51
2024-05-29T11:52:18.653338,1.8591,25,108,23.15
2024-05-29T11:52:18.806522,2.6880,0,120,0.00
2024-05-29T11:52:19.764990,1.8145,32,113,28.32
2024-05-29T11:52:19.919238,1.9487,24,111,21.62
2024-05-29T11:52:20.371648,2.1952,11,109,10.09
2024-05-29T11:52:20.983972,2.2400,29,129,22.48
2024-05-29T11:52:21.538031,2.1727,4,101,3.96
2024-05-29T11:52:22.200382,2.3297,22,126,17.46
2024-05-29T11:52:22.753990,2.4864,8,119,6.72
2024-05-29T11:52:22.912422,1.9264,22,108,20.37
2024-05-29T11:52:23.363964,2.4191,15,123,12.20
2024-05-29T11:52:23.969388,2.3072,8,111,7.21
2024-05-29T11:52:24.470041,2.0831,8,101,7.92
2024-05-29T11:52:25.234920,2.8449,19,146,13.01
2024-05-29T11:52:25.386939,2.3072,0,103,0.00
2024-05-29T11:52:25.943472,2.2400,15,115,13.04
2024-05-29T11:52:26.440857,2.0831,8,101,7.92
2024-05-29T11:52:26.997337,2.1057,30,124,24.19
2024-05-29T11:52:27.556877,2.0831,32,125,25.60
2024-05-29T11:52:28.068227,2.0608,0,92,0.00
2024-05-29T11:52:28.672773,1.8816,49,133,36.84
2024-05-29T11:52:28.826431,2.4864,16,127,12.60
2024-05-29T11:52:29.279996,2.7776,0,124,0.00
2024-05-29T11:52:29.834053,2.8671,0,128,0.00
2024-05-29T11:52:30.390856,3.6513,0,163,0.00
2024-05-29T11:52:31.054491,3.8527,0,172,0.00
2024-05-29T11:52:31.661655,3.5841,0,160,0.00
2024-05-29T11:52:31.870605,3.8528,0,172,0.00
2024-05-29T11:52:32.327057,2.2175,0,99,0.00
2024-05-29T11:52:32.887366,2.3296,0,104,0.00
2024-05-29T11:52:33.391605,2.6209,0,117,0.00
2024-05-29T11:52:34.052645,2.1951,32,130,24.62
2024-05-29T11:52:34.660043,2.0160,9,99,9.09
2024-05-29T11:52:34.816542,2.2624,5,106,4.72
2024-05-29T11:52:35.772965,1.7472,51,129,39.53
2024-05-29T11:52:35.773438,2.1281,20,115,17.39
2024-05-29T11:52:36.277755,1.6128,8,80,10.00
2024-05-29T11:52:36.782876,1.6577,31,105,29.52
2024-05-29T11:52:37.338670,1.1199,87,137,63.50
2024-05-29T11:52:37.899025,1.4336,56,120,46.67
2024-05-29T11:52:38.351775,1.2096,39,93,41.94
2024-05-29T11:52:38.959151,1.2992,89,147,60.54
2024-05-29T11:52:39.515236,1.2545,54,110,49.09
2024-05-29T11:52:40.024799,1.5456,30,99,30.30
2024-05-29T11:52:40.578400,1.4784,91,157,57.96
2024-05-29T11:52:41.291716,2.2624,13,114,11.40
2024-05-29T11:52:41.292129,3.4273,0,153,0.00
2024-05-29T11:52:41.797834,3.1358,0,140,0.00
2024-05-29T11:52:42.301543,3.3152,0,148,0.00
2024-05-29T11:52:42.802788,4.3905,0,196,0.00
2024-05-29T11:52:43.418961,3.7856,0,169,0.00
2024-05-29T11:52:43.783618,5.4431,0,243,0.00
2024-05-29T11:52:44.371490,5.4432,0,243,0.00
2024-05-29T11:52:44.771817,7.2577,0,324,0.00
2024-05-29T11:52:45.279375,7.5045,0,335,0.00
2024-05-29T11:52:45.866532,7.7277,0,345,0.00
2024-05-29T11:52:46.372689,6.1152,0,273,0.00
2024-05-29T11:52:46.830415,7.5713,0,338,0.00
2024-05-29T11:52:47.326705,7.6383,0,341,0.00
2024-05-29T11:52:47.871140,10.1476,0,453,0.00
2024-05-29T11:52:48.423574,6.7872,0,303,0.00
2024-05-29T11:52:48.827276,6.5403,0,292,0.00
2024-05-29T11:52:49.579128,4.3679,0,195,0.00
2024-05-29T11:52:49.944014,3.9425,0,176,0.00
2024-05-29T11:52:50.339123,3.1583,0,141,0.00
2024-05-29T11:52:51.038591,3.1586,0,141,0.00
2024-05-29T11:52:51.650676,2.3072,0,103,0.00
2024-05-29T11:52:51.807862,2.0832,10,103,9.71
2024-05-29T11:52:52.609263,1.8368,61,143,42.66
