time,rtt_ms,operator
2024-05-29T12:34:21.643948-04:00,104,att
2024-05-29T12:34:21.820153-04:00,81.0,att
2024-05-29T12:34:22.045926-04:00,106,att
2024-05-29T12:34:22.228999-04:00,89.3,att
2024-05-29T12:34:22.455239-04:00,114,att
2024-05-29T12:34:23.506461-04:00,965,att
2024-05-29T12:34:23.516675-04:00,767,att
2024-05-29T12:34:23.524799-04:00,574,att
2024-05-29T12:34:23.537578-04:00,386,att
2024-05-29T12:34:23.537771-04:00,177,att
2024-05-29T12:34:23.662581-04:00,101,att
2024-05-29T12:34:23.838940-04:00,76.6,att
2024-05-29T12:34:24.042984-04:00,80.1,att
2024-05-29T12:34:24.243998-04:00,81.2,att
2024-05-29T12:34:24.470443-04:00,106,att
2024-05-29T12:34:24.650991-04:00,86.8,att
2024-05-29T12:34:24.846976-04:00,82.3,att
2024-05-29T12:34:25.057026-04:00,91.2,att
2024-05-29T12:34:25.259976-04:00,94.2,att
2024-05-29T12:34:25.467709-04:00,100,att
2024-05-29T12:34:25.658917-04:00,91.5,att
2024-05-29T12:34:25.863026-04:00,94.4,att
2024-05-29T12:34:26.064910-04:00,95.3,att
2024-05-29T12:34:26.257001-04:00,87.4,att
2024-05-29T12:34:26.461123-04:00,90.4,att
2024-05-29T12:34:26.645782-04:00,74.0,att
2024-05-29T12:34:26.853087-04:00,80.5,att
2024-05-29T12:34:27.058972-04:00,86.1,att
2024-05-29T12:34:27.277881-04:00,105,att
2024-05-29T12:34:27.456805-04:00,83.3,att
2024-05-29T12:34:27.655902-04:00,81.3,att
2024-05-29T12:34:27.854896-04:00,79.4,att
2024-05-29T12:34:28.058235-04:00,81.4,att
2024-05-29T12:34:28.277163-04:00,100,att
2024-05-29T12:34:28.463833-04:00,86.1,att
2024-05-29T12:34:28.656017-04:00,77.5,att
2024-05-29T12:34:28.866934-04:00,87.2,att
2024-05-29T12:34:29.065763-04:00,85.3,att
2024-05-29T12:34:29.279922-04:00,99.4,att
2024-05-29T12:34:29.469689-04:00,88.3,att
2024-05-29T12:34:29.673496-04:00,91.1,att
2024-05-29T12:34:29.862185-04:00,78.8,att
2024-05-29T12:34:30.071946-04:00,88.1,att
2024-05-29T12:34:30.278936-04:00,95.2,att
2024-05-29T12:34:30.474825-04:00,90.2,att
2024-05-29T12:34:30.664883-04:00,79.4,att
2024-05-29T12:34:30.865088-04:00,78.3,att
2024-05-29T12:34:31.062782-04:00,75.0,att
2024-05-29T12:34:31.263151-04:00,75.6,att
2024-05-29T12:34:31.454817-04:00,67.0,att
2024-05-29T12:34:31.673818-04:00,85.1,att
2024-05-29T12:34:31.880878-04:00,91.4,att
2024-05-29T12:34:32.073070-04:00,82.4,att
2024-05-29T12:34:32.272647-04:00,81.9,att
2024-05-29T12:34:32.464788-04:00,73.4,att
2024-05-29T12:34:32.673126-04:00,80.5,att
2024-05-29T12:34:32.875101-04:00,82.2,att
2024-05-29T12:34:33.074039-04:00,80.2,att
2024-05-29T12:34:33.268361-04:00,74.6,att
2024-05-29T12:34:33.481802-04:00,87.8,att
2024-05-29T12:34:33.673382-04:00,78.8,att
2024-05-29T12:34:33.875182-04:00,80.3,att
2024-05-29T12:34:34.067189-04:00,71.3,att
2024-05-29T12:34:34.266807-04:00,70.9,att
2024-05-29T12:34:34.475007-04:00,78.5,att
2024-05-29T12:34:34.665693-04:00,68.1,att
2024-05-29T12:34:34.865030-04:00,66.5,att
2024-05-29T12:34:35.072739-04:00,74.1,att
2024-05-29T12:34:35.272850-04:00,74.4,att
2024-05-29T12:34:35.475830-04:00,76.4,att
2024-05-29T12:34:35.683468-04:00,82.6,att
2024-05-29T12:34:35.882769-04:00,81.7,att
2024-05-29T12:34:36.075767-04:00,74.2,att
2024-05-29T12:34:36.274813-04:00,72.4,att
2024-05-29T12:34:36.475869-04:00,72.2,att
2024-05-29T12:34:36.674662-04:00,70.2,att
2024-05-29T12:34:36.875100-04:00,69.5,att
2024-05-29T12:34:37.076872-04:00,71.2,att
2024-05-29T12:34:37.285569-04:00,79.1,att
2024-05-29T12:34:37.484638-04:00,77.5,att
2024-05-29T12:34:37.675013-04:00,66.4,att
2024-05-29T12:34:37.871671-04:00,62.1,att
2024-05-29T12:34:38.084931-04:00,74.4,att
2024-05-29T12:34:38.287018-04:00,75.5,att
2024-05-29T12:34:38.484878-04:00,72.1,att
2024-05-29T12:34:38.684724-04:00,71.3,att
2024-05-29T12:34:38.886213-04:00,71.4,att
2024-05-29T12:34:39.101592-04:00,86.9,att
2024-05-29T12:34:39.284866-04:00,69.5,att
2024-05-29T12:34:39.479938-04:00,63.4,att
2024-05-29T12:34:39.767142-04:00,149,att
2024-05-29T12:34:39.887669-04:00,69.0,att
2024-05-29T12:34:40.083936-04:00,64.4,att
2024-05-29T12:34:40.283889-04:00,63.2,att
2024-05-29T12:34:40.483039-04:00,61.3,att
2024-05-29T12:34:40.688825-04:00,66.0,att
2024-05-29T12:34:40.888028-04:00,64.3,att
2024-05-29T12:34:41.089912-04:00,65.1,att
2024-05-29T12:34:41.301669-04:00,76.0,att
2024-05-29T12:34:41.506857-04:00,80.5,att
2024-05-29T12:34:41.702951-04:00,75.2,att
2024-05-29T12:34:41.905724-04:00,77.1,att
2024-05-29T12:34:42.114805-04:00,85.3,att
2024-05-29T12:34:42.306511-04:00,76.0,att
2024-05-29T12:34:42.506826-04:00,75.5,att
2024-05-29T12:34:42.700010-04:00,67.4,att
2024-05-29T12:34:42.907122-04:00,73.2,att
2024-05-29T12:34:43.105749-04:00,71.0,att
2024-05-29T12:34:43.312774-04:00,77.4,att
2024-05-29T12:34:43.549254-04:00,112,att
2024-05-29T12:34:43.724085-04:00,87.0,att
2024-05-29T12:34:43.919869-04:00,82.1,att
2024-05-29T12:34:44.114003-04:00,75.4,att
2024-05-29T12:34:44.315754-04:00,76.2,att
2024-05-29T12:34:44.516814-04:00,76.3,att
2024-05-29T12:34:44.723852-04:00,82.2,att
2024-05-29T12:34:44.915123-04:00,72.4,att
2024-05-29T12:34:45.114561-04:00,72.0,att
2024-05-29T12:34:45.334848-04:00,91.5,att
2024-05-29T12:34:45.516862-04:00,73.2,att
2024-05-29T12:34:45.718198-04:00,73.4,att
2024-05-29T12:34:45.916785-04:00,71.0,att
2024-05-29T12:34:46.147846-04:00,101,att
2024-05-29T12:34:46.323584-04:00,76.2,att
2024-05-29T12:34:46.525731-04:00,77.4,att
2024-05-29T12:34:46.732800-04:00,83.3,att
2024-05-29T12:34:46.935872-04:00,85.3,att
2024-05-29T12:34:47.127728-04:00,76.2,att
2024-05-29T12:34:47.341845-04:00,89.4,att
2024-05-29T12:34:47.525691-04:00,72.2,att
2024-05-29T12:34:47.724840-04:00,70.4,att
2024-05-29T12:34:47.925748-04:00,70.3,att
2024-05-29T12:34:48.135282-04:00,78.8,att
2024-05-29T12:34:48.316593-04:00,59.8,att
2024-05-29T12:34:48.517880-04:00,60.5,att
2024-05-29T12:34:48.736990-04:00,78.2,att
2024-05-29T12:34:48.944216-04:00,84.4,att
2024-05-29T12:34:49.122986-04:00,62.1,att
2024-05-29T12:34:49.323145-04:00,61.3,att
2024-05-29T12:34:49.525749-04:00,63.0,att
2024-05-29T12:34:49.753305-04:00,89.4,att
2024-05-29T12:34:49.924871-04:00,61.0,att
2024-05-29T12:34:50.127968-04:00,63.3,att
2024-05-29T12:34:50.328820-04:00,63.2,att
2024-05-29T12:34:50.535918-04:00,69.3,att
2024-05-29T12:34:50.727976-04:00,60.3,att
2024-05-29T12:34:50.941039-04:00,72.3,att
2024-05-29T12:34:51.154822-04:00,85.0,att
2024-05-29T12:34:51.345943-04:00,75.4,att
