time,throughput_mbps,retrans,cwnd_kb
2024-05-27T11:21:12.143159,3.1455,66,144
2024-05-27T11:21:12.695666,16.7779,4,81
2024-05-27T11:21:13.082564,9.4373,0,83
2024-05-27T11:21:13.814829,13.6303,1,72
2024-05-27T11:21:14.306971,11.5344,0,78
2024-05-27T11:21:14.816364,13.6313,1,72
2024-05-27T11:21:15.310871,11.5339,0,78
2024-05-27T11:21:15.756087,13.6317,0,83
2024-05-27T11:21:16.191594,14.6807,1,82
2024-05-27T11:21:16.633276,13.6318,1,68
2024-05-27T11:21:17.123370,12.5823,0,74
2024-05-27T11:21:17.596944,13.6326,0,79
2024-05-27T11:21:18.107049,12.5819,1,83
2024-05-27T11:21:18.623360,13.6319,1,70
2024-05-27T11:21:19.094650,12.5833,0,75
2024-05-27T11:21:19.790375,13.6309,0,82
2024-05-27T11:21:20.178895,14.6799,5,71
2024-05-27T11:21:20.711491,12.5827,0,70
2024-05-27T11:21:21.201887,12.5840,0,75
2024-05-27T11:21:21.700946,12.5821,1,79
2024-05-27T11:21:22.263162,11.5341,1,68
2024-05-27T11:21:22.785873,11.5346,0,74
2024-05-27T11:21:23.290396,12.5828,1,112
2024-05-27T11:21:23.683768,16.7782,2,83
2024-05-27T11:21:24.187301,12.5825,1,70
2024-05-27T11:21:24.687730,12.5837,0,75
2024-05-27T11:21:25.347753,10.4847,0,88
2024-05-27T11:21:25.593548,12.5830,2,130
2024-05-27T11:21:26.135910,11.5342,4,88
2024-05-27T11:21:26.631753,12.5831,0,92
2024-05-27T11:21:27.171550,11.5345,0,96
2024-05-27T11:21:27.683474,10.4855,2,89
2024-05-27T11:21:28.117410,15.7294,0,93
2024-05-27T11:21:28.684303,15.7273,2,78
2024-05-27T11:21:29.088606,14.6806,0,83
2024-05-27T11:21:29.659288,16.7778,0,90
2024-05-27T11:21:30.091412,22.0204,3,129
2024-05-27T11:21:30.614191,18.8752,2,89
2024-05-27T11:21:31.314076,13.6303,0,96
2024-05-27T11:21:31.765702,13.6317,0,101
2024-05-27T11:21:32.203041,12.5828,1,111
2024-05-27T11:21:32.645963,16.7774,0,115
2024-05-27T11:21:33.090406,14.6799,0,118
2024-05-27T11:21:33.879324,15.7286,1,103
2024-05-27T11:21:34.192272,14.6804,0,116
2024-05-27T11:21:34.648852,20.9716,1,99
2024-05-27T11:21:35.227199,16.7772,1,83
2024-05-27T11:21:35.622423,14.6800,0,88
2024-05-27T11:21:36.315189,13.6313,1,77
2024-05-27T11:21:36.826823,13.6322,0,83
2024-05-27T11:21:37.326871,12.5826,3,158
2024-05-27T11:21:37.783472,16.7767,3,86
2024-05-27T11:21:38.133242,13.6318,0,90
2024-05-27T11:21:38.726946,11.5349,0,94
2024-05-27T11:21:39.222990,13.6305,0,100
2024-05-27T11:21:39.717160,15.7287,2,149
2024-05-27T11:21:40.182235,20.9722,3,115
2024-05-27T11:21:40.682973,23.0651,0,122
2024-05-27T11:21:41.082815,17.8283,3,92
2024-05-27T11:21:41.872740,15.7289,1,77
2024-05-27T11:21:42.224253,10.4855,0,81
2024-05-27T11:21:42.882811,11.5351,0,89
2024-05-27T11:21:43.283533,9.4367,0,134
2024-05-27T11:21:43.877274,12.5834,2,132
2024-05-27T11:21:44.129101,12.5822,0,134
2024-05-27T11:21:44.618776,14.6805,0,140
2024-05-27T11:21:45.156955,12.5817,2,133
2024-05-27T11:21:45.709554,14.6816,0,137
2024-05-27T11:21:46.198495,13.6314,1,132
2024-05-27T11:21:46.666506,15.7281,1,114
2024-05-27T11:21:47.153739,15.7289,0,122
2024-05-27T11:21:47.770930,16.7762,4,126
2024-05-27T11:21:48.195253,18.8756,0,132
2024-05-27T11:21:48.682499,15.7282,2,114
2024-05-27T11:21:49.274888,13.6320,0,121
2024-05-27T11:21:49.610456,12.5826,0,123
2024-05-27T11:21:50.100787,14.6811,4,143
2024-05-27T11:21:50.758655,12.5822,3,104
2024-05-27T11:21:51.103362,10.4857,0,107
2024-05-27T11:21:51.792917,11.5349,0,115
