Start time: 1716825884133
[2024-05-27 12:04:44.267654] PING 35.245.244.238 (35.245.244.238) 38(66) bytes of data.
[2024-05-27 12:04:44.268336] 46 bytes from 35.245.244.238: icmp_seq=1 ttl=59 time=84.6 ms
[2024-05-27 12:04:44.467216] 46 bytes from 35.245.244.238: icmp_seq=2 ttl=59 time=81.7 ms
[2024-05-27 12:04:44.633221] 46 bytes from 35.245.244.238: icmp_seq=3 ttl=59 time=44.2 ms
[2024-05-27 12:04:44.839200] 46 bytes from 35.245.244.238: icmp_seq=4 ttl=59 time=46.7 ms
[2024-05-27 12:04:45.043900] 46 bytes from 35.245.244.238: icmp_seq=5 ttl=59 time=51.3 ms
[2024-05-27 12:04:45.250961] 46 bytes from 35.245.244.238: icmp_seq=6 ttl=59 time=58.2 ms
[2024-05-27 12:04:45.458672] 46 bytes from 35.245.244.238: icmp_seq=7 ttl=59 time=65.1 ms
[2024-05-27 12:04:45.704864] 46 bytes from 35.245.244.238: icmp_seq=8 ttl=59 time=110 ms
[2024-05-27 12:04:45.911519] 46 bytes from 35.245.244.238: icmp_seq=9 ttl=59 time=115 ms
[2024-05-27 12:04:46.120996] 46 bytes from 35.245.244.238: icmp_seq=10 ttl=59 time=125 ms
[2024-05-27 12:04:46.238490] 46 bytes from 35.245.244.238: icmp_seq=11 ttl=59 time=43.6 ms
[2024-05-27 12:04:46.445940] 46 bytes from 35.245.244.238: icmp_seq=12 ttl=59 time=49.1 ms
[2024-05-27 12:04:46.777614] 46 bytes from 35.245.244.238: icmp_seq=13 ttl=59 time=179 ms
[2024-05-27 12:04:46.856360] 46 bytes from 35.245.244.238: icmp_seq=14 ttl=59 time=56.6 ms
[2024-05-27 12:04:47.103552] 46 bytes from 35.245.244.238: icmp_seq=15 ttl=59 time=102 ms
[2024-05-27 12:04:47.258423] 46 bytes from 35.245.244.238: icmp_seq=16 ttl=59 time=56.9 ms
[2024-05-27 12:04:47.439973] 46 bytes from 35.245.244.238: icmp_seq=17 ttl=59 time=37.5 ms
[2024-05-27 12:04:47.634476] 46 bytes from 35.245.244.238: icmp_seq=18 ttl=59 time=32.0 ms
[2024-05-27 12:04:47.856663] 46 bytes from 35.245.244.238: icmp_seq=19 ttl=59 time=52.6 ms
[2024-05-27 12:04:48.035288] 46 bytes from 35.245.244.238: icmp_seq=20 ttl=59 time=28.9 ms
[2024-05-27 12:04:48.238440] 46 bytes from 35.245.244.238: icmp_seq=21 ttl=59 time=32.7 ms
[2024-05-27 12:04:48.444027] 46 bytes from 35.245.244.238: icmp_seq=22 ttl=59 time=33.1 ms
[2024-05-27 12:04:48.642187] 46 bytes from 35.245.244.238: icmp_seq=23 ttl=59 time=31.5 ms
[2024-05-27 12:04:48.848118] 46 bytes from 35.245.244.238: icmp_seq=24 ttl=59 time=35.8 ms
[2024-05-27 12:04:49.041368] 46 bytes from 35.245.244.238: icmp_seq=25 ttl=59 time=29.1 ms
[2024-05-27 12:04:49.244943] 46 bytes from 35.245.244.238: icmp_seq=26 ttl=59 time=31.6 ms
[2024-05-27 12:04:49.456275] 46 bytes from 35.245.244.238: icmp_seq=27 ttl=59 time=41.7 ms
[2024-05-27 12:04:49.644129] 46 bytes from 35.245.244.238: icmp_seq=28 ttl=59 time=29.9 ms
[2024-05-27 12:04:49.846308] 46 bytes from 35.245.244.238: icmp_seq=29 ttl=59 time=30.9 ms
[2024-05-27 12:04:50.051025] 46 bytes from 35.245.244.238: icmp_seq=30 ttl=59 time=33.6 ms
[2024-05-27 12:04:50.275129] 46 bytes from 35.245.244.238: icmp_seq=31 ttl=59 time=57.0 ms
[2024-05-27 12:04:50.479880] 46 bytes from 35.245.244.238: icmp_seq=32 ttl=59 time=62.0 ms
[2024-05-27 12:04:50.686452] 46 bytes from 35.245.244.238: icmp_seq=33 ttl=59 time=66.4 ms
[2024-05-27 12:04:50.894274] 46 bytes from 35.245.244.238: icmp_seq=34 ttl=59 time=75.0 ms
