Start time: 1716833431198
[2024-05-27 14:10:32.483936] nuttcp-t: v8.1.4: socket
[2024-05-27 14:10:32.484894] nuttcp-t: buflen=65536, nstream=1, port=5003 tcp -> 35.245.244.238
[2024-05-27 14:10:32.484958] nuttcp-t: time limit = 120.00 seconds
[2024-05-27 14:10:32.485004] nuttcp-t: connect to 35.245.244.238 with mss=1408, RTT=47.189 ms af=inet
[2024-05-27 14:10:32.485048] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-05-27 14:10:32.485089] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-05-27 14:10:32.485128] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-27 14:10:32.485169] nuttcp-r: v8.1.4: socket
[2024-05-27 14:10:32.485207] nuttcp-r: buflen=65536, nstream=1, port=5003 tcp
[2024-05-27 14:10:32.485244] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-27 14:10:32.485284] nuttcp-r: accept from 98.97.21.66 with af=inet
[2024-05-27 14:10:32.485324] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-27 14:10:32.485362] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-27 14:10:32.485414]     0.2500 MB /   0.50 sec =    4.1933 Mbps    18 retrans    207 KB-cwnd
[2024-05-27 14:10:32.690943]     1.0000 MB /   0.50 sec =   16.7792 Mbps     8 retrans    163 KB-cwnd
[2024-05-27 14:10:33.084591]     0.9375 MB /   0.50 sec =   15.7297 Mbps     6 retrans    108 KB-cwnd
[2024-05-27 14:10:34.087715]     0.8125 MB /   0.50 sec =   13.6316 Mbps     1 retrans     96 KB-cwnd
[2024-05-27 14:10:34.088157]     0.6250 MB /   0.50 sec =   10.4849 Mbps     0 retrans     96 KB-cwnd
[2024-05-27 14:10:34.655394]     0.6250 MB /   0.50 sec =   10.4857 Mbps     0 retrans    100 KB-cwnd
[2024-05-27 14:10:35.303053]     0.5625 MB /   0.50 sec =    9.4373 Mbps     2 retrans     82 KB-cwnd
[2024-05-27 14:10:36.084712]     0.4375 MB /   0.50 sec =    7.3395 Mbps     2 retrans     78 KB-cwnd
[2024-05-27 14:10:36.085264]     0.4375 MB /   0.50 sec =    7.3406 Mbps     0 retrans     78 KB-cwnd
[2024-05-27 14:10:36.768076]     0.5000 MB /   0.50 sec =    8.3879 Mbps     0 retrans     82 KB-cwnd
[2024-05-27 14:10:37.456162]     0.5625 MB /   0.50 sec =    9.4377 Mbps     0 retrans     86 KB-cwnd
[2024-05-27 14:10:38.122765]     0.4375 MB /   0.50 sec =    7.3402 Mbps     2 retrans     81 KB-cwnd
[2024-05-27 14:10:38.123263]     0.5625 MB /   0.50 sec =    9.4372 Mbps     0 retrans     81 KB-cwnd
[2024-05-27 14:10:38.818678]     0.4375 MB /   0.50 sec =    7.3400 Mbps     1 retrans     67 KB-cwnd
[2024-05-27 14:10:39.980898]     0.4375 MB /   0.50 sec =    7.3401 Mbps     3 retrans     44 KB-cwnd
[2024-05-27 14:10:39.981299]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     44 KB-cwnd
[2024-05-27 14:10:41.298797]     0.1875 MB /   0.50 sec =    3.1458 Mbps     2 retrans     42 KB-cwnd
[2024-05-27 14:10:41.299302]     0.3125 MB /   0.50 sec =    5.2427 Mbps     0 retrans     42 KB-cwnd
[2024-05-27 14:10:41.299420]     0.1875 MB /   0.50 sec =    3.1458 Mbps     0 retrans     42 KB-cwnd
[2024-05-27 14:10:42.403135]     0.3125 MB /   0.50 sec =    5.2429 Mbps     1 retrans     42 KB-cwnd
[2024-05-27 14:10:42.403674]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     42 KB-cwnd
[2024-05-27 14:10:43.482509]     0.4375 MB /   0.50 sec =    7.3393 Mbps     6 retrans     31 KB-cwnd
[2024-05-27 14:10:43.483001]     0.3125 MB /   0.50 sec =    5.2434 Mbps     0 retrans     31 KB-cwnd
[2024-05-27 14:10:44.796303]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans     42 KB-cwnd
[2024-05-27 14:10:44.796699]     0.3125 MB /   0.50 sec =    5.2427 Mbps     0 retrans     42 KB-cwnd
[2024-05-27 14:10:44.796810]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans     42 KB-cwnd
[2024-05-27 14:10:45.715922]     0.2500 MB /   0.50 sec =    4.1942 Mbps     4 retrans     37 KB-cwnd
[2024-05-27 14:10:45.716491]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans     37 KB-cwnd
[2024-05-27 14:10:46.581897]     0.3750 MB /   0.50 sec =    6.2910 Mbps     0 retrans     46 KB-cwnd
[2024-05-27 14:10:46.582425]     0.4375 MB /   0.50 sec =    7.3405 Mbps     0 retrans     46 KB-cwnd
[2024-05-27 14:10:47.209859]     0.5625 MB /   0.50 sec =    9.4371 Mbps     3 retrans     46 KB-cwnd
[2024-05-27 14:10:48.073747]     0.5000 MB /   0.50 sec =    8.3887 Mbps     6 retrans     34 KB-cwnd
[2024-05-27 14:10:48.074456]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     34 KB-cwnd
[2024-05-27 14:10:49.026980]     0.3750 MB /   0.50 sec =    6.2915 Mbps     3 retrans     92 KB-cwnd
[2024-05-27 14:10:49.567337]     0.4375 MB /   0.50 sec =    7.3391 Mbps    11 retrans     48 KB-cwnd
[2024-05-27 14:10:49.567845]     0.6250 MB /   0.50 sec =   10.4873 Mbps     0 retrans     48 KB-cwnd
[2024-05-27 14:10:50.469331]     0.3750 MB /   0.50 sec =    6.2913 Mbps     2 retrans     34 KB-cwnd
[2024-05-27 14:10:51.614074]     0.3125 MB /   0.50 sec =    5.2425 Mbps     1 retrans     35 KB-cwnd
[2024-05-27 14:10:51.614466]     0.3125 MB /   0.50 sec =    5.2431 Mbps     0 retrans     35 KB-cwnd
[2024-05-27 14:10:51.614566]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     35 KB-cwnd
[2024-05-27 14:10:53.011210]     0.1875 MB /   0.50 sec =    3.1458 Mbps     7 retrans     85 KB-cwnd
[2024-05-27 14:10:53.011564]     0.2500 MB /   0.50 sec =    4.1941 Mbps     0 retrans     85 KB-cwnd
[2024-05-27 14:10:53.635278]     0.3750 MB /   0.50 sec =    6.2917 Mbps    10 retrans     44 KB-cwnd
