time,rtt_ms,operator
2024-05-27T15:23:30.648571-04:00,54.7,starlink
2024-05-27T15:23:30.830022-04:00,36.2,starlink
2024-05-27T15:23:31.456239-04:00,51.5,starlink
2024-05-27T15:23:31.652097-04:00,45.7,starlink
2024-05-27T15:23:31.843034-04:00,37.4,starlink
2024-05-27T15:23:32.061157-04:00,51.0,starlink
2024-05-27T15:23:32.253447-04:00,42.8,starlink
2024-05-27T15:23:32.458538-04:00,46.8,starlink
2024-05-27T15:23:32.665204-04:00,53.1,starlink
2024-05-27T15:23:32.865299-04:00,50.9,starlink
2024-05-27T15:23:33.059125-04:00,43.0,starlink
2024-05-27T15:23:33.265801-04:00,49.5,starlink
2024-05-27T15:23:33.470614-04:00,53.7,starlink
2024-05-27T15:23:33.674601-04:00,56.2,starlink
2024-05-27T15:23:33.877073-04:00,57.8,starlink
2024-05-27T15:23:34.069613-04:00,49.7,starlink
2024-05-27T15:23:34.264748-04:00,43.5,starlink
2024-05-27T15:23:34.463156-04:00,42.0,starlink
2024-05-27T15:23:34.669722-04:00,48.1,starlink
2024-05-27T15:23:34.879984-04:00,54.7,starlink
2024-05-27T15:23:35.073246-04:00,45.7,starlink
2024-05-27T15:23:35.272470-04:00,44.1,starlink
2024-05-27T15:23:35.490504-04:00,61.1,starlink
2024-05-27T15:23:35.682437-04:00,51.1,starlink
2024-05-27T15:23:35.871812-04:00,38.1,starlink
2024-05-27T15:23:36.079155-04:00,45.0,starlink
2024-05-27T15:23:36.283946-04:00,49.9,starlink
2024-05-27T15:23:36.475519-04:00,41.1,starlink
2024-05-27T15:23:36.683275-04:00,48.0,starlink
2024-05-27T15:23:36.882522-04:00,45.1,starlink
2024-05-27T15:23:37.077681-04:00,37.8,starlink
2024-05-27T15:23:37.297619-04:00,55.2,starlink
2024-05-27T15:23:37.483995-04:00,40.6,starlink
2024-05-27T15:23:37.703637-04:00,58.7,starlink
2024-05-27T15:23:37.884156-04:00,38.2,starlink
2024-05-27T15:23:38.104171-04:00,55.6,starlink
2024-05-27T15:23:38.288795-04:00,38.9,starlink
2024-05-27T15:23:38.515217-04:00,63.4,starlink
2024-05-27T15:23:38.699645-04:00,45.4,starlink
2024-05-27T15:23:38.894550-04:00,40.0,starlink
2024-05-27T15:23:39.094344-04:00,39.1,starlink
2024-05-27T15:23:39.307711-04:00,49.6,starlink
2024-05-27T15:23:39.501564-04:00,42.1,starlink
2024-05-27T15:23:39.716062-04:00,54.6,starlink
2024-05-27T15:23:39.902097-04:00,39.0,starlink
2024-05-27T15:23:40.106590-04:00,40.8,starlink
2024-05-27T15:23:40.315482-04:00,47.1,starlink
2024-05-27T15:23:40.508445-04:00,40.2,starlink
2024-05-27T15:23:40.709173-04:00,41.0,starlink
2024-05-27T15:23:40.914969-04:00,44.7,starlink
2024-05-27T15:23:41.109729-04:00,38.9,starlink
2024-05-27T15:23:41.313572-04:00,42.1,starlink
2024-05-27T15:23:41.513438-04:00,40.6,starlink
2024-05-27T15:23:41.718092-04:00,43.9,starlink
2024-05-27T15:23:41.922791-04:00,47.1,starlink
2024-05-27T15:23:42.116570-04:00,39.4,starlink
2024-05-27T15:23:42.324180-04:00,43.7,starlink
2024-05-27T15:23:42.526262-04:00,42.8,starlink
