time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-27T18:42:22.181364,229,39050,49261,79
2024-05-27T18:42:22.181422,275,10188,22443,45
2024-05-27T18:42:22.181596,356,6403,22312,29
2024-05-27T18:42:22.181662,351,6551,22238,29
2024-05-27T18:42:22.181717,381,5066,22063,23
2024-05-27T18:42:22.181771,271,10547,22662,47
2024-05-27T18:42:22.181828,366,5578,21893,25
2024-05-27T18:42:22.181883,347,6986,22496,31
2024-05-27T18:42:22.181932,320,8230,22497,37
2024-05-27T18:42:22.181985,206,13090,22308,59
2024-05-27T18:42:22.182035,348,6734,22286,30
2024-05-27T18:42:22.182085,333,7570,22452,34
2024-05-27T18:42:22.182135,367,5867,22269,26
2024-05-27T18:42:22.182186,237,11728,22315,53
2024-05-27T18:42:22.182242,358,6297,22296,28
2024-05-27T18:42:22.182296,314,8346,22376,37
2024-05-27T18:42:22.182349,179,14211,22206,64
2024-05-27T18:42:22.182401,254,11067,22428,49
2024-05-27T18:42:22.182451,147,15447,21997,70
2024-05-27T18:42:22.182503,247,11567,22591,51
2024-05-27T18:42:22.182556,276,10064,22400,45
2024-05-27T18:42:22.182607,278,9898,22308,44
2024-05-27T18:42:22.182657,235,11800,22270,53
2024-05-27T18:42:22.182709,365,5870,22154,26
2024-05-27T18:42:22.182761,265,7607,19462,39
2024-05-27T18:42:22.182814,3.73,24879,25045,99
2024-05-27T18:42:22.182863,14.4,22093,22735,97
2024-05-27T18:42:22.182911,61.4,19573,22315,88
2024-05-27T18:42:22.182961,102,17750,22283,80
2024-05-27T18:42:22.183011,69.1,17507,20593,85
2024-05-27T18:42:22.183061,16.8,22817,23569,97
2024-05-27T18:42:22.183110,23.7,21129,22189,95
2024-05-27T18:42:22.183159,39.3,20869,22623,92
2024-05-27T18:42:22.183244,10.3,21867,22328,98
2024-05-27T18:42:22.183298,26.3,21098,22272,95
2024-05-27T18:42:22.183349,3.96,21649,21826,99
2024-05-27T18:42:22.183402,4.10,22729,22912,99
2024-05-27T18:42:22.183454,4.59,22418,22623,99
2024-05-27T18:42:22.183503,2.13,22044,22139,1e+02
2024-05-27T18:42:22.183552,2.24,21932,22032,1e+02
2024-05-27T18:42:22.183600,2.98,22490,22623,99
2024-05-27T18:42:22.183648,22.8,21347,22366,95
2024-05-27T18:42:22.183695,37.4,20863,22532,93
2024-05-27T18:42:22.183742,14.7,21143,21798,97
2024-05-27T18:42:22.183789,24.5,21213,22307,95
2024-05-27T18:42:46.680016,53.5,20237,22625,89
2024-05-27T18:42:46.680384,35.6,20079,21668,93
2024-05-27T18:42:46.680477,30.7,21522,22894,94
2024-05-27T18:42:46.680563,3.45,22329,22483,99
2024-05-27T18:42:46.680642,58.7,19779,22399,88
2024-05-27T18:42:46.680723,28.4,20235,21504,94
2024-05-27T18:42:46.680798,12.4,22027,22580,98
2024-05-27T18:42:46.680874,30.4,21129,22485,94
2024-05-27T18:42:46.680948,7.52,22209,22545,99
2024-05-27T18:42:46.681023,37.4,20747,22417,93
2024-05-27T18:42:46.681096,39.7,20257,22029,92
2024-05-27T18:42:46.681172,47.5,20467,22586,91
2024-05-27T18:42:46.681248,71.0,18530,21700,85
2024-05-27T18:42:46.681318,176,15245,23117,66
2024-05-27T18:42:46.681387,277,9785,22157,44
2024-05-27T18:42:46.681607,224,12313,22331,55
2024-05-27T18:42:46.681698,216,12798,22425,57
2024-05-27T18:42:46.681779,131,16470,22326,74
2024-05-27T18:42:46.681860,168,14060,21545,65
2024-05-27T18:42:46.681940,90.8,17487,21539,81
2024-05-27T18:42:46.682016,6.90,23468,23776,99
2024-05-27T18:42:46.682093,61.5,19479,22223,88
2024-05-27T18:42:46.682170,92.6,18191,22324,81
2024-05-27T18:42:46.682246,167,14986,22426,67
2024-05-27T18:42:46.682322,155,15417,22324,69
2024-05-27T18:42:46.682436,179,13643,21615,63
2024-05-27T18:42:46.682514,249,11977,23106,52
2024-05-27T18:42:46.682589,253,10955,22269,49
2024-05-27T18:42:46.682669,193,13562,22200,61
2024-05-27T18:42:46.682748,132,16311,22183,74
2024-05-27T18:42:46.682828,111,17469,22404,78
2024-05-27T18:42:46.682905,196,12795,21554,59
2024-05-27T18:42:46.682985,134,16642,22601,74
2024-05-27T18:42:46.683060,142,16444,22803,72
2024-05-27T18:42:46.683134,235,11783,22290,53
2024-05-27T18:42:46.683208,123,16571,22076,75
2024-05-27T18:42:46.683283,94.2,17873,22077,81
2024-05-27T18:42:46.683354,147,15920,22501,71
2024-05-27T18:42:46.683430,91.3,18301,22379,82
2024-05-27T18:42:46.683509,106,17046,21784,78
2024-05-27T18:42:46.683588,114,18149,23247,78
2024-05-27T18:42:46.683664,88.3,18435,22376,82
2024-05-27T18:42:46.683738,55.6,19901,22383,89
2024-05-27T18:42:46.683810,163,14723,22003,67
2024-05-27T18:42:46.683882,152,15818,22606,70
2024-05-27T18:42:46.683955,148,15421,22009,70
2024-05-27T18:42:46.684027,249,11506,22615,51
2024-05-27T18:42:46.684103,270,10406,22441,46
2024-05-27T18:42:46.684175,272,10162,22295,46
2024-05-27T18:43:11.180040,208,12994,22273,58
2024-05-27T18:43:11.180426,161,15142,22337,68
2024-05-27T18:43:11.180536,162,14542,21782,67
2024-05-27T18:43:11.180626,79.6,19074,22627,84
2024-05-27T18:43:11.180711,109,17182,22031,78
2024-05-27T18:43:11.180793,182,14666,22805,64
2024-05-27T18:43:11.180874,114,17167,22278,77
2024-05-27T18:43:11.180954,160,15283,22412,68
2024-05-27T18:43:11.181033,138,16215,22355,73
2024-05-27T18:43:11.181112,150,15644,22356,70
2024-05-27T18:43:11.181189,154,15416,22269,69
2024-05-27T18:43:11.181269,42.8,20266,22175,91
2024-05-27T18:43:11.181385,111,17564,22512,78
2024-05-27T18:43:11.181532,104,17307,21936,79
2024-05-27T18:43:11.181619,121,17122,22535,76
2024-05-27T18:43:11.181697,135,16274,22305,73
2024-05-27T18:43:11.181776,122,17024,22491,76
2024-05-27T18:43:11.181856,206,13076,22261,59
2024-05-27T18:43:11.181932,172,14568,22267,65
2024-05-27T18:43:11.182010,126,16732,22353,75
2024-05-27T18:43:11.182087,181,14226,22324,64
2024-05-27T18:43:11.182162,6.72,21762,22062,99
2024-05-27T18:43:11.182239,77.6,19015,22479,85
2024-05-27T18:43:11.182315,113,17348,22374,78
2024-05-27T18:43:11.182391,149,15716,22376,70
2024-05-27T18:43:11.182466,146,15595,22127,70
2024-05-27T18:43:11.182548,156,15535,22506,69
2024-05-27T18:43:11.182624,179,14259,22265,64
2024-05-27T18:43:11.182701,161,15095,22280,68
2024-05-27T18:43:11.182779,114,17287,22362,77
2024-05-27T18:43:11.182858,133,16365,22313,73
2024-05-27T18:43:11.182939,94.0,17787,21984,81
2024-05-27T18:43:11.183016,67.0,17852,20846,86
2024-05-27T18:43:11.183093,34.5,22316,23853,94
2024-05-27T18:43:11.183171,82.1,17878,21546,83
2024-05-27T18:43:11.183248,64.5,20121,22999,87
2024-05-27T18:43:11.183327,47.1,20527,22628,91
2024-05-27T18:43:11.183402,86.0,18566,22404,83
2024-05-27T18:43:11.183479,22.6,20930,21939,95
2024-05-27T18:43:11.183554,33.7,20330,21834,93
2024-05-27T18:43:11.183627,5.78,21880,22138,99
2024-05-27T18:43:11.183700,45.5,21264,23294,91
2024-05-27T18:43:11.183776,78.5,18948,22453,84
2024-05-27T18:43:11.183850,152,15500,22286,70
2024-05-27T18:43:11.183924,118,16911,22158,76
2024-05-27T18:43:11.183999,62.0,19723,22490,88
2024-05-27T18:43:11.184075,126,16432,22054,75
2024-05-27T18:43:11.184149,175,14757,22576,65
2024-05-27T18:43:11.184237,125,16814,22386,75
2024-05-27T18:43:35.680048,188,13883,22266,62
2024-05-27T18:43:35.680569,58.1,16501,19098,86
2024-05-27T18:43:35.680702,127,19759,25404,78
2024-05-27T18:43:35.680794,129,16530,22306,74
2024-05-27T18:43:35.680885,39.5,20595,22357,92
2024-05-27T18:43:35.680971,47.7,20119,22247,90
2024-05-27T18:43:35.681054,76.9,18689,22120,84
2024-05-27T18:43:35.681139,89.6,18600,22598,82
2024-05-27T18:43:35.681223,114,17177,22288,77
2024-05-27T18:43:35.681302,98.4,17947,22340,80
2024-05-27T18:43:35.681389,109,17206,22074,78
2024-05-27T18:43:35.681542,100,18128,22601,80
