time,throughput_mbps,retrans,cwnd_kb
2024-05-28T14:24:32.127110,57.6590,0,13
2024-05-28T14:24:32.626390,159.4001,0,13
2024-05-28T14:24:33.126529,67.1071,0,13
2024-05-28T14:24:33.626328,76.5487,0,13
2024-05-28T14:24:34.126873,49.2839,0,13
2024-05-28T14:24:34.626433,115.3397,0,13
2024-05-28T14:24:35.126437,150.9919,0,13
2024-05-28T14:24:35.626423,143.6296,0,13
2024-05-28T14:24:36.126398,140.5356,0,13
2024-05-28T14:24:36.626435,147.8448,0,13
2024-05-28T14:24:37.126441,158.3385,0,13
2024-05-28T14:24:37.627045,153.0750,0,13
2024-05-28T14:24:38.127428,154.0082,0,13
2024-05-28T14:24:38.626307,123.8598,0,13
2024-05-28T14:24:39.126354,58.7219,0,13
2024-05-28T14:24:39.626757,91.1525,0,13
2024-05-28T14:24:40.126429,126.9762,0,13
2024-05-28T14:24:40.626407,114.2895,0,15
2024-05-28T14:24:41.126413,138.4145,0,16
2024-05-28T14:24:41.626652,107.9742,0,16
2024-05-28T14:24:42.127037,16.7805,0,16
2024-05-28T14:24:42.626984,105.8046,0,22
2024-05-28T14:24:43.126428,121.7554,0,22
2024-05-28T14:24:43.626307,122.6935,0,27
2024-05-28T14:24:44.126951,142.4661,0,27
2024-05-28T14:24:44.626567,133.2488,0,27
2024-05-28T14:24:45.126519,65.0247,0,27
2024-05-28T14:24:45.626919,154.1521,0,27
2024-05-28T14:24:46.126404,123.7424,0,27
2024-05-28T14:24:46.627676,155.0581,0,27
2024-05-28T14:24:47.126277,160.5763,0,27
2024-05-28T14:24:47.626510,153.0532,0,27
2024-05-28T14:24:48.126452,177.2303,0,27
2024-05-28T14:24:48.627840,191.7042,0,27
2024-05-28T14:24:49.126463,144.8475,0,27
2024-05-28T14:24:49.626292,190.8561,0,27
2024-05-28T14:24:50.126466,146.7819,0,27
2024-05-28T14:24:50.626330,192.9573,0,28
2024-05-28T14:24:51.126319,176.1661,0,31
2024-05-28T14:24:51.626496,187.6688,0,34
2024-05-28T14:24:52.126452,195.0464,0,39
2024-05-28T14:24:52.627622,161.2917,0,41
2024-05-28T14:24:53.126348,143.8249,0,41
2024-05-28T14:24:53.627002,187.5080,0,46
2024-05-28T14:24:54.126438,187.8856,0,46
2024-05-28T14:24:54.627343,138.2845,0,46
2024-05-28T14:24:55.126432,183.6635,0,48
2024-05-28T14:24:55.629358,180.3223,0,49
2024-05-28T14:24:56.126504,145.7766,0,50
2024-05-28T14:24:56.627432,31.4556,0,50
2024-05-28T14:24:57.126271,116.4136,0,50
2024-05-28T14:24:57.626312,141.5541,3205,2304
2024-05-28T14:24:58.126440,198.1610,0,2304
2024-05-28T14:24:58.626540,179.2896,0,2304
2024-05-28T14:24:59.126455,202.3962,0,2304
2024-05-28T14:24:59.627056,197.0720,0,2304
2024-05-28T14:25:00.127918,128.6563,0,2304
2024-05-28T14:25:00.626471,189.2668,0,2304
2024-05-28T14:25:01.126638,188.7195,0,2304
2024-05-28T14:25:01.627433,234.4478,0,2304
2024-05-28T14:25:02.126463,250.0522,0,2304
2024-05-28T14:25:02.626808,180.2394,0,2304
2024-05-28T14:25:03.127331,164.5882,0,2304
2024-05-28T14:25:03.628136,134.0298,0,2304
2024-05-28T14:25:04.126416,242.7877,1490,3726
2024-05-28T14:25:04.626388,206.5649,0,3726
2024-05-28T14:25:05.126288,164.6422,0,3726
2024-05-28T14:25:05.627042,209.6988,0,3726
2024-05-28T14:25:06.126518,211.7984,0,3682
2024-05-28T14:25:06.626660,208.6758,0,3682
2024-05-28T14:25:07.126394,224.3822,0,3682
2024-05-28T14:25:07.626459,160.4276,0,3682
2024-05-28T14:25:08.126291,187.7319,0,3682
2024-05-28T14:25:08.628115,144.2226,0,3682
2024-05-28T14:25:09.126427,152.5405,0,3682
2024-05-28T14:25:09.626971,188.7071,0,3682
2024-05-28T14:25:10.127067,170.7581,0,3682
2024-05-28T14:25:10.627031,195.2097,583,2838
2024-05-28T14:25:11.128167,198.8088,0,2838
2024-05-28T14:25:11.626459,159.7487,0,2905
2024-05-28T14:25:12.126473,44.0391,0,2905
2024-05-28T14:25:12.626496,93.3085,0,2905
2024-05-28T14:25:13.127558,151.9147,0,2905
2024-05-28T14:25:13.626963,127.0128,0,2905
2024-05-28T14:25:14.126430,139.4642,0,2926
2024-05-28T14:25:14.626560,107.9817,0,2926
2024-05-28T14:25:15.126422,79.7082,0,2926
2024-05-28T14:25:15.627010,154.1348,0,2926
2024-05-28T14:25:16.126459,189.7911,0,2926
2024-05-28T14:25:16.628076,8.3665,0,2926
2024-05-28T14:25:17.128645,33.5304,0,2926
2024-05-28T14:25:17.626895,26.2878,0,2926
2024-05-28T14:25:18.126861,23.0822,0,2926
2024-05-28T14:25:18.626430,63.9631,0,2926
2024-05-28T14:25:19.126539,59.7692,0,2926
2024-05-28T14:25:19.628735,0.0000,0,2926
2024-05-28T14:25:20.129313,0.0000,0,2926
2024-05-28T14:25:20.627985,27.3261,0,2926
2024-05-28T14:25:21.126473,64.1599,0,2926
2024-05-28T14:25:21.626277,59.7777,0,2926
2024-05-28T14:25:22.126901,62.8554,0,2926
2024-05-28T14:25:22.626313,65.0707,0,2926
2024-05-28T14:25:23.126281,85.9850,0,2926
2024-05-28T14:25:23.626474,14.6767,0,2926
2024-05-28T14:25:24.128064,15.6954,0,2926
2024-05-28T14:25:24.626388,19.9689,0,2926
2024-05-28T14:25:25.126608,41.9374,0,2926
2024-05-28T14:25:25.627235,13.6164,0,2926
2024-05-28T14:25:26.126439,19.9483,0,2926
2024-05-28T14:25:26.626497,22.0175,0,2926
2024-05-28T14:25:27.126401,0.0000,0,2926
2024-05-28T14:25:27.626470,11.5321,297,3522
2024-05-28T14:25:28.128663,20.9040,0,3522
2024-05-28T14:25:28.627831,7.3646,0,3522
2024-05-28T14:25:29.127937,18.8562,0,3522
2024-05-28T14:25:29.626559,49.3201,0,3522
2024-05-28T14:25:30.126475,55.5869,0,3522
2024-05-28T14:25:30.626865,57.6709,0,3522
2024-05-28T14:25:31.127991,27.2062,0,3522
2024-05-28T14:25:31.626447,26.2674,0,3522
2024-05-28T14:25:32.126417,77.6030,0,3522
2024-05-28T14:25:32.626570,83.8631,0,3522
2024-05-28T14:25:33.126261,99.6510,0,3522
2024-05-28T14:25:33.626729,39.8179,0,3522
2024-05-28T14:25:34.126977,117.5108,0,3522
2024-05-28T14:25:34.627570,118.3665,0,3522
2024-05-28T14:25:35.127566,53.4552,0,3522
2024-05-28T14:25:35.626538,152.2390,0,3522
2024-05-28T14:25:36.126855,96.4088,0,3522
2024-05-28T14:25:36.628411,1.0461,0,3522
2024-05-28T14:25:37.128685,137.3533,0,3522
2024-05-28T14:25:37.626276,130.4633,0,3522
2024-05-28T14:25:38.126419,130.0052,0,3522
2024-05-28T14:25:38.628369,97.1676,0,3522
2024-05-28T14:25:39.126354,96.8284,0,3522
2024-05-28T14:25:39.626500,115.3150,0,3522
2024-05-28T14:25:40.126398,129.0089,0,3522
2024-05-28T14:25:40.626356,147.8516,0,3522
2024-05-28T14:25:41.126526,123.7072,0,3522
2024-05-28T14:25:41.626335,113.2650,0,3522
2024-05-28T14:25:42.126288,28.3127,0,3522
2024-05-28T14:25:42.626359,145.7424,11,3206
2024-05-28T14:25:43.126407,92.2745,0,3206
2024-05-28T14:25:43.626528,77.5766,0,3206
2024-05-28T14:25:44.126304,159.4276,0,3206
2024-05-28T14:25:44.628523,98.1688,0,3206
2024-05-28T14:25:45.126390,120.0158,0,3206
2024-05-28T14:25:45.626456,168.8130,0,3206
2024-05-28T14:25:46.126386,49.2866,0,3206
2024-05-28T14:25:46.626538,192.8979,0,3206
2024-05-28T14:25:47.126441,109.0687,0,3206
2024-05-28T14:25:47.627105,135.1085,0,3206
2024-05-28T14:25:48.126372,185.8269,0,3206
2024-05-28T14:25:48.626579,133.1396,0,3228
2024-05-28T14:25:49.126426,133.1947,0,3228
2024-05-28T14:25:49.627032,204.2317,0,3228
2024-05-28T14:25:50.126806,132.2520,0,3228
2024-05-28T14:25:50.626432,160.4552,0,3228
2024-05-28T14:25:51.127853,110.8458,6567,185
2024-05-28T14:25:51.628983,38.7514,0,185
2024-05-28T14:25:52.126361,73.6952,0,185
2024-05-28T14:25:52.626989,151.9126,0,185
2024-05-28T14:25:53.127044,45.1189,0,185
2024-05-28T14:25:53.626638,81.7713,0,185
2024-05-28T14:25:54.127647,149.7969,0,5
2024-05-28T14:25:54.626875,174.1531,0,5
2024-05-28T14:25:55.126559,86.0429,0,5
2024-05-28T14:25:55.626303,76.5592,0,5
2024-05-28T14:25:56.126449,100.6609,0,5
2024-05-28T14:25:56.626446,89.1270,0,5
2024-05-28T14:25:57.126397,91.2305,0,5
2024-05-28T14:25:57.626402,153.0967,0,5
2024-05-28T14:25:58.126422,116.3850,0,5
2024-05-28T14:25:58.626427,179.3061,0,5
2024-05-28T14:25:59.127024,130.9267,0,5
2024-05-28T14:25:59.626290,129.1277,0,5
2024-05-28T14:26:00.126380,144.6965,0,5
2024-05-28T14:26:00.626622,177.1215,0,5
2024-05-28T14:26:01.126377,168.9045,1951,1784
2024-05-28T14:26:01.627395,182.1833,0,1784
2024-05-28T14:26:02.126274,77.7143,0,1784
2024-05-28T14:26:02.626477,169.8306,0,1784
2024-05-28T14:26:03.126393,131.0922,0,1784
2024-05-28T14:26:03.626962,158.1812,0,1784
2024-05-28T14:26:04.127647,104.8360,0,1784
2024-05-28T14:26:04.626792,130.0890,0,1784
2024-05-28T14:26:05.126406,171.0352,0,1784
2024-05-28T14:26:05.626356,180.3623,0,1784
2024-05-28T14:26:06.126358,198.1745,0,1784
2024-05-28T14:26:06.626893,98.4795,0,1784
2024-05-28T14:26:07.127035,141.6788,0,1784
2024-05-28T14:26:07.626881,141.5532,0,1784
2024-05-28T14:26:08.126264,166.7423,0,1801
2024-05-28T14:26:08.629359,119.9135,0,1801
2024-05-28T14:26:09.126467,69.5888,0,1801
2024-05-28T14:26:09.627205,126.8399,419,2532
2024-05-28T14:26:10.126873,157.2087,0,2532
2024-05-28T14:26:10.626931,156.2241,0,2532
2024-05-28T14:26:11.126480,103.8963,0,2547
2024-05-28T14:26:11.626395,119.5503,0,2547
2024-05-28T14:26:12.126275,148.9046,0,2547
2024-05-28T14:26:12.626479,109.0362,0,2554
2024-05-28T14:26:13.126369,117.4520,0,2554
2024-05-28T14:26:13.626940,138.2691,0,2554
2024-05-28T14:26:14.126524,49.3349,0,2554
2024-05-28T14:26:14.627080,58.6527,0,2554
2024-05-28T14:26:15.126422,80.8281,0,2554
2024-05-28T14:26:15.626464,138.4093,0,2554
2024-05-28T14:26:16.127743,158.9978,0,2554
2024-05-28T14:26:16.628419,113.0917,0,2554
2024-05-28T14:26:17.126272,96.8496,0,2554
2024-05-28T14:26:17.626476,111.1202,0,2554
2024-05-28T14:26:18.126430,52.4368,0,2554
2024-05-28T14:26:18.626412,137.3569,0,2554
2024-05-28T14:26:19.126426,160.4424,0,2554
2024-05-28T14:26:19.627320,131.9564,4021,2948
2024-05-28T14:26:20.126476,153.2751,0,2948
2024-05-28T14:26:20.626414,170.9179,0,2948
2024-05-28T14:26:21.126943,189.8086,0,2948
2024-05-28T14:26:21.626920,148.8906,0,2950
2024-05-28T14:26:22.126519,176.1245,0,2967
2024-05-28T14:26:22.626669,187.7432,0,2967
2024-05-28T14:26:23.126742,189.6788,0,2967
2024-05-28T14:26:23.627003,161.4045,0,2967
2024-05-28T14:26:24.127382,183.4957,0,2967
2024-05-28T14:26:24.626954,193.1330,0,2967
2024-05-28T14:26:25.127200,152.9911,0,2967
2024-05-28T14:26:25.626494,174.1695,0,2967
2024-05-28T14:26:26.126408,141.5708,0,2967
2024-05-28T14:26:26.628337,149.5536,8,2200
2024-05-28T14:26:27.126441,117.7457,0,2200
2024-05-28T14:26:27.627057,185.4600,0,2200
2024-05-28T14:26:28.126470,207.7689,0,2200
2024-05-28T14:26:28.627333,237.8289,0,2167
2024-05-28T14:26:29.127540,94.2493,0,2167
2024-05-28T14:26:29.626909,203.8710,0,2167
2024-05-28T14:26:30.126826,250.6036,0,2167
2024-05-28T14:26:30.626355,117.4393,0,2167
2024-05-28T14:26:31.128102,224.9090,0,2167
2024-05-28T14:26:31.626360,100.9071,0,2167
2024-05-28T14:26:32.127028,201.1319,0,2167
2024-05-28T14:26:32.626985,171.0763,0,2167
2024-05-28T14:26:33.126483,119.5427,0,2180
2024-05-28T14:26:33.628496,191.3075,6695,2656
2024-05-28T14:26:34.126436,66.2621,0,2656
2024-05-28T14:26:34.627618,228.3343,0,2656
2024-05-28T14:26:35.127035,193.1431,0,2656
2024-05-28T14:26:35.626978,191.8944,0,2656
2024-05-28T14:26:36.128804,183.8841,0,2656
2024-05-28T14:26:36.626308,119.9775,0,2656
2024-05-28T14:26:37.126884,179.2925,0,2656
2024-05-28T14:26:37.628846,168.2155,0,2656
2024-05-28T14:26:38.126386,129.4466,0,2656
2024-05-28T14:26:38.626908,71.2356,0,2656
2024-05-28T14:26:39.127079,48.2787,0,2620
2024-05-28T14:26:39.626350,42.9951,0,2620
2024-05-28T14:26:40.127302,58.7176,0,2620
2024-05-28T14:26:40.626934,76.4696,0,2620
2024-05-28T14:26:41.126450,53.5277,0,2620
2024-05-28T14:26:41.626562,72.3389,0,2620
2024-05-28T14:26:42.126412,62.9294,0,2620
2024-05-28T14:26:42.626527,94.3773,0,2620
2024-05-28T14:26:43.128813,68.9503,0,2620
2024-05-28T14:26:43.626404,117.8648,0,2620
2024-05-28T14:26:44.127294,95.3478,112,2686
2024-05-28T14:26:44.626410,75.5597,0,2686
2024-05-28T14:26:45.126550,55.5765,0,2686
2024-05-28T14:26:45.626980,51.3253,0,2686
2024-05-28T14:26:46.128704,21.9668,0,2686
2024-05-28T14:26:46.628277,0.0000,0,2686
2024-05-28T14:26:47.126409,4.2089,0,2686
2024-05-28T14:26:47.627234,25.1575,0,2686
2024-05-28T14:26:48.126444,31.4655,0,2686
