Start time: 1716999113575
[2024-05-29 12:11:54.448464] nuttcp-t: v8.1.4: socket
[2024-05-29 12:11:54.449346] nuttcp-t: buflen=65536, nstream=1, port=5003 tcp -> 35.245.244.238
[2024-05-29 12:11:54.449411] nuttcp-t: time limit = 120.00 seconds
[2024-05-29 12:11:54.449451] nuttcp-t: connect to 35.245.244.238 with mss=1408, RTT=42.345 ms af=inet
[2024-05-29 12:11:54.449489] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-05-29 12:11:54.449523] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-05-29 12:11:54.449556] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-29 12:11:54.449588] nuttcp-r: v8.1.4: socket
[2024-05-29 12:11:54.449622] nuttcp-r: buflen=65536, nstream=1, port=5003 tcp
[2024-05-29 12:11:54.449654] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-29 12:11:54.449687] nuttcp-r: accept from 98.97.21.16 with af=inet
[2024-05-29 12:11:54.449721] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-29 12:11:54.449754] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-29 12:11:54.449795]     1.2500 MB /   0.50 sec =   20.9697 Mbps    16 retrans    275 KB-cwnd
[2024-05-29 12:11:55.023312]     1.8125 MB /   0.50 sec =   30.4094 Mbps     7 retrans    100 KB-cwnd
[2024-05-29 12:11:55.515897]     0.8750 MB /   0.50 sec =   14.6777 Mbps     0 retrans    107 KB-cwnd
[2024-05-29 12:11:56.010713]     0.9375 MB /   0.50 sec =   15.7298 Mbps     3 retrans     90 KB-cwnd
[2024-05-29 12:11:56.494949]     1.0000 MB /   0.50 sec =   16.7779 Mbps     0 retrans    107 KB-cwnd
[2024-05-29 12:11:56.939870]     0.9375 MB /   0.50 sec =   15.7288 Mbps     0 retrans    112 KB-cwnd
[2024-05-29 12:11:57.471298]     0.8125 MB /   0.50 sec =   13.6310 Mbps     1 retrans    105 KB-cwnd
[2024-05-29 12:11:58.306201]     0.6250 MB /   0.50 sec =   10.4861 Mbps     8 retrans     45 KB-cwnd
[2024-05-29 12:12:00.317740]     0.3750 MB /   0.50 sec =    6.2912 Mbps     8 retrans     27 KB-cwnd
[2024-05-29 12:12:00.318226]     0.2500 MB /   0.50 sec =    4.1945 Mbps     0 retrans     27 KB-cwnd
[2024-05-29 12:12:00.318376]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     27 KB-cwnd
[2024-05-29 12:12:00.318502]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans     27 KB-cwnd
[2024-05-29 12:12:02.433854]     0.1875 MB /   0.50 sec =    3.1458 Mbps     7 retrans     24 KB-cwnd
[2024-05-29 12:12:02.434394]     0.3125 MB /   0.50 sec =    5.2423 Mbps     0 retrans     24 KB-cwnd
[2024-05-29 12:12:02.434539]     0.1875 MB /   0.50 sec =    3.1460 Mbps     0 retrans     24 KB-cwnd
[2024-05-29 12:12:02.434660]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     24 KB-cwnd
[2024-05-29 12:12:02.434775]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     24 KB-cwnd
[2024-05-29 12:12:03.636366]     0.2500 MB /   0.50 sec =    4.1943 Mbps     4 retrans     61 KB-cwnd
[2024-05-29 12:12:03.637343]     0.3750 MB /   0.50 sec =    6.2911 Mbps     0 retrans     61 KB-cwnd
[2024-05-29 12:12:04.714076]     0.5625 MB /   0.50 sec =    9.4377 Mbps     6 retrans     33 KB-cwnd
[2024-05-29 12:12:04.714320]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans     33 KB-cwnd
[2024-05-29 12:12:05.919182]     0.3750 MB /   0.50 sec =    6.2916 Mbps     3 retrans     48 KB-cwnd
[2024-05-29 12:12:05.919726]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     48 KB-cwnd
[2024-05-29 12:12:05.919875]     0.4375 MB /   0.50 sec =    7.3399 Mbps     0 retrans     48 KB-cwnd
[2024-05-29 12:12:07.141433]     0.1250 MB /   0.50 sec =    2.0972 Mbps     9 retrans     56 KB-cwnd
[2024-05-29 12:12:07.141744]     0.5000 MB /   0.50 sec =    8.3888 Mbps     0 retrans     56 KB-cwnd
[2024-05-29 12:12:08.065473]     0.5000 MB /   0.50 sec =    8.3887 Mbps     3 retrans     44 KB-cwnd
[2024-05-29 12:12:08.065857]     0.5000 MB /   0.50 sec =    8.3869 Mbps     0 retrans     44 KB-cwnd
[2024-05-29 12:12:09.857513]     0.4375 MB /   0.50 sec =    7.3408 Mbps    10 retrans     23 KB-cwnd
[2024-05-29 12:12:09.858742]     0.2500 MB /   0.50 sec =    4.1945 Mbps     0 retrans     23 KB-cwnd
[2024-05-29 12:12:09.859047]     0.2500 MB /   0.50 sec =    4.1946 Mbps     0 retrans     23 KB-cwnd
[2024-05-29 12:12:11.165427]     0.1875 MB /   0.50 sec =    3.1459 Mbps     8 retrans     45 KB-cwnd
[2024-05-29 12:12:11.166991]     0.2500 MB /   0.50 sec =    4.1941 Mbps     0 retrans     45 KB-cwnd
[2024-05-29 12:12:11.167254]     0.4375 MB /   0.50 sec =    7.3397 Mbps     0 retrans     45 KB-cwnd
[2024-05-29 12:12:12.470521]     0.4375 MB /   0.50 sec =    7.3396 Mbps     2 retrans     34 KB-cwnd
[2024-05-29 12:12:12.470929]     0.3750 MB /   0.50 sec =    6.2921 Mbps     0 retrans     34 KB-cwnd
[2024-05-29 12:12:12.471040]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     34 KB-cwnd
[2024-05-29 12:12:14.114332]     0.3125 MB /   0.50 sec =    5.2429 Mbps     6 retrans     24 KB-cwnd
[2024-05-29 12:12:14.114574]     0.3125 MB /   0.50 sec =    5.2427 Mbps     0 retrans     24 KB-cwnd
[2024-05-29 12:12:14.114671]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     24 KB-cwnd
[2024-05-29 12:12:16.035767]     0.1875 MB /   0.50 sec =    3.1457 Mbps    34 retrans     53 KB-cwnd
[2024-05-29 12:12:16.036295]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     53 KB-cwnd
[2024-05-29 12:12:16.036421]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans     53 KB-cwnd
[2024-05-29 12:12:16.036512]     0.5625 MB /   0.50 sec =    9.4375 Mbps     0 retrans     53 KB-cwnd
[2024-05-29 12:12:16.972555]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans     63 KB-cwnd
[2024-05-29 12:12:16.973826]     0.5625 MB /   0.50 sec =    9.4373 Mbps     0 retrans     63 KB-cwnd
[2024-05-29 12:12:18.145933]     0.5000 MB /   0.50 sec =    8.3893 Mbps     7 retrans     41 KB-cwnd
[2024-05-29 12:12:18.870396]     0.4375 MB /   0.50 sec =    7.3395 Mbps    18 retrans     64 KB-cwnd
[2024-05-29 12:12:18.870804]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     64 KB-cwnd
[2024-05-29 12:12:20.150478]     0.6250 MB /   0.50 sec =   10.4861 Mbps     6 retrans     37 KB-cwnd
[2024-05-29 12:12:20.150713]     0.4375 MB /   0.50 sec =    7.3396 Mbps     0 retrans     37 KB-cwnd
[2024-05-29 12:12:20.150778]     0.1875 MB /   0.50 sec =    3.1459 Mbps     0 retrans     37 KB-cwnd
[2024-05-29 12:12:21.422241]     0.3125 MB /   0.50 sec =    5.2426 Mbps     4 retrans     48 KB-cwnd
[2024-05-29 12:12:21.422749]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     48 KB-cwnd
[2024-05-29 12:12:21.422905]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans     48 KB-cwnd
[2024-05-29 12:12:22.814141]     0.3125 MB /   0.50 sec =    5.2423 Mbps     7 retrans     48 KB-cwnd
[2024-05-29 12:12:22.814638]     0.3750 MB /   0.50 sec =    6.2917 Mbps     0 retrans     48 KB-cwnd
[2024-05-29 12:12:23.571672]     0.3750 MB /   0.50 sec =    6.2917 Mbps     2 retrans     72 KB-cwnd
[2024-05-29 12:12:23.572122]     0.6250 MB /   0.50 sec =   10.4858 Mbps     0 retrans     72 KB-cwnd
[2024-05-29 12:12:24.251215]     0.6250 MB /   0.50 sec =   10.4843 Mbps     0 retrans     79 KB-cwnd
[2024-05-29 12:12:25.032489]     0.6875 MB /   0.50 sec =   11.5351 Mbps     3 retrans     57 KB-cwnd
[2024-05-29 12:12:25.032954]     0.5000 MB /   0.50 sec =    8.3899 Mbps     0 retrans     57 KB-cwnd
[2024-05-29 12:12:25.950601]     0.5000 MB /   0.50 sec =    8.3877 Mbps     2 retrans     55 KB-cwnd
[2024-05-29 12:12:25.950985]     0.5000 MB /   0.50 sec =    8.3888 Mbps     0 retrans     55 KB-cwnd
