time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-29T16:45:06.557598,50.7942,10141,12409,81.72
2024-05-29T16:45:07.049862,45.3609,11338,13363,84.85
2024-05-29T16:45:07.554330,48.9002,11015,13198,83.46
2024-05-29T16:45:08.050670,53.4466,11086,13472,82.29
2024-05-29T16:45:08.555802,45.8299,11544,13590,84.94
2024-05-29T16:45:09.052609,51.6100,10901,13205,82.55
2024-05-29T16:45:09.550823,47.4432,11584,13702,84.54
2024-05-29T16:45:10.058401,46.3924,10872,12943,84.00
2024-05-29T16:45:10.551501,51.7193,11358,13667,83.11
2024-05-29T16:45:11.055911,45.6076,11461,13497,84.92
2024-05-29T16:45:11.550924,48.1595,11179,13329,83.87
2024-05-29T16:45:12.059323,45.9635,11163,13215,84.47
2024-05-29T16:45:12.536224,30.0386,9758,11099,87.92
2024-05-29T16:45:13.037394,32.0779,13571,15003,90.46
2024-05-29T16:45:13.532577,37.1164,13269,14926,88.90
2024-05-29T16:45:14.045473,37.2961,11603,13268,87.45
2024-05-29T16:45:14.537094,38.4824,11729,13447,87.22
2024-05-29T16:45:15.036875,38.5288,11600,13320,87.09
2024-05-29T16:45:15.532481,36.7577,11746,13387,87.74
2024-05-29T16:45:16.034115,37.8566,11761,13451,87.44
2024-05-29T16:45:16.536822,36.0174,11841,13449,88.04
2024-05-29T16:45:17.040679,38.0596,11674,13373,87.30
2024-05-29T16:45:17.534995,36.8416,11863,13508,87.82
2024-05-29T16:45:18.035181,37.1669,11581,13240,87.47
2024-05-29T16:45:18.536577,38.1025,11727,13428,87.33
2024-05-29T16:45:19.047142,37.9246,11682,13375,87.34
2024-05-29T16:45:19.532610,36.4476,11853,13480,87.93
2024-05-29T16:45:20.034726,37.8757,11627,13318,87.30
2024-05-29T16:45:20.535352,38.3256,11682,13393,87.22
2024-05-29T16:45:21.037572,38.2363,11709,13416,87.28
2024-05-29T16:45:21.532763,37.4320,11630,13301,87.44
2024-05-29T16:45:22.034463,38.1002,11409,13110,87.03
2024-05-29T16:45:22.536163,37.2292,12109,13771,87.93
2024-05-29T16:45:23.037425,37.6116,11737,13416,87.49
2024-05-29T16:45:23.533436,37.1152,11559,13216,87.46
2024-05-29T16:45:24.034827,36.9385,11786,13435,87.73
2024-05-29T16:45:24.536582,36.7119,11845,13484,87.84
2024-05-29T16:45:25.043001,37.9265,11614,13307,87.28
2024-05-29T16:45:25.533506,36.8900,11650,13297,87.61
2024-05-29T16:45:26.035098,36.5120,11874,13504,87.93
2024-05-29T16:45:26.535599,37.2261,11557,13219,87.43
2024-05-29T16:45:27.038474,37.9698,12013,13708,87.63
2024-05-29T16:45:27.537483,24.0108,9658,10730,90.01
2024-05-29T16:45:28.036048,25.3822,13398,14531,92.20
2024-05-29T16:45:28.532235,32.8608,13480,14947,90.19
2024-05-29T16:45:29.032933,37.7441,11315,13000,87.04
2024-05-29T16:45:29.535434,38.1014,11674,13375,87.28
2024-05-29T16:45:30.038362,33.5763,12218,13717,89.07
2024-05-29T16:45:30.532200,33.3110,12008,13495,88.98
2024-05-29T16:45:31.034044,34.6303,11670,13216,88.30
2024-05-29T16:45:31.534532,32.9731,11964,13436,89.04
2024-05-29T16:45:32.036128,36.2892,11517,13137,87.67
2024-05-29T16:45:32.531638,35.3466,11940,13518,88.33
2024-05-29T16:45:33.034577,36.8691,11775,13421,87.74
2024-05-29T16:45:33.534242,33.6673,11999,13502,88.87
2024-05-29T16:45:34.038338,34.8106,11731,13285,88.30
2024-05-29T16:45:34.531699,36.7118,11818,13457,87.82
2024-05-29T16:45:35.036357,36.4680,11769,13397,87.85
2024-05-29T16:45:35.535199,37.0049,11775,13427,87.70
2024-05-29T16:45:36.037435,40.6802,11408,13224,86.27
2024-05-29T16:45:36.532398,40.1407,11562,13354,86.58
2024-05-29T16:45:37.032916,39.7567,11744,13519,86.87
2024-05-29T16:45:37.534633,39.8043,11426,13203,86.54
2024-05-29T16:45:38.035421,38.4196,11926,13641,87.43
2024-05-29T16:45:38.532311,36.9369,11727,13376,87.67
2024-05-29T16:45:39.034582,35.6611,11699,13291,88.02
2024-05-29T16:45:39.536416,35.7503,11966,13562,88.23
2024-05-29T16:45:40.036170,36.5565,11754,13386,87.81
2024-05-29T16:45:40.532047,35.9702,11718,13324,87.95
2024-05-29T16:45:41.033675,35.9784,11767,13373,87.99
2024-05-29T16:45:41.534826,36.3087,11830,13451,87.95
2024-05-29T16:45:42.035658,36.0201,11810,13418,88.02
2024-05-29T16:45:42.542624,24.9304,9553,10666,89.56
2024-05-29T16:45:43.044206,32.8377,13430,14896,90.16
2024-05-29T16:45:43.544639,34.0957,13203,14725,89.66
2024-05-29T16:45:44.034592,35.0111,11647,13210,88.17
2024-05-29T16:45:44.539935,33.6438,12006,13508,88.88
2024-05-29T16:45:45.031014,33.1522,11888,13368,88.93
2024-05-29T16:45:45.532201,34.4293,11892,13429,88.55
2024-05-29T16:45:46.038633,31.0235,11981,13366,89.64
2024-05-29T16:45:46.543879,28.8947,12170,13460,90.42
2024-05-29T16:45:47.031025,28.6529,11996,13275,90.37
2024-05-29T16:45:47.532749,27.9779,12412,13661,90.86
2024-05-29T16:45:48.528737,14.8949,6552,7217,90.79
2024-05-29T16:45:48.575498,1.4337,14301,14365,99.55
2024-05-29T16:45:49.043481,24.6172,13486,14585,92.46
2024-05-29T16:45:49.541963,26.4299,13349,14529,91.88
2024-05-29T16:45:50.041793,26.8153,13318,14515,91.75
2024-05-29T16:45:50.535053,26.3855,13341,14519,91.89
2024-05-29T16:45:51.035614,26.7918,12465,13661,91.25
2024-05-29T16:45:51.547660,24.3701,11007,12095,91.00
2024-05-29T16:45:52.038352,14.9182,11340,12006,94.45
2024-05-29T16:45:52.546721,21.9521,13427,14407,93.20
2024-05-29T16:45:53.030959,24.8196,13428,14536,92.38
2024-05-29T16:45:53.531942,26.2979,13091,14265,91.77
2024-05-29T16:45:54.032960,24.4159,12214,13304,91.81
2024-05-29T16:45:54.540084,25.9362,12026,13184,91.22
2024-05-29T16:45:55.034033,26.6592,12326,13516,91.20
2024-05-29T16:45:55.532515,25.0651,12502,13621,91.78
2024-05-29T16:45:56.033283,25.4461,12064,13200,91.39
2024-05-29T16:45:56.534529,27.8428,12217,13460,90.77
2024-05-29T16:45:57.038754,26.3875,12252,13430,91.23
2024-05-29T16:45:57.533731,29.2110,10184,11488,88.65
2024-05-29T16:45:58.035987,56.7599,12391,14925,83.02
2024-05-29T16:45:58.531791,64.6472,10540,13426,78.50
2024-05-29T16:45:59.032160,65.6079,10337,13266,77.92
2024-05-29T16:45:59.531631,63.1699,10590,13410,78.97
2024-05-29T16:46:00.032563,71.7475,10230,13433,76.16
2024-05-29T16:46:00.535766,63.1655,10616,13436,79.01
2024-05-29T16:46:01.036781,65.2756,10480,13394,78.24
2024-05-29T16:46:01.531931,67.6689,10374,13395,77.45
2024-05-29T16:46:02.036059,60.0551,10438,13119,79.56
2024-05-29T16:46:02.535794,71.8148,10289,13495,76.24
2024-05-29T16:46:03.035848,61.1532,10833,13563,79.87
2024-05-29T16:46:03.539552,69.2146,10255,13345,76.85
2024-05-29T16:46:04.032367,64.9601,10319,13219,78.06
2024-05-29T16:46:04.537102,56.4020,11179,13697,81.62
2024-05-29T16:46:05.032820,66.5488,10269,13240,77.56
2024-05-29T16:46:05.531713,63.7528,10542,13388,78.74
2024-05-29T16:46:06.033737,60.0337,10849,13529,80.19
2024-05-29T16:46:06.531697,67.2202,10197,13198,77.26
2024-05-29T16:46:07.038095,58.7778,10929,13553,80.64
2024-05-29T16:46:07.537164,67.2038,10367,13367,77.56
2024-05-29T16:46:08.035992,64.3749,10589,13463,78.65
2024-05-29T16:46:08.532385,58.8004,10812,13437,80.46
2024-05-29T16:46:09.033750,66.1484,10336,13289,77.78
2024-05-29T16:46:09.541529,58.0159,10906,13496,80.81
2024-05-29T16:46:10.032509,66.9077,10322,13309,77.56
2024-05-29T16:46:10.540518,63.8196,10502,13351,78.66
2024-05-29T16:46:11.032105,60.9961,10629,13352,79.61
2024-05-29T16:46:11.533135,67.2189,10461,13462,77.71
2024-05-29T16:46:12.036990,60.1462,10649,13334,79.86
2024-05-29T16:46:12.539557,33.3711,9165,10655,86.02
2024-05-29T16:46:13.039326,26.8837,13247,14447,91.69
2024-05-29T16:46:13.530723,29.3866,13558,14870,91.18
2024-05-29T16:46:14.030984,28.4048,12634,13902,90.88
2024-05-29T16:46:14.538745,29.1647,12172,13474,90.34
2024-05-29T16:46:15.038458,29.9730,11923,13261,89.91
2024-05-29T16:46:15.529092,28.3102,11916,13180,90.41
2024-05-29T16:46:16.036112,27.2393,12283,13499,90.99
2024-05-29T16:46:16.531358,29.9952,12052,13391,90.00
2024-05-29T16:46:17.039336,30.0609,12240,13582,90.12
2024-05-29T16:46:17.529059,29.2748,11970,13277,90.16
2024-05-29T16:46:18.046274,26.5895,12317,13504,91.21
2024-05-29T16:46:18.531683,27.9984,12173,13423,90.69
2024-05-29T16:46:19.036034,27.0390,12264,13471,91.04
2024-05-29T16:46:19.529214,26.3636,12073,13250,91.12
2024-05-29T16:46:20.036749,27.7764,12167,13407,90.75
2024-05-29T16:46:20.534575,26.9228,12251,13453,91.07
2024-05-29T16:46:21.035303,26.5436,12204,13389,91.15
2024-05-29T16:46:21.528645,26.5914,12081,13268,91.05
2024-05-29T16:46:22.044621,27.0127,12268,13474,91.05
2024-05-29T16:46:22.533776,26.6128,12318,13506,91.20
2024-05-29T16:46:23.040822,25.8717,12178,13333,91.34
2024-05-29T16:46:23.534419,23.9224,12202,13270,91.95
2024-05-29T16:46:24.036320,25.0887,12387,13507,91.71
2024-05-29T16:46:24.536989,24.7306,12265,13369,91.74
2024-05-29T16:46:25.040093,25.4254,12173,13308,91.47
2024-05-29T16:46:25.535188,25.9348,12324,13482,91.41
2024-05-29T16:46:26.031689,25.9415,12251,13409,91.36
2024-05-29T16:46:26.531600,24.9983,12340,13456,91.71
2024-05-29T16:46:27.038726,25.4038,12287,13421,91.55
2024-05-29T16:46:27.538856,14.6037,8979,9631,93.23
