time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-27T11:40:32.894096,226,877924,888027,99
2024-05-27T11:40:32.894137,172,-7695,0,0
2024-05-27T11:40:32.894177,120,-5379,0,0
2024-05-27T11:40:32.894216,128,-5697,0,0
2024-05-27T11:40:32.894255,86.3,-3853,0,0
2024-05-27T11:40:32.894296,119,-5301,0,0
2024-05-27T11:40:32.894335,88.2,-3946,0,0
2024-05-27T11:40:32.894374,111,-4934,0,0
2024-05-27T11:40:32.894413,106,-4748,0,0
2024-05-27T11:40:32.894451,62.7,-2800,0,0
2024-05-27T11:40:32.894489,62.3,-2782,0,0
2024-05-27T11:40:32.894527,53.8,-2402,0,0
2024-05-27T11:40:32.894566,52.3,-2335,0,0
2024-05-27T11:40:32.894605,72.4,-3231,0,0
2024-05-27T11:40:32.894643,25.0,-1118,0,0
2024-05-27T11:40:32.894681,3.18,-142,0,0
2024-05-27T11:40:32.894721,94.4,-4215,0,0
2024-05-27T11:40:32.894760,67.0,-2990,0,0
2024-05-27T11:40:32.894799,17.6,-786,0,0
2024-05-27T11:40:32.894839,35.8,-1598,0,0
2024-05-27T11:40:32.894877,75.5,-3370,0,0
2024-05-27T11:40:32.895017,137,-6126,0,0
2024-05-27T11:40:32.895066,94.5,-4221,0,0
2024-05-27T11:40:32.895106,101,-4529,0,0
2024-05-27T11:40:32.895145,141,-6282,0,0
2024-05-27T11:40:32.895184,80.5,-3596,0,0
2024-05-27T11:40:32.895223,95.9,-4279,0,0
2024-05-27T11:40:32.895261,73.9,-3300,0,0
2024-05-27T11:40:32.895300,62.7,-2801,0,0
2024-05-27T11:40:32.895338,9.12,-407,0,0
2024-05-27T11:40:32.895376,0.92,-41,0,0
2024-05-27T11:40:32.895414,0.72,-32,0,0
2024-05-27T11:40:32.895452,83.5,-3727,0,0
2024-05-27T11:40:32.895490,86.6,-3865,0,0
2024-05-27T11:40:32.895527,94.8,-4231,0,0
2024-05-27T11:40:32.895594,78.7,-3514,0,0
2024-05-27T11:40:32.895635,73.3,-3274,0,0
2024-05-27T11:40:32.895674,116,-5165,0,0
2024-05-27T11:40:32.895713,118,-5259,0,0
2024-05-27T11:40:32.895751,139,-6196,0,0
2024-05-27T11:40:32.895789,161,-7197,0,0
2024-05-27T11:40:32.895827,129,-5765,0,0
2024-05-27T11:40:32.895865,104,-550,4108,-13
2024-05-27T11:40:32.895903,147,16748,23316,72
2024-05-27T11:40:32.895981,172,15116,22779,66
2024-05-27T11:40:32.896019,122,18533,23960,77
2024-05-27T11:40:32.896057,122,12150,17583,69
2024-05-27T11:40:32.896095,171,23504,31117,76
2024-05-27T11:40:57.393072,158,17719,24772,72
2024-05-27T11:40:57.393252,150,24111,30815,78
2024-05-27T11:40:57.393294,150,11134,17820,62
2024-05-27T11:40:57.393330,141,13596,19905,68
2024-05-27T11:40:57.393363,107,8397,13194,64
2024-05-27T11:40:57.393395,78.5,8649,12151,71
2024-05-27T11:40:57.393428,167,15398,22868,67
2024-05-27T11:40:57.393460,133,21003,26936,78
2024-05-27T11:40:57.393492,123,28385,33880,84
2024-05-27T11:40:57.393524,84.9,7941,11733,68
2024-05-27T11:40:57.393556,90.9,8739,12795,68
2024-05-27T11:40:57.393588,54.0,4865,7275,67
2024-05-27T11:40:57.393622,84.1,24535,28291,87
2024-05-27T11:40:57.393656,116,24380,29554,82
2024-05-27T11:40:57.393687,127,29071,34727,84
2024-05-27T11:40:57.393719,109,25958,30807,84
2024-05-27T11:40:57.393750,62.6,9400,12196,77
2024-05-27T11:40:57.393784,69.1,8386,11470,73
2024-05-27T11:40:57.393817,54.6,10252,12688,81
2024-05-27T11:40:57.393848,42.8,15303,17213,89
2024-05-27T11:40:57.393882,41.8,16228,18092,90
2024-05-27T11:40:57.393914,119,34185,39510,87
2024-05-27T11:40:57.393947,134,26632,32612,82
2024-05-27T11:40:57.394002,100,32677,37162,88
2024-05-27T11:40:57.394039,94.8,9962,14196,70
2024-05-27T11:40:57.394070,74.0,14890,18192,82
2024-05-27T11:40:57.394103,97.7,8654,13015,66
2024-05-27T11:40:57.394134,79.1,10875,14408,75
2024-05-27T11:40:57.394166,87.9,5000,8923,56
2024-05-27T11:40:57.394197,60.8,6229,8942,70
2024-05-27T11:40:57.394229,41.4,17069,18919,90
2024-05-27T11:40:57.394261,87.2,9599,13494,71
2024-05-27T11:40:57.394292,51.1,12287,14567,84
2024-05-27T11:40:57.394322,102,22801,27367,83
2024-05-27T11:40:57.394353,52.2,12022,14352,84
2024-05-27T11:40:57.394383,28.4,3415,4685,73
2024-05-27T11:40:57.394413,44.3,11193,13169,85
2024-05-27T11:40:57.394443,35.6,11954,13544,88
2024-05-27T11:40:57.394474,29.1,8916,10214,87
2024-05-27T11:40:57.394504,38.5,10763,12483,86
2024-05-27T11:40:57.394534,25.0,1246,2364,53
2024-05-27T11:40:57.394564,37.5,5143,6817,75
2024-05-27T11:40:57.394594,30.6,5395,6763,80
2024-05-27T11:40:57.394624,96.6,29907,34217,87
2024-05-27T11:40:57.394654,94.3,20202,24411,83
2024-05-27T11:40:57.394684,108,62097,66900,93
2024-05-27T11:40:57.394714,52.4,40506,42847,95
2024-05-27T11:40:57.394745,74.7,51136,54471,94
2024-05-27T11:40:57.394775,57.2,31837,34392,93
2024-05-27T11:41:21.893487,42.0,4751,6625,72
2024-05-27T11:41:21.893898,81.9,14245,17901,80
2024-05-27T11:41:21.894025,79.2,17850,21384,83
2024-05-27T11:41:21.894136,89.9,12074,16087,75
2024-05-27T11:41:21.894240,92.9,28107,32256,87
2024-05-27T11:41:21.894342,46.2,12149,14213,85
2024-05-27T11:41:21.894443,33.7,9983,11486,87
2024-05-27T11:41:21.894547,40.3,17016,18814,90
2024-05-27T11:41:21.894646,61.1,22683,25409,89
2024-05-27T11:41:21.894747,74.6,18498,21830,85
2024-05-27T11:41:21.894844,72.7,16432,19677,84
2024-05-27T11:41:21.895048,74.8,13575,16913,80
2024-05-27T11:41:21.895155,41.7,5376,7236,74
2024-05-27T11:41:21.895258,35.7,5189,6785,76
2024-05-27T11:41:21.895357,53.1,17616,19985,88
2024-05-27T11:41:21.895453,54.2,29344,31764,92
2024-05-27T11:41:21.895549,46.5,22768,24842,92
2024-05-27T11:41:21.895648,78.5,25001,28504,88
2024-05-27T11:41:21.895745,62.5,14088,16880,83
2024-05-27T11:41:21.895841,63.1,13796,16615,83
2024-05-27T11:41:21.895937,54.8,15311,17756,86
2024-05-27T11:41:21.896036,74.8,32400,35739,91
2024-05-27T11:41:21.896134,65.2,33753,36665,92
2024-05-27T11:41:21.896230,92.4,35318,39441,90
2024-05-27T11:41:21.896325,100,25714,30177,85
2024-05-27T11:41:21.896421,126,39872,45509,88
2024-05-27T11:41:21.896518,134,38872,44877,87
2024-05-27T11:41:21.896613,103,30493,35105,87
2024-05-27T11:41:21.896713,133,27450,33398,82
2024-05-27T11:41:21.896809,171,21509,29155,74
2024-05-27T11:41:21.896907,144,21040,27469,77
2024-05-27T11:41:21.897069,131,12052,17904,67
2024-05-27T11:41:21.897292,106,11452,16172,71
2024-05-27T11:41:21.897388,32.3,4862,6303,77
2024-05-27T11:41:21.897489,30.6,2859,4223,68
2024-05-27T11:41:21.897585,65.5,3999,6924,58
2024-05-27T11:41:21.897681,36.4,2723,4347,63
2024-05-27T11:41:21.897776,31.6,3205,4617,69
2024-05-27T11:41:21.897907,19.3,3402,4264,80
2024-05-27T11:41:21.898005,22.7,1632,2647,62
2024-05-27T11:41:21.898105,14.5,3277,3924,84
2024-05-27T11:41:21.898204,7.88,238367,238719,1e+02
2024-05-27T11:41:21.898300,0.11,154,159,97
2024-05-27T11:41:21.898396,1.21,560,614,91
2024-05-27T11:41:21.898495,2.06,425,517,82
2024-05-27T11:41:21.898654,11.6,405,924,44
2024-05-27T11:41:21.898752,14.4,-641,0,0
2024-05-27T11:41:21.899105,12.3,-551,0,0
2024-05-27T11:41:21.899227,4.34,-194,0,0
2024-05-27T11:41:47.393155,1.34,167529,167589,1e+02
2024-05-27T11:41:47.393547,10.3,-458,0,0
2024-05-27T11:41:47.393685,16.5,-735,0,0
2024-05-27T11:41:47.393797,18.9,-845,0,0
2024-05-27T11:41:47.393899,10.7,-478,0,0
2024-05-27T11:41:47.394004,11.1,-494,0,0
2024-05-27T11:41:47.394105,7.37,-329,0,0
2024-05-27T11:41:47.394205,6.77,-302,0,0
2024-05-27T11:41:47.394303,12.9,-577,0,0
2024-05-27T11:41:47.394399,23.5,-1051,0,0
2024-05-27T11:41:47.394493,19.1,-853,0,0
2024-05-27T11:41:47.394591,14.5,-648,0,0
2024-05-27T11:41:47.394688,20.5,-917,0,0
2024-05-27T11:41:47.394783,15.7,-412,291,-1.4e+02
2024-05-27T11:41:47.394880,14.9,1820,2486,73
