time,rtt_ms,operator
2024-05-27T15:23:36.911392-04:00,52.6,verizon
2024-05-27T15:23:37.106672-04:00,48.3,verizon
2024-05-27T15:23:37.324085-04:00,63.6,verizon
2024-05-27T15:23:37.519903-04:00,57.3,verizon
2024-05-27T15:23:37.719280-04:00,54.7,verizon
2024-05-27T15:23:37.925926-04:00,62.3,verizon
2024-05-27T15:23:38.124200-04:00,57.5,verizon
2024-05-27T15:23:38.355993-04:00,89.2,verizon
2024-05-27T15:23:38.529113-04:00,60.4,verizon
2024-05-27T15:23:38.726845-04:00,57.1,verizon
2024-05-27T15:23:38.928118-04:00,57.6,verizon
2024-05-27T15:23:39.128165-04:00,55.3,verizon
2024-05-27T15:23:39.328372-04:00,54.2,verizon
2024-05-27T15:23:39.528917-04:00,52.6,verizon
2024-05-27T15:23:39.770870-04:00,91.8,verizon
2024-05-27T15:23:39.927116-04:00,47.7,verizon
2024-05-27T15:23:40.139221-04:00,57.4,verizon
2024-05-27T15:23:40.339105-04:00,56.2,verizon
2024-05-27T15:23:40.546442-04:00,62.1,verizon
2024-05-27T15:23:40.738029-04:00,53.9,verizon
2024-05-27T15:23:40.939134-04:00,54.4,verizon
2024-05-27T15:23:41.140202-04:00,52.2,verizon
2024-05-27T15:23:41.348525-04:00,59.6,verizon
2024-05-27T15:23:41.559173-04:00,69.8,verizon
2024-05-27T15:23:41.764072-04:00,72.1,verizon
2024-05-27T15:23:41.946010-04:00,54.2,verizon
2024-05-27T15:23:42.155960-04:00,61.8,verizon
2024-05-27T15:23:42.346798-04:00,52.2,verizon
2024-05-27T15:23:42.548044-04:00,51.1,verizon
2024-05-27T15:23:42.795544-04:00,97.7,verizon
2024-05-27T15:23:42.958173-04:00,60.1,verizon
2024-05-27T15:23:43.156857-04:00,57.2,verizon
2024-05-27T15:23:43.361348-04:00,60.5,verizon
2024-05-27T15:23:43.559865-04:00,58.2,verizon
2024-05-27T15:23:43.756771-04:00,53.4,verizon
2024-05-27T15:23:43.983147-04:00,80.0,verizon
2024-05-27T15:23:44.158216-04:00,53.7,verizon
2024-05-27T15:23:44.357060-04:00,51.5,verizon
2024-05-27T15:23:44.570255-04:00,61.9,verizon
2024-05-27T15:23:44.768315-04:00,60.4,verizon
2024-05-27T15:23:44.988840-04:00,80.1,verizon
2024-05-27T15:23:45.159091-04:00,48.6,verizon
2024-05-27T15:23:45.376110-04:00,63.8,verizon
2024-05-27T15:23:45.574168-04:00,61.2,verizon
2024-05-27T15:23:45.768951-04:00,53.2,verizon
2024-05-27T15:23:45.967956-04:00,52.3,verizon
2024-05-27T15:23:46.185623-04:00,67.3,verizon
2024-05-27T15:23:46.377752-04:00,59.0,verizon
2024-05-27T15:23:46.568861-04:00,49.0,verizon
2024-05-27T15:23:46.788179-04:00,66.8,verizon
2024-05-27T15:23:46.985889-04:00,64.5,verizon
2024-05-27T15:23:47.179029-04:00,54.3,verizon
2024-05-27T15:23:47.389378-04:00,63.7,verizon
2024-05-27T15:23:47.604287-04:00,77.4,verizon
2024-05-27T15:23:47.786031-04:00,58.3,verizon
2024-05-27T15:23:47.985982-04:00,57.6,verizon
2024-05-27T15:23:48.178900-04:00,48.4,verizon
2024-05-27T15:23:48.394308-04:00,63.5,verizon
2024-05-27T15:23:48.596093-04:00,63.4,verizon
2024-05-27T15:23:48.793419-04:00,59.5,verizon
2024-05-27T15:23:48.988869-04:00,54.3,verizon
2024-05-27T15:23:49.188327-04:00,51.6,verizon
2024-05-27T15:23:49.392939-04:00,55.3,verizon
2024-05-27T15:23:49.597440-04:00,58.8,verizon
2024-05-27T15:23:49.795948-04:00,56.5,verizon
2024-05-27T15:23:50.002009-04:00,61.2,verizon
2024-05-27T15:23:50.199954-04:00,57.3,verizon
2024-05-27T15:23:50.421033-04:00,78.1,verizon
2024-05-27T15:23:50.610075-04:00,65.7,verizon
2024-05-27T15:23:50.803414-04:00,56.8,verizon
2024-05-27T15:23:51.016276-04:00,68.4,verizon
2024-05-27T15:23:51.198454-04:00,48.8,verizon
2024-05-27T15:23:51.413096-04:00,63.1,verizon
