Start time: 1716838607505
[2024-05-27 15:37:37.672820] Connecting to host 35.245.244.238, port 5201
[2024-05-27 15:37:37.673738] [  5] local 100.126.163.120 port 47124 connected to 35.245.244.238 port 5201
[2024-05-27 15:37:37.673793] [ ID] Interval           Transfer     Bitrate         Total Datagrams
[2024-05-27 15:37:37.673832] [  5]   0.00-0.50   sec   779 KBytes  12.8 Mbits/sec  570  
[2024-05-27 15:37:37.673869] [  5]   0.50-1.00   sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 15:37:37.673903] [  5]   1.00-1.50   sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:37:37.673938] [  5]   1.50-2.00   sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:37:37.673972] [  5]   2.00-2.50   sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:37:37.674006] [  5]   2.50-3.00   sec   219 KBytes  3.58 Mbits/sec  160  
[2024-05-27 15:37:37.674039] [  5]   3.00-3.50   sec   150 KBytes  2.46 Mbits/sec  110  
[2024-05-27 15:37:37.674072] [  5]   3.50-4.00   sec   164 KBytes  2.69 Mbits/sec  120  
[2024-05-27 15:37:37.674105] [  5]   4.00-4.50   sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:37:37.674139] [  5]   4.50-5.00   sec   219 KBytes  3.58 Mbits/sec  160  
[2024-05-27 15:37:37.674171] [  5]   5.00-5.50   sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:37:37.674205] [  5]   5.50-6.00   sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:37:37.674238] [  5]   6.00-6.50   sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:37:37.674271] [  5]   6.50-7.00   sec  68.4 KBytes  1.12 Mbits/sec  50  
[2024-05-27 15:37:37.674306] [  5]   7.00-7.50   sec   314 KBytes  5.16 Mbits/sec  230  
[2024-05-27 15:37:37.674339] [  5]   7.50-8.00   sec   219 KBytes  3.58 Mbits/sec  160  
[2024-05-27 15:37:37.674372] [  5]   8.00-8.50   sec   123 KBytes  2.02 Mbits/sec  90  
[2024-05-27 15:37:37.674408] [  5]   8.50-9.00   sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:37:37.674443] [  5]   9.00-9.50   sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:37:37.674475] [  5]   9.50-10.00  sec  82.0 KBytes  1.34 Mbits/sec  60  
[2024-05-27 15:37:37.674508] [  5]  10.00-10.50  sec   383 KBytes  6.28 Mbits/sec  280  
[2024-05-27 15:37:37.674542] [  5]  10.50-11.00  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:37:37.674574] [  5]  11.00-11.50  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:37:37.674607] [  5]  11.50-12.00  sec   314 KBytes  5.16 Mbits/sec  230  
[2024-05-27 15:37:37.674639] [  5]  12.00-12.50  sec   232 KBytes  3.81 Mbits/sec  170  
[2024-05-27 15:37:37.674674] [  5]  12.50-13.00  sec  68.4 KBytes  1.12 Mbits/sec  50  
[2024-05-27 15:37:37.674707] [  5]  13.00-13.50  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:37:37.674741] [  5]  13.50-14.00  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:37:37.674774] [  5]  14.00-14.50  sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:37:37.674806] [  5]  14.50-15.00  sec  68.4 KBytes  1.12 Mbits/sec  50  
[2024-05-27 15:37:37.674839] [  5]  15.00-15.50  sec   287 KBytes  4.71 Mbits/sec  210  
[2024-05-27 15:37:37.674870] [  5]  15.50-16.00  sec   232 KBytes  3.81 Mbits/sec  170  
[2024-05-27 15:37:37.674902] [  5]  16.00-16.50  sec   219 KBytes  3.58 Mbits/sec  160  
[2024-05-27 15:37:37.674933] [  5]  16.50-17.00  sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 15:37:37.674965] [  5]  17.00-17.50  sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:37:37.674997] [  5]  17.50-18.00  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:37:37.675029] [  5]  18.00-18.50  sec   164 KBytes  2.69 Mbits/sec  120  
[2024-05-27 15:37:37.675061] [  5]  18.50-19.00  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:37:37.675093] [  5]  19.00-19.50  sec   314 KBytes  5.15 Mbits/sec  230  
[2024-05-27 15:37:37.675129] [  5]  19.50-20.00  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:37:37.675161] [  5]  20.00-20.50  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:37:37.675193] [  5]  20.50-21.00  sec   232 KBytes  3.81 Mbits/sec  170  
[2024-05-27 15:37:37.675226] [  5]  21.00-21.50  sec   219 KBytes  3.58 Mbits/sec  160  
