Start time: 1716934688828
[2024-05-28 18:18:09.922867] nuttcp-t: v8.1.4: socket
[2024-05-28 18:18:09.924225] nuttcp-t: buflen=65536, nstream=1, port=5001 tcp -> 35.245.244.238
[2024-05-28 18:18:09.924358] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 18:18:09.924460] nuttcp-t: connect to 35.245.244.238 with mss=1376, RTT=59.374 ms af=inet
[2024-05-28 18:18:09.924553] nuttcp-t: send window size = 1048576, receive window size = 4194304
[2024-05-28 18:18:09.924644] nuttcp-t: available send window = 786432, available receive window = 3145728
[2024-05-28 18:18:09.924735] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-28 18:18:09.924823] nuttcp-r: v8.1.4: socket
[2024-05-28 18:18:09.924912] nuttcp-r: buflen=65536, nstream=1, port=5001 tcp
[2024-05-28 18:18:09.924997] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 18:18:09.925088] nuttcp-r: accept from 174.224.162.179 with af=inet
[2024-05-28 18:18:09.925175] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 18:18:09.925261] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 18:18:09.925365]     0.5000 MB /   0.50 sec =    8.3877 Mbps     0 retrans    860 KB-cwnd
[2024-05-28 18:18:10.424280]     0.7500 MB /   0.50 sec =   12.5835 Mbps     0 retrans   1205 KB-cwnd
[2024-05-28 18:18:10.961375]     0.5625 MB /   0.50 sec =    9.4366 Mbps     0 retrans   1271 KB-cwnd
[2024-05-28 18:18:11.448706]     0.6875 MB /   0.50 sec =   11.5351 Mbps     0 retrans   1288 KB-cwnd
[2024-05-28 18:18:12.378239]     0.5625 MB /   0.50 sec =    9.4365 Mbps     0 retrans   1288 KB-cwnd
[2024-05-28 18:18:12.378567]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans   1288 KB-cwnd
[2024-05-28 18:18:13.034307]     0.8750 MB /   0.50 sec =   14.6802 Mbps     0 retrans   1443 KB-cwnd
[2024-05-28 18:18:13.361298]     1.0000 MB /   0.50 sec =   16.7761 Mbps     0 retrans   1443 KB-cwnd
[2024-05-28 18:18:13.944817]     1.1250 MB /   0.50 sec =   18.8756 Mbps     0 retrans   1467 KB-cwnd
[2024-05-28 18:18:14.532932]     1.2500 MB /   0.50 sec =   20.9717 Mbps     0 retrans   1467 KB-cwnd
[2024-05-28 18:18:14.805831]     1.1875 MB /   0.50 sec =   19.9223 Mbps     0 retrans   1467 KB-cwnd
[2024-05-28 18:18:15.358830]     1.1875 MB /   0.50 sec =   19.9226 Mbps     0 retrans   1467 KB-cwnd
[2024-05-28 18:18:15.908749]     1.2500 MB /   0.50 sec =   20.9707 Mbps     0 retrans   1472 KB-cwnd
[2024-05-28 18:18:16.414913]     1.3125 MB /   0.50 sec =   22.0212 Mbps     0 retrans   1472 KB-cwnd
[2024-05-28 18:18:17.148623]     1.1875 MB /   0.50 sec =   19.9218 Mbps     0 retrans   1472 KB-cwnd
[2024-05-28 18:18:17.505736]     0.7500 MB /   0.50 sec =   12.5837 Mbps     0 retrans   1472 KB-cwnd
[2024-05-28 18:18:17.814175]     1.0000 MB /   0.50 sec =   16.7773 Mbps     0 retrans   1472 KB-cwnd
[2024-05-28 18:18:18.403565]     1.1875 MB /   0.50 sec =   19.9217 Mbps     0 retrans   1472 KB-cwnd
[2024-05-28 18:18:18.952688]     1.1875 MB /   0.50 sec =   19.9243 Mbps     0 retrans   1472 KB-cwnd
[2024-05-28 18:18:19.480754]     1.2500 MB /   0.50 sec =   20.9706 Mbps     0 retrans   1472 KB-cwnd
