Start time: 1716943014617
[2024-05-28 20:36:54.752553] PING 35.245.244.238 (35.245.244.238) 38(66) bytes of data.
[2024-05-28 20:36:54.753158] 46 bytes from 35.245.244.238: icmp_seq=1 ttl=55 time=88.5 ms
[2024-05-28 20:36:54.955075] 46 bytes from 35.245.244.238: icmp_seq=2 ttl=55 time=89.1 ms
[2024-05-28 20:36:55.116462] 46 bytes from 35.245.244.238: icmp_seq=3 ttl=55 time=48.8 ms
[2024-05-28 20:36:55.317595] 46 bytes from 35.245.244.238: icmp_seq=4 ttl=55 time=47.4 ms
[2024-05-28 20:36:55.544199] 46 bytes from 35.245.244.238: icmp_seq=5 ttl=55 time=72.2 ms
[2024-05-28 20:36:55.715612] 46 bytes from 35.245.244.238: icmp_seq=6 ttl=55 time=43.8 ms
[2024-05-28 20:36:55.943424] 46 bytes from 35.245.244.238: icmp_seq=7 ttl=55 time=69.8 ms
[2024-05-28 20:36:56.147245] 46 bytes from 35.245.244.238: icmp_seq=8 ttl=55 time=73.1 ms
[2024-05-28 20:36:56.353703] 46 bytes from 35.245.244.238: icmp_seq=9 ttl=55 time=79.3 ms
[2024-05-28 20:36:56.555358] 46 bytes from 35.245.244.238: icmp_seq=10 ttl=55 time=79.8 ms
[2024-05-28 20:36:56.743245] 46 bytes from 35.245.244.238: icmp_seq=11 ttl=55 time=68.3 ms
[2024-05-28 20:36:56.947345] 46 bytes from 35.245.244.238: icmp_seq=12 ttl=55 time=70.2 ms
[2024-05-28 20:36:57.160616] 46 bytes from 35.245.244.238: icmp_seq=13 ttl=55 time=82.2 ms
[2024-05-28 20:36:57.347038] 46 bytes from 35.245.244.238: icmp_seq=14 ttl=55 time=66.1 ms
[2024-05-28 20:36:57.553348] 46 bytes from 35.245.244.238: icmp_seq=15 ttl=55 time=69.9 ms
[2024-05-28 20:36:57.746241] 46 bytes from 35.245.244.238: icmp_seq=16 ttl=55 time=63.6 ms
[2024-05-28 20:36:57.953944] 46 bytes from 35.245.244.238: icmp_seq=17 ttl=55 time=68.5 ms
[2024-05-28 20:36:58.146437] 46 bytes from 35.245.244.238: icmp_seq=18 ttl=55 time=61.0 ms
[2024-05-28 20:36:58.353543] 46 bytes from 35.245.244.238: icmp_seq=19 ttl=55 time=67.4 ms
[2024-05-28 20:36:58.555685] 46 bytes from 35.245.244.238: icmp_seq=20 ttl=55 time=67.4 ms
[2024-05-28 20:36:58.742679] 46 bytes from 35.245.244.238: icmp_seq=21 ttl=55 time=53.7 ms
[2024-05-28 20:36:58.936372] 46 bytes from 35.245.244.238: icmp_seq=22 ttl=55 time=44.2 ms
[2024-05-28 20:36:59.167683] 46 bytes from 35.245.244.238: icmp_seq=23 ttl=55 time=73.5 ms
[2024-05-28 20:36:59.357230] 46 bytes from 35.245.244.238: icmp_seq=24 ttl=55 time=63.3 ms
[2024-05-28 20:36:59.566312] 46 bytes from 35.245.244.238: icmp_seq=25 ttl=55 time=71.7 ms
[2024-05-28 20:36:59.756393] 46 bytes from 35.245.244.238: icmp_seq=26 ttl=55 time=60.7 ms
[2024-05-28 20:36:59.975175] 46 bytes from 35.245.244.238: icmp_seq=27 ttl=55 time=76.2 ms
[2024-05-28 20:37:00.158417] 46 bytes from 35.245.244.238: icmp_seq=28 ttl=55 time=57.9 ms
[2024-05-28 20:37:00.358193] 46 bytes from 35.245.244.238: icmp_seq=29 ttl=55 time=56.4 ms
[2024-05-28 20:37:00.546166] 46 bytes from 35.245.244.238: icmp_seq=30 ttl=55 time=44.6 ms
[2024-05-28 20:37:00.756277] 46 bytes from 35.245.244.238: icmp_seq=31 ttl=55 time=53.3 ms
[2024-05-28 20:37:00.982774] 46 bytes from 35.245.244.238: icmp_seq=32 ttl=55 time=78.2 ms
[2024-05-28 20:37:01.167262] 46 bytes from 35.245.244.238: icmp_seq=33 ttl=55 time=61.0 ms
[2024-05-28 20:37:01.388899] 46 bytes from 35.245.244.238: icmp_seq=34 ttl=55 time=82.3 ms
[2024-05-28 20:37:01.586672] 46 bytes from 35.245.244.238: icmp_seq=35 ttl=55 time=78.7 ms
[2024-05-28 20:37:01.792254] 46 bytes from 35.245.244.238: icmp_seq=36 ttl=55 time=84.1 ms
[2024-05-28 20:37:01.987152] 46 bytes from 35.245.244.238: icmp_seq=37 ttl=55 time=76.3 ms
[2024-05-28 20:37:02.165548] 46 bytes from 35.245.244.238: icmp_seq=38 ttl=55 time=52.5 ms
[2024-05-28 20:37:02.367179] 46 bytes from 35.245.244.238: icmp_seq=39 ttl=55 time=54.0 ms
[2024-05-28 20:37:02.598328] 46 bytes from 35.245.244.238: icmp_seq=40 ttl=55 time=83.7 ms
[2024-05-28 20:37:02.786324] 46 bytes from 35.245.244.238: icmp_seq=41 ttl=55 time=71.3 ms
[2024-05-28 20:37:03.009749] 46 bytes from 35.245.244.238: icmp_seq=42 ttl=55 time=92.4 ms
[2024-05-28 20:37:03.187320] 46 bytes from 35.245.244.238: icmp_seq=43 ttl=55 time=69.5 ms
[2024-05-28 20:37:03.402117] 46 bytes from 35.245.244.238: icmp_seq=44 ttl=55 time=83.5 ms
[2024-05-28 20:37:03.586984] 46 bytes from 35.245.244.238: icmp_seq=45 ttl=55 time=67.2 ms
[2024-05-28 20:37:03.794218] 46 bytes from 35.245.244.238: icmp_seq=46 ttl=55 time=73.6 ms
[2024-05-28 20:37:03.986175] 46 bytes from 35.245.244.238: icmp_seq=47 ttl=55 time=65.1 ms
[2024-05-28 20:37:04.194473] 46 bytes from 35.245.244.238: icmp_seq=48 ttl=55 time=71.3 ms
[2024-05-28 20:37:04.389111] 46 bytes from 35.245.244.238: icmp_seq=49 ttl=55 time=64.1 ms
[2024-05-28 20:37:04.627460] 46 bytes from 35.245.244.238: icmp_seq=50 ttl=55 time=100 ms
[2024-05-28 20:37:04.786034] 46 bytes from 35.245.244.238: icmp_seq=51 ttl=55 time=59.5 ms
[2024-05-28 20:37:04.993189] 46 bytes from 35.245.244.238: icmp_seq=52 ttl=55 time=65.9 ms
[2024-05-28 20:37:05.206337] 46 bytes from 35.245.244.238: icmp_seq=53 ttl=55 time=77.3 ms
[2024-05-28 20:37:05.394123] 46 bytes from 35.245.244.238: icmp_seq=54 ttl=55 time=64.5 ms
[2024-05-28 20:37:05.595101] 46 bytes from 35.245.244.238: icmp_seq=55 ttl=55 time=64.7 ms
[2024-05-28 20:37:05.826300] 46 bytes from 35.245.244.238: icmp_seq=56 ttl=55 time=95.9 ms
[2024-05-28 20:37:05.987265] 46 bytes from 35.245.244.238: icmp_seq=57 ttl=55 time=55.5 ms
[2024-05-28 20:37:06.207278] 46 bytes from 35.245.244.238: icmp_seq=58 ttl=55 time=73.3 ms
[2024-05-28 20:37:06.395308] 46 bytes from 35.245.244.238: icmp_seq=59 ttl=55 time=60.5 ms
[2024-05-28 20:37:06.584090] 46 bytes from 35.245.244.238: icmp_seq=60 ttl=55 time=46.6 ms
[2024-05-28 20:37:06.786203] 46 bytes from 35.245.244.238: icmp_seq=61 ttl=55 time=48.3 ms
[2024-05-28 20:37:06.995576] 46 bytes from 35.245.244.238: icmp_seq=62 ttl=55 time=55.2 ms
