Start time: 1716823746482
[2024-05-27 11:29:38.714979] Connecting to host 35.245.244.238, port 5203
[2024-05-27 11:29:38.715648] [  5] local 192.168.1.21 port 38145 connected to 35.245.244.238 port 5203
[2024-05-27 11:29:38.715703] [ ID] Interval           Transfer     Bitrate         Total Datagrams
[2024-05-27 11:29:38.715740] [  5]   0.00-0.50   sec  19.4 MBytes   325 Mbits/sec  14500  
[2024-05-27 11:29:38.715773] [  5]   0.50-1.00   sec  19.0 MBytes   318 Mbits/sec  14210  
[2024-05-27 11:29:38.715810] [  5]   1.00-1.50   sec  17.9 MBytes   300 Mbits/sec  13430  
[2024-05-27 11:29:38.715845] [  5]   1.50-2.00   sec  18.3 MBytes   307 Mbits/sec  13690  
[2024-05-27 11:29:38.715879] [  5]   2.00-2.50   sec  17.7 MBytes   297 Mbits/sec  13280  
[2024-05-27 11:29:38.715911] [  5]   2.50-3.00   sec  17.3 MBytes   289 Mbits/sec  12920  
[2024-05-27 11:29:38.715949] [  5]   3.00-3.50   sec  18.8 MBytes   316 Mbits/sec  14090  
[2024-05-27 11:29:38.715985] [  5]   3.50-4.00   sec  17.5 MBytes   294 Mbits/sec  13120  
[2024-05-27 11:29:38.716021] [  5]   4.00-4.50   sec  18.2 MBytes   306 Mbits/sec  13640  
[2024-05-27 11:29:38.716055] [  5]   4.50-5.00   sec  18.6 MBytes   312 Mbits/sec  13950  
[2024-05-27 11:29:38.716088] [  5]   5.00-5.50   sec  17.3 MBytes   291 Mbits/sec  12990  
[2024-05-27 11:29:38.716118] [  5]   5.50-6.00   sec  17.8 MBytes   298 Mbits/sec  13300  
[2024-05-27 11:29:38.716152] [  5]   6.00-6.50   sec  16.7 MBytes   280 Mbits/sec  12510  
[2024-05-27 11:29:38.716183] [  5]   6.50-7.00   sec  16.5 MBytes   277 Mbits/sec  12350  
[2024-05-27 11:29:38.716217] [  5]   7.00-7.50   sec  17.1 MBytes   287 Mbits/sec  12810  
[2024-05-27 11:29:38.716252] [  5]   7.50-8.00   sec  17.3 MBytes   290 Mbits/sec  12950  
[2024-05-27 11:29:38.716284] [  5]   8.00-8.50   sec  17.0 MBytes   284 Mbits/sec  12700  
[2024-05-27 11:29:38.716315] [  5]   8.50-9.00   sec  18.1 MBytes   303 Mbits/sec  13520  
[2024-05-27 11:29:38.716347] [  5]   9.00-9.50   sec  17.5 MBytes   294 Mbits/sec  13140  
[2024-05-27 11:29:38.716380] [  5]   9.50-10.00  sec  17.8 MBytes   298 Mbits/sec  13300  
[2024-05-27 11:29:38.716413] [  5]  10.00-10.50  sec  17.4 MBytes   292 Mbits/sec  13050  
[2024-05-27 11:29:38.716444] [  5]  10.50-11.00  sec  17.5 MBytes   294 Mbits/sec  13100  
[2024-05-27 11:29:38.716475] [  5]  11.00-11.50  sec  17.9 MBytes   300 Mbits/sec  13400  
[2024-05-27 11:29:38.716506] [  5]  11.50-12.00  sec  17.3 MBytes   290 Mbits/sec  12960  
[2024-05-27 11:29:38.716538] [  5]  12.00-12.50  sec  17.4 MBytes   292 Mbits/sec  13040  
[2024-05-27 11:29:38.716572] [  5]  12.50-13.00  sec  17.0 MBytes   286 Mbits/sec  12770  
[2024-05-27 11:29:38.716602] [  5]  13.00-13.50  sec  17.0 MBytes   285 Mbits/sec  12740  
[2024-05-27 11:29:38.716633] [  5]  13.50-14.00  sec  18.5 MBytes   311 Mbits/sec  13870  
[2024-05-27 11:29:38.716665] [  5]  14.00-14.50  sec  18.4 MBytes   308 Mbits/sec  13760  
