time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-27T17:27:27.655733,401,4623,22542,21
2024-05-27T17:27:27.655766,417,3641,22238,16
2024-05-27T17:27:27.655800,261,10515,22148,47
2024-05-27T17:27:27.655832,391,5091,22544,23
2024-05-27T17:27:27.655864,377,5484,22293,25
2024-05-27T17:27:27.655897,304,8768,22338,39
2024-05-27T17:27:27.655932,423,3493,22366,16
2024-05-27T17:27:27.655965,419,3467,22168,16
2024-05-27T17:27:27.655998,418,3682,22342,16
2024-05-27T17:27:27.656032,423,3504,22394,16
2024-05-27T17:27:27.656064,354,6480,22266,29
2024-05-27T17:27:27.656097,302,8913,22373,40
2024-05-27T17:27:27.656129,421,3454,22252,16
2024-05-27T17:27:27.656160,419,3490,22180,16
2024-05-27T17:27:27.656195,307,6794,20552,33
2024-05-27T17:27:27.656229,129,18021,23779,76
2024-05-27T17:27:27.656263,355,7112,22962,31
2024-05-27T17:27:27.656298,413,3159,21605,15
2024-05-27T17:27:27.656332,343,7567,22890,33
2024-05-27T17:27:27.656367,274,9957,22205,45
2024-05-27T17:27:27.656403,337,6664,21690,31
2024-05-27T17:27:27.656436,203,13659,22726,60
2024-05-27T17:27:27.656467,336,7100,22089,32
2024-05-27T17:27:27.656500,252,11314,22549,50
2024-05-27T17:27:27.656533,314,7693,21732,35
2024-05-27T17:27:27.656566,376,6416,23182,28
2024-05-27T17:27:27.656599,324,7150,21616,33
2024-05-27T17:27:27.656732,281,9894,22433,44
2024-05-27T17:27:27.656796,351,7096,22785,31
2024-05-27T17:27:27.656828,358,5746,21711,26
2024-05-27T17:27:27.656860,302,8610,22113,39
2024-05-27T17:27:27.656894,253,10730,22048,49
2024-05-27T17:27:27.656926,289,10582,23486,45
2024-05-27T17:27:27.656986,369,5741,22232,26
2024-05-27T17:27:27.657021,242,11257,22048,51
2024-05-27T17:27:27.657045,149,15110,21773,69
2024-05-27T17:27:27.657068,306,9269,22914,40
2024-05-27T17:27:27.657106,303,8546,22077,39
2024-05-27T17:27:27.657141,352,7344,23057,32
2024-05-27T17:27:27.657177,375,4696,21424,22
2024-05-27T17:27:27.657211,391,5428,22889,24
2024-05-27T17:27:27.657234,407,3933,22104,18
2024-05-27T17:27:27.657257,246,11849,22830,52
2024-05-27T17:27:27.657351,344,6858,22221,31
2024-05-27T17:27:27.657375,299,6724,20077,33
2024-05-27T17:27:27.657398,97.2,20397,24734,82
2024-05-27T17:27:52.155471,140,15109,21356,71
2024-05-27T17:27:52.155931,169,15652,23208,67
2024-05-27T17:27:52.156033,166,14935,22338,67
2024-05-27T17:27:52.156120,261,10604,22234,48
2024-05-27T17:27:52.156199,131,16536,22362,74
