time,throughput_mbps,retrans,cwnd_kb
2024-05-28T14:51:12.283339,19.9021,0,13
2024-05-28T14:51:12.782372,161.6265,0,13
2024-05-28T14:51:13.281914,147.8477,0,13
2024-05-28T14:51:13.781777,161.4959,0,13
2024-05-28T14:51:14.282407,164.6106,0,13
2024-05-28T14:51:14.781945,164.6271,0,13
2024-05-28T14:51:15.282034,165.6578,0,13
2024-05-28T14:51:15.781982,140.5370,0,13
2024-05-28T14:51:16.282511,145.7296,0,13
2024-05-28T14:51:16.782194,139.4232,0,13
2024-05-28T14:51:17.283251,146.7223,0,13
2024-05-28T14:51:17.781933,152.1735,0,13
2024-05-28T14:51:18.282184,157.2647,0,13
2024-05-28T14:51:18.782466,148.9201,0,13
2024-05-28T14:51:19.283732,151.5332,0,13
2024-05-28T14:51:19.782441,147.2858,0,17
2024-05-28T14:51:20.281984,138.4386,0,17
2024-05-28T14:51:20.781794,114.2893,0,19
2024-05-28T14:51:21.282170,162.4568,0,19
2024-05-28T14:51:21.783211,22.0258,0,19
2024-05-28T14:51:22.283320,64.9566,0,22
2024-05-28T14:51:22.781888,159.5367,0,22
2024-05-28T14:51:23.281977,163.5697,0,27
2024-05-28T14:51:23.781943,197.1358,0,27
2024-05-28T14:51:24.282313,192.9287,0,27
2024-05-28T14:51:24.783389,167.6139,0,27
2024-05-28T14:51:25.281958,230.9172,0,27
2024-05-28T14:51:25.781875,232.8006,0,27
2024-05-28T14:51:26.281804,223.3570,0,27
2024-05-28T14:51:26.784131,155.6913,0,28
2024-05-28T14:51:27.282287,131.5054,0,28
2024-05-28T14:51:27.782430,242.2511,0,33
2024-05-28T14:51:28.281956,232.7862,0,33
2024-05-28T14:51:28.782239,259.0024,0,34
2024-05-28T14:51:29.283391,260.8038,0,41
2024-05-28T14:51:29.781851,281.3526,0,49
2024-05-28T14:51:30.281778,273.6822,0,55
2024-05-28T14:51:30.781964,276.7831,0,55
2024-05-28T14:51:31.282397,269.4835,0,55
2024-05-28T14:51:31.782806,199.0571,0,56
2024-05-28T14:51:32.282488,235.0888,9,2268
2024-05-28T14:51:32.782460,253.7579,0,2268
2024-05-28T14:51:33.282872,266.9320,0,2268
2024-05-28T14:51:33.781875,226.8890,0,2268
2024-05-28T14:51:34.282488,276.8135,0,2268
2024-05-28T14:51:34.782272,283.9574,0,2268
2024-05-28T14:51:35.281910,260.2493,0,2268
2024-05-28T14:51:35.781941,247.4595,0,2268
2024-05-28T14:51:36.282035,260.0671,0,2268
2024-05-28T14:51:36.782000,285.1482,1089,3327
2024-05-28T14:51:37.282056,228.5699,0,3327
2024-05-28T14:51:37.781997,240.1374,0,3327
2024-05-28T14:51:38.282656,246.4651,0,3327
2024-05-28T14:51:38.782521,252.6634,0,3327
2024-05-28T14:51:39.282838,103.7343,0,3327
2024-05-28T14:51:39.782444,235.0775,0,3327
2024-05-28T14:51:40.281920,248.5225,0,3327
2024-05-28T14:51:40.782496,245.3476,0,3327
2024-05-28T14:51:41.282170,249.5566,0,3327
2024-05-28T14:51:41.781940,154.1586,3,3751
2024-05-28T14:51:42.281926,14.6793,0,3751
2024-05-28T14:51:42.781882,20.9721,0,3751
2024-05-28T14:51:43.283225,0.0000,0,3751
2024-05-28T14:51:43.781925,118.7749,0,3751
2024-05-28T14:51:44.282898,103.7173,0,3751
2024-05-28T14:51:44.781968,128.0382,0,3781
2024-05-28T14:51:45.283144,83.8844,0,3781
2024-05-28T14:51:45.782017,136.3015,0,3781
2024-05-28T14:51:46.282333,91.2466,0,3781
2024-05-28T14:51:46.782557,177.1045,0,3781
2024-05-28T14:51:47.281959,204.5746,0,3797
2024-05-28T14:51:47.783280,180.9513,0,3797
2024-05-28T14:51:48.281907,203.9389,0,3797
2024-05-28T14:51:48.782535,209.6804,0,3797
2024-05-28T14:51:49.282863,133.0606,0,3797
2024-05-28T14:51:49.781866,66.1272,0,3797
2024-05-28T14:51:50.282001,97.5076,0,3797
2024-05-28T14:51:50.782323,97.4505,0,3797
