Start time: 1716931798226
[2024-05-28 17:29:59.114596] nuttcp-t: v8.1.4: socket
[2024-05-28 17:29:59.115531] nuttcp-t: buflen=65536, nstream=1, port=5003 tcp -> 35.245.244.238
[2024-05-28 17:29:59.115639] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 17:29:59.115714] nuttcp-t: connect to 35.245.244.238 with mss=1408, RTT=44.044 ms af=inet
[2024-05-28 17:29:59.115790] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-05-28 17:29:59.115861] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-05-28 17:29:59.116161] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-28 17:29:59.116253] nuttcp-r: v8.1.4: socket
[2024-05-28 17:29:59.116326] nuttcp-r: buflen=65536, nstream=1, port=5003 tcp
[2024-05-28 17:29:59.116394] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 17:29:59.116461] nuttcp-r: accept from 98.97.16.43 with af=inet
[2024-05-28 17:29:59.116526] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 17:29:59.116593] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 17:29:59.116681]     0.5625 MB /   0.50 sec =    9.4359 Mbps    10 retrans    259 KB-cwnd
[2024-05-28 17:29:59.958442]     1.6875 MB /   0.50 sec =   28.3115 Mbps    11 retrans    103 KB-cwnd
[2024-05-28 17:30:00.467383]     0.8750 MB /   0.50 sec =   14.6802 Mbps     1 retrans     86 KB-cwnd
[2024-05-28 17:30:01.014136]     0.7500 MB /   0.50 sec =   12.5805 Mbps     0 retrans     90 KB-cwnd
[2024-05-28 17:30:01.570435]     0.6250 MB /   0.50 sec =   10.4871 Mbps     1 retrans     77 KB-cwnd
[2024-05-28 17:30:01.570684]     0.6875 MB /   0.50 sec =   11.5356 Mbps     0 retrans     77 KB-cwnd
[2024-05-28 17:30:02.085354]     0.8125 MB /   0.50 sec =   13.6279 Mbps     0 retrans     89 KB-cwnd
[2024-05-28 17:30:02.605308]     0.7500 MB /   0.50 sec =   12.5856 Mbps     0 retrans     94 KB-cwnd
[2024-05-28 17:30:03.066164]     0.7500 MB /   0.50 sec =   12.5833 Mbps     0 retrans     99 KB-cwnd
[2024-05-28 17:30:03.545765]     0.8750 MB /   0.50 sec =   14.6798 Mbps     2 retrans     93 KB-cwnd
[2024-05-28 17:30:04.643679]     0.7500 MB /   0.50 sec =   12.5827 Mbps     1 retrans     82 KB-cwnd
[2024-05-28 17:30:04.644187]     0.6250 MB /   0.50 sec =   10.4861 Mbps     0 retrans     82 KB-cwnd
[2024-05-28 17:30:05.159258]     0.6875 MB /   0.50 sec =   11.5342 Mbps     0 retrans     89 KB-cwnd
[2024-05-28 17:30:05.592225]     0.7500 MB /   0.50 sec =   12.5827 Mbps     2 retrans    119 KB-cwnd
[2024-05-28 17:30:06.250136]     1.1875 MB /   0.50 sec =   19.9229 Mbps     2 retrans     94 KB-cwnd
[2024-05-28 17:30:06.725835]     1.0000 MB /   0.50 sec =   16.7779 Mbps     0 retrans    101 KB-cwnd
[2024-05-28 17:30:07.206197]     0.7500 MB /   0.50 sec =   12.5826 Mbps     1 retrans     85 KB-cwnd
[2024-05-28 17:30:07.686631]     0.6875 MB /   0.50 sec =   11.5343 Mbps     0 retrans     92 KB-cwnd
[2024-05-28 17:30:08.212583]     0.8125 MB /   0.50 sec =   13.6315 Mbps     0 retrans     96 KB-cwnd
[2024-05-28 17:30:08.691655]     0.6875 MB /   0.50 sec =   11.5348 Mbps     3 retrans    110 KB-cwnd
[2024-05-28 17:30:09.217877]     0.8125 MB /   0.50 sec =   13.6309 Mbps     5 retrans     74 KB-cwnd
[2024-05-28 17:30:09.779655]     0.6250 MB /   0.50 sec =   10.4860 Mbps     0 retrans     79 KB-cwnd
[2024-05-28 17:30:10.369878]     0.6250 MB /   0.50 sec =   10.4853 Mbps     0 retrans     85 KB-cwnd
[2024-05-28 17:30:11.120293]     0.6250 MB /   0.50 sec =   10.4860 Mbps     0 retrans    156 KB-cwnd
[2024-05-28 17:30:11.120615]     0.5000 MB /   0.50 sec =    8.3885 Mbps     0 retrans    156 KB-cwnd
[2024-05-28 17:30:11.683968]     0.8125 MB /   0.50 sec =   13.6323 Mbps     7 retrans    114 KB-cwnd
[2024-05-28 17:30:12.221468]     0.6250 MB /   0.50 sec =   10.4852 Mbps     1 retrans     94 KB-cwnd
[2024-05-28 17:30:12.808954]     0.6250 MB /   0.50 sec =   10.4850 Mbps     0 retrans     99 KB-cwnd
[2024-05-28 17:30:13.344130]     0.6250 MB /   0.50 sec =   10.4867 Mbps     1 retrans     82 KB-cwnd
[2024-05-28 17:30:13.853156]     0.6250 MB /   0.50 sec =   10.4856 Mbps     0 retrans     88 KB-cwnd
[2024-05-28 17:30:14.320628]     0.8125 MB /   0.50 sec =   13.6309 Mbps     1 retrans     81 KB-cwnd
[2024-05-28 17:30:14.806532]     0.7500 MB /   0.50 sec =   12.5836 Mbps     0 retrans     86 KB-cwnd
[2024-05-28 17:30:15.284159]     0.8125 MB /   0.50 sec =   13.6314 Mbps     0 retrans     90 KB-cwnd
[2024-05-28 17:30:15.716649]     0.7500 MB /   0.50 sec =   12.5832 Mbps     0 retrans     99 KB-cwnd
[2024-05-28 17:30:16.184439]     1.0000 MB /   0.50 sec =   16.7771 Mbps     2 retrans     90 KB-cwnd
[2024-05-28 17:30:16.734638]     0.6250 MB /   0.50 sec =   10.4850 Mbps     0 retrans     96 KB-cwnd
[2024-05-28 17:30:17.374064]     0.6250 MB /   0.50 sec =   10.4863 Mbps     1 retrans     81 KB-cwnd
[2024-05-28 17:30:17.923762]     0.6875 MB /   0.50 sec =   11.5346 Mbps     0 retrans     93 KB-cwnd
[2024-05-28 17:30:18.515604]     0.6875 MB /   0.50 sec =   11.5342 Mbps     0 retrans     99 KB-cwnd
[2024-05-28 17:30:19.062474]     0.6250 MB /   0.50 sec =   10.4857 Mbps     1 retrans     92 KB-cwnd
[2024-05-28 17:30:19.062919]     0.6250 MB /   0.50 sec =   10.4860 Mbps     0 retrans     92 KB-cwnd
[2024-05-28 17:30:19.545894]     0.8125 MB /   0.50 sec =   13.6314 Mbps     0 retrans     97 KB-cwnd
[2024-05-28 17:30:20.420601]     0.8750 MB /   0.50 sec =   14.6800 Mbps     2 retrans     75 KB-cwnd
[2024-05-28 17:30:20.937306]     0.7500 MB /   0.50 sec =   12.5827 Mbps     0 retrans     81 KB-cwnd
[2024-05-28 17:30:21.497028]     0.6875 MB /   0.50 sec =   11.5348 Mbps     0 retrans     86 KB-cwnd
[2024-05-28 17:30:22.006314]     0.6875 MB /   0.50 sec =   11.5337 Mbps     3 retrans    134 KB-cwnd
[2024-05-28 17:30:22.505781]     0.8750 MB /   0.50 sec =   14.6805 Mbps     3 retrans     90 KB-cwnd
[2024-05-28 17:30:23.044254]     0.7500 MB /   0.50 sec =   12.5830 Mbps     0 retrans     94 KB-cwnd
