Start time: 1716936110483
[2024-05-28 18:41:51.479482] nuttcp-t: v8.1.4: socket
[2024-05-28 18:41:51.480446] nuttcp-t: buflen=65536, nstream=1, port=5003 tcp -> 35.245.244.238
[2024-05-28 18:41:51.480506] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 18:41:51.480547] nuttcp-t: connect to 35.245.244.238 with mss=1408, RTT=45.082 ms af=inet
[2024-05-28 18:41:51.480585] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-05-28 18:41:51.480618] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-05-28 18:41:51.480653] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-28 18:41:51.480684] nuttcp-r: v8.1.4: socket
[2024-05-28 18:41:51.480715] nuttcp-r: buflen=65536, nstream=1, port=5003 tcp
[2024-05-28 18:41:51.480747] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 18:41:51.480779] nuttcp-r: accept from 98.97.16.43 with af=inet
[2024-05-28 18:41:51.480810] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 18:41:51.480844] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 18:41:51.480884]     1.2500 MB /   0.50 sec =   20.9699 Mbps    13 retrans     96 KB-cwnd
[2024-05-28 18:41:51.840157]     0.9375 MB /   0.50 sec =   15.7290 Mbps     0 retrans     79 KB-cwnd
[2024-05-28 18:41:52.881133]     0.8125 MB /   0.50 sec =   13.6310 Mbps     2 retrans     53 KB-cwnd
[2024-05-28 18:41:52.881361]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans     53 KB-cwnd
[2024-05-28 18:41:53.860045]     0.4375 MB /   0.50 sec =    7.3399 Mbps     0 retrans     60 KB-cwnd
[2024-05-28 18:41:53.860409]     0.1875 MB /   0.50 sec =    3.1459 Mbps     0 retrans     60 KB-cwnd
[2024-05-28 18:41:54.380417]     0.5625 MB /   0.50 sec =    9.4366 Mbps     0 retrans     74 KB-cwnd
[2024-05-28 18:41:55.147324]     0.7500 MB /   0.50 sec =   12.5834 Mbps     3 retrans     71 KB-cwnd
[2024-05-28 18:41:55.570566]     0.8125 MB /   0.50 sec =   13.6319 Mbps     0 retrans     75 KB-cwnd
[2024-05-28 18:41:55.960935]     0.8125 MB /   0.50 sec =   13.6307 Mbps     0 retrans     81 KB-cwnd
[2024-05-28 18:41:56.376772]     0.7500 MB /   0.50 sec =   12.5835 Mbps     1 retrans     78 KB-cwnd
[2024-05-28 18:41:56.961605]     0.5000 MB /   0.50 sec =    8.3882 Mbps     2 retrans     56 KB-cwnd
[2024-05-28 18:41:57.608485]     0.5625 MB /   0.50 sec =    9.4374 Mbps     3 retrans     38 KB-cwnd
[2024-05-28 18:41:58.277201]     0.3750 MB /   0.50 sec =    6.2916 Mbps     0 retrans     67 KB-cwnd
[2024-05-28 18:41:58.808415]     0.4375 MB /   0.50 sec =    7.3397 Mbps     5 retrans     44 KB-cwnd
[2024-05-28 18:41:58.808811]     0.5625 MB /   0.50 sec =    9.4378 Mbps     0 retrans     44 KB-cwnd
[2024-05-28 18:41:59.411130]     0.4375 MB /   0.50 sec =    7.3397 Mbps     0 retrans     50 KB-cwnd
[2024-05-28 18:41:59.976800]     0.5625 MB /   0.50 sec =    9.4364 Mbps     3 retrans     81 KB-cwnd
[2024-05-28 18:42:00.420583]     0.6875 MB /   0.50 sec =   11.5348 Mbps     2 retrans     52 KB-cwnd
[2024-05-28 18:42:01.025194]     0.4375 MB /   0.50 sec =    7.3404 Mbps     1 retrans     48 KB-cwnd
[2024-05-28 18:42:01.641433]     0.5000 MB /   0.50 sec =    8.3886 Mbps     1 retrans     46 KB-cwnd
[2024-05-28 18:42:02.435505]     0.5000 MB /   0.50 sec =    8.3890 Mbps     3 retrans     35 KB-cwnd
[2024-05-28 18:42:02.436033]     0.3125 MB /   0.50 sec =    5.2423 Mbps     0 retrans     35 KB-cwnd
[2024-05-28 18:42:03.525306]     0.3125 MB /   0.50 sec =    5.2431 Mbps     1 retrans     96 KB-cwnd
