time,rtt_ms,operator
2024-05-28T20:07:47.369695-04:00,65.1,starlink
2024-05-28T20:07:47.579842-04:00,73.3,starlink
2024-05-28T20:07:47.769004-04:00,62.1,starlink
2024-05-28T20:07:48.019716-04:00,110,starlink
2024-05-28T20:07:48.170366-04:00,63.1,starlink
2024-05-28T20:07:48.379520-04:00,69.4,starlink
2024-05-28T20:07:48.576197-04:00,64.7,starlink
2024-05-28T20:07:48.783387-04:00,71.1,starlink
2024-05-28T20:07:48.975017-04:00,62.2,starlink
2024-05-28T20:07:49.181164-04:00,65.9,starlink
2024-05-28T20:07:49.391575-04:00,74.0,starlink
2024-05-28T20:07:49.592873-04:00,73.8,starlink
2024-05-28T20:07:49.800798-04:00,80.4,starlink
2024-05-28T20:07:50.004027-04:00,81.9,starlink
2024-05-28T20:07:50.209455-04:00,89.5,starlink
2024-05-28T20:07:50.415717-04:00,91.7,starlink
2024-05-28T20:07:50.623898-04:00,99.3,starlink
2024-05-28T20:07:50.830300-04:00,104,starlink
2024-05-28T20:07:51.034356-04:00,109,starlink
2024-05-28T20:07:51.238482-04:00,114,starlink
2024-05-28T20:07:51.444276-04:00,117,starlink
2024-05-28T20:07:51.609885-04:00,80.4,starlink
2024-05-28T20:07:51.816477-04:00,84.6,starlink
2024-05-28T20:07:52.019073-04:00,86.6,starlink
2024-05-28T20:07:52.226343-04:00,92.0,starlink
2024-05-28T20:07:52.434050-04:00,97.6,starlink
2024-05-28T20:07:52.637699-04:00,99.8,starlink
2024-05-28T20:07:52.918621-04:00,180,starlink
2024-05-28T20:07:53.009191-04:00,71.0,starlink
2024-05-28T20:07:53.201045-04:00,61.7,starlink
2024-05-28T20:07:53.408158-04:00,69.2,starlink
2024-05-28T20:07:53.604684-04:00,64.3,starlink
2024-05-28T20:07:53.808955-04:00,66.6,starlink
2024-05-28T20:07:54.010540-04:00,68.0,starlink
2024-05-28T20:07:54.206325-04:00,63.3,starlink
2024-05-28T20:07:54.409997-04:00,64.0,starlink
2024-05-28T20:07:54.618149-04:00,69.0,starlink
2024-05-28T20:07:54.809280-04:00,60.2,starlink
2024-05-28T20:07:55.018182-04:00,64.9,starlink
2024-05-28T20:07:55.220743-04:00,69.0,starlink
2024-05-28T20:07:55.427263-04:00,73.8,starlink
2024-05-28T20:07:55.624201-04:00,68.8,starlink
2024-05-28T20:07:55.847830-04:00,91.2,starlink
2024-05-28T20:07:56.053227-04:00,95.2,starlink
2024-05-28T20:07:56.257409-04:00,99.4,starlink
2024-05-28T20:07:56.474500-04:00,115,starlink
2024-05-28T20:07:56.613861-04:00,50.6,starlink
2024-05-28T20:07:56.826344-04:00,60.9,starlink
2024-05-28T20:07:57.027730-04:00,61.4,starlink
2024-05-28T20:07:57.235798-04:00,69.3,starlink
2024-05-28T20:07:57.444959-04:00,76.8,starlink
2024-05-28T20:07:57.683885-04:00,115,starlink
2024-05-28T20:07:57.848407-04:00,78.1,starlink
2024-05-28T20:07:58.018981-04:00,47.8,starlink
2024-05-28T20:07:58.222688-04:00,49.9,starlink
