Start time: 1716941267268
[2024-05-28 20:07:47.369037] PING 35.245.244.238 (35.245.244.238) 38(66) bytes of data.
[2024-05-28 20:07:47.369695] 46 bytes from 35.245.244.238: icmp_seq=1 ttl=58 time=65.1 ms
[2024-05-28 20:07:47.579842] 46 bytes from 35.245.244.238: icmp_seq=2 ttl=58 time=73.3 ms
[2024-05-28 20:07:47.769004] 46 bytes from 35.245.244.238: icmp_seq=3 ttl=58 time=62.1 ms
[2024-05-28 20:07:48.019716] 46 bytes from 35.245.244.238: icmp_seq=4 ttl=58 time=110 ms
[2024-05-28 20:07:48.170366] 46 bytes from 35.245.244.238: icmp_seq=5 ttl=58 time=63.1 ms
[2024-05-28 20:07:48.379520] 46 bytes from 35.245.244.238: icmp_seq=6 ttl=58 time=69.4 ms
[2024-05-28 20:07:48.576197] 46 bytes from 35.245.244.238: icmp_seq=7 ttl=58 time=64.7 ms
[2024-05-28 20:07:48.783387] 46 bytes from 35.245.244.238: icmp_seq=8 ttl=58 time=71.1 ms
[2024-05-28 20:07:48.975017] 46 bytes from 35.245.244.238: icmp_seq=9 ttl=58 time=62.2 ms
[2024-05-28 20:07:49.181164] 46 bytes from 35.245.244.238: icmp_seq=10 ttl=58 time=65.9 ms
[2024-05-28 20:07:49.391575] 46 bytes from 35.245.244.238: icmp_seq=11 ttl=58 time=74.0 ms
[2024-05-28 20:07:49.592873] 46 bytes from 35.245.244.238: icmp_seq=12 ttl=58 time=73.8 ms
[2024-05-28 20:07:49.800798] 46 bytes from 35.245.244.238: icmp_seq=13 ttl=58 time=80.4 ms
[2024-05-28 20:07:50.004027] 46 bytes from 35.245.244.238: icmp_seq=14 ttl=58 time=81.9 ms
[2024-05-28 20:07:50.209455] 46 bytes from 35.245.244.238: icmp_seq=15 ttl=58 time=89.5 ms
[2024-05-28 20:07:50.415717] 46 bytes from 35.245.244.238: icmp_seq=16 ttl=58 time=91.7 ms
[2024-05-28 20:07:50.623898] 46 bytes from 35.245.244.238: icmp_seq=17 ttl=58 time=99.3 ms
[2024-05-28 20:07:50.830300] 46 bytes from 35.245.244.238: icmp_seq=18 ttl=58 time=104 ms
[2024-05-28 20:07:51.034356] 46 bytes from 35.245.244.238: icmp_seq=19 ttl=58 time=109 ms
[2024-05-28 20:07:51.238482] 46 bytes from 35.245.244.238: icmp_seq=20 ttl=58 time=114 ms
[2024-05-28 20:07:51.444276] 46 bytes from 35.245.244.238: icmp_seq=21 ttl=58 time=117 ms
[2024-05-28 20:07:51.609885] 46 bytes from 35.245.244.238: icmp_seq=22 ttl=58 time=80.4 ms
[2024-05-28 20:07:51.816477] 46 bytes from 35.245.244.238: icmp_seq=23 ttl=58 time=84.6 ms
[2024-05-28 20:07:52.019073] 46 bytes from 35.245.244.238: icmp_seq=24 ttl=58 time=86.6 ms
[2024-05-28 20:07:52.226343] 46 bytes from 35.245.244.238: icmp_seq=25 ttl=58 time=92.0 ms
[2024-05-28 20:07:52.434050] 46 bytes from 35.245.244.238: icmp_seq=26 ttl=58 time=97.6 ms
[2024-05-28 20:07:52.637699] 46 bytes from 35.245.244.238: icmp_seq=27 ttl=58 time=99.8 ms
[2024-05-28 20:07:52.918621] 46 bytes from 35.245.244.238: icmp_seq=28 ttl=58 time=180 ms
[2024-05-28 20:07:53.009191] 46 bytes from 35.245.244.238: icmp_seq=29 ttl=58 time=71.0 ms
[2024-05-28 20:07:53.201045] 46 bytes from 35.245.244.238: icmp_seq=30 ttl=58 time=61.7 ms
[2024-05-28 20:07:53.408158] 46 bytes from 35.245.244.238: icmp_seq=31 ttl=58 time=69.2 ms
[2024-05-28 20:07:53.604684] 46 bytes from 35.245.244.238: icmp_seq=32 ttl=58 time=64.3 ms
[2024-05-28 20:07:53.808955] 46 bytes from 35.245.244.238: icmp_seq=33 ttl=58 time=66.6 ms
[2024-05-28 20:07:54.010540] 46 bytes from 35.245.244.238: icmp_seq=34 ttl=58 time=68.0 ms
[2024-05-28 20:07:54.206325] 46 bytes from 35.245.244.238: icmp_seq=35 ttl=58 time=63.3 ms
[2024-05-28 20:07:54.409997] 46 bytes from 35.245.244.238: icmp_seq=36 ttl=58 time=64.0 ms
[2024-05-28 20:07:54.618149] 46 bytes from 35.245.244.238: icmp_seq=37 ttl=58 time=69.0 ms
[2024-05-28 20:07:54.809280] 46 bytes from 35.245.244.238: icmp_seq=38 ttl=58 time=60.2 ms
[2024-05-28 20:07:55.018182] 46 bytes from 35.245.244.238: icmp_seq=39 ttl=58 time=64.9 ms
[2024-05-28 20:07:55.220743] 46 bytes from 35.245.244.238: icmp_seq=40 ttl=58 time=69.0 ms
[2024-05-28 20:07:55.427263] 46 bytes from 35.245.244.238: icmp_seq=41 ttl=58 time=73.8 ms
[2024-05-28 20:07:55.624201] 46 bytes from 35.245.244.238: icmp_seq=42 ttl=58 time=68.8 ms
[2024-05-28 20:07:55.847830] 46 bytes from 35.245.244.238: icmp_seq=43 ttl=58 time=91.2 ms
[2024-05-28 20:07:56.053227] 46 bytes from 35.245.244.238: icmp_seq=44 ttl=58 time=95.2 ms
[2024-05-28 20:07:56.257409] 46 bytes from 35.245.244.238: icmp_seq=45 ttl=58 time=99.4 ms
[2024-05-28 20:07:56.474500] 46 bytes from 35.245.244.238: icmp_seq=46 ttl=58 time=115 ms
[2024-05-28 20:07:56.613861] 46 bytes from 35.245.244.238: icmp_seq=47 ttl=58 time=50.6 ms
[2024-05-28 20:07:56.826344] 46 bytes from 35.245.244.238: icmp_seq=48 ttl=58 time=60.9 ms
[2024-05-28 20:07:57.027730] 46 bytes from 35.245.244.238: icmp_seq=49 ttl=58 time=61.4 ms
[2024-05-28 20:07:57.235798] 46 bytes from 35.245.244.238: icmp_seq=50 ttl=58 time=69.3 ms
