time,throughput_mbps,retrans,cwnd_kb
2024-05-28T20:58:12.626320,6.2904,6,358
2024-05-28T20:58:13.127200,27.2635,20,181
2024-05-28T20:58:14.206932,20.9725,8,83
2024-05-28T20:58:14.207259,11.5344,0,83
2024-05-28T20:58:14.927258,10.4860,0,90
2024-05-28T20:58:15.498816,10.4845,3,123
2024-05-28T20:58:16.072726,15.7297,4,97
2024-05-28T20:58:16.073182,13.6315,0,97
2024-05-28T20:58:16.732104,11.5349,0,93
2024-05-28T20:58:17.454750,9.4365,1,90
2024-05-28T20:58:18.255728,11.5348,5,77
2024-05-28T20:58:18.256141,10.4858,0,77
2024-05-28T20:58:19.097498,9.4368,1,74
2024-05-28T20:58:19.097966,8.3889,0,74
2024-05-28T20:58:19.951562,10.4858,0,82
2024-05-28T20:58:20.687801,9.4369,0,114
2024-05-28T20:58:20.688400,10.4856,0,114
2024-05-28T20:58:21.247238,12.5834,3,93
2024-05-28T20:58:22.007268,12.5826,1,79
2024-05-28T20:58:22.799551,9.4374,0,88
2024-05-28T20:58:22.799948,9.4374,0,88
2024-05-28T20:58:23.427151,9.4369,7,111
2024-05-28T20:58:24.145130,13.6319,1,94
2024-05-28T20:58:24.145604,11.5348,0,94
2024-05-28T20:58:24.866079,10.4849,2,81
2024-05-28T20:58:25.665085,9.4374,0,89
2024-05-28T20:58:25.665569,10.4861,0,89
2024-05-28T20:58:26.297321,10.4848,3,110
2024-05-28T20:58:26.979609,14.6807,1,92
2024-05-28T20:58:27.649119,10.4862,2,60
2024-05-28T20:58:27.649805,11.5342,0,60
2024-05-28T20:58:28.479709,9.4365,1,53
2024-05-28T20:58:31.427004,9.4375,22,185
2024-05-28T20:58:31.427510,8.3886,0,185
2024-05-28T20:58:31.427617,1.0486,0,185
2024-05-28T20:58:31.427922,0.0000,0,185
2024-05-28T20:58:31.428003,2.0970,0,185
2024-05-28T20:58:31.428100,0.0000,0,185
2024-05-28T20:58:31.759864,8.3885,5,246
2024-05-28T20:58:32.456216,29.3587,8,94
2024-05-28T20:58:32.951474,16.7790,0,101
2024-05-28T20:58:33.416137,15.7280,1,108
2024-05-28T20:58:33.798827,17.8257,1,104
2024-05-28T20:58:34.383384,16.7757,1,90
2024-05-28T20:58:34.969499,14.6812,0,97
2024-05-28T20:58:35.569892,12.5824,0,112
2024-05-28T20:58:35.570273,13.6308,0,112
2024-05-28T20:58:36.064824,14.6815,2,94
2024-05-28T20:58:36.575808,14.6803,1,78
2024-05-28T20:58:37.190257,13.6312,0,86
2024-05-28T20:58:37.771481,13.6312,1,85
2024-05-28T20:58:38.351450,13.6317,0,93
2024-05-28T20:58:38.914050,12.5829,0,99
2024-05-28T20:58:39.371792,14.6807,2,104
2024-05-28T20:58:39.846010,16.7767,1,86
2024-05-28T20:58:40.539447,15.7272,0,94
2024-05-28T20:58:41.320005,10.4863,0,115
2024-05-28T20:58:41.320531,8.3887,0,115
2024-05-28T20:58:42.451666,10.4857,6,90
2024-05-28T20:58:42.452242,3.1458,0,90
2024-05-28T20:58:43.599326,9.4363,5,37
2024-05-28T20:58:43.599552,7.3404,0,37
2024-05-28T20:58:43.599587,5.2430,0,37
2024-05-28T20:58:45.524574,5.2425,5,27
2024-05-28T20:58:45.525073,4.1943,0,27
2024-05-28T20:58:45.525236,4.1942,0,27
2024-05-28T20:58:47.473781,3.1460,3,39
2024-05-28T20:58:47.474354,3.1456,0,39
2024-05-28T20:58:47.474478,4.1943,0,39
2024-05-28T20:58:47.474568,4.1944,0,39
2024-05-28T20:58:49.236477,5.2429,8,26
2024-05-28T20:58:49.236840,4.1943,0,26
2024-05-28T20:58:49.236945,4.1945,0,26
2024-05-28T20:58:49.237032,4.1940,0,26
2024-05-28T20:58:51.179251,4.1942,2,70
2024-05-28T20:58:51.179517,3.1459,0,70
2024-05-28T20:58:51.179557,4.1943,0,70
2024-05-28T20:58:51.179587,4.1940,0,70
2024-05-28T20:58:52.204770,9.4372,3,41
2024-05-28T20:58:52.205378,7.3404,0,41
2024-05-28T20:58:54.151913,4.1945,4,33
2024-05-28T20:58:54.152410,4.1938,0,33
2024-05-28T20:58:54.152532,3.1460,0,33
2024-05-28T20:58:54.152624,4.1942,0,33
2024-05-28T20:58:55.855536,4.1943,1,44
2024-05-28T20:58:55.855855,5.2426,0,44
2024-05-28T20:58:55.855939,4.1946,0,44
2024-05-28T20:58:57.372000,5.2415,1,48
2024-05-28T20:58:57.372399,5.2440,0,48
2024-05-28T20:58:57.372562,4.1947,0,48
2024-05-28T20:58:58.940405,6.2903,5,37
2024-05-28T20:58:58.940810,5.2435,0,37
2024-05-28T20:58:58.940912,4.1941,0,37
2024-05-28T20:59:00.343758,5.2425,1,122
2024-05-28T20:59:00.344222,4.1948,0,122
2024-05-28T20:59:00.344364,5.2428,0,122
2024-05-28T20:59:00.936651,13.6322,3,85
2024-05-28T20:59:01.781548,11.5341,0,77
2024-05-28T20:59:01.782143,8.3885,0,77
2024-05-28T20:59:02.611750,8.3888,3,77
2024-05-28T20:59:02.611934,9.4371,0,77
2024-05-28T20:59:03.653185,8.3888,6,53
2024-05-28T20:59:03.653397,6.2910,0,53
2024-05-28T20:59:04.870431,7.3402,1,56
2024-05-28T20:59:04.871028,6.2916,0,56
2024-05-28T20:59:05.956307,6.2913,0,96
2024-05-28T20:59:05.956500,6.2917,0,99
2024-05-28T20:59:06.734558,8.3877,2,94
2024-05-28T20:59:06.735058,10.4866,0,94
2024-05-28T20:59:07.544770,10.4862,8,64
2024-05-28T20:59:08.589914,8.3881,3,59
2024-05-28T20:59:08.590275,8.3889,0,59
2024-05-28T20:59:08.590381,7.3394,0,59
2024-05-28T20:59:09.574729,7.3397,4,79
2024-05-28T20:59:09.575080,7.3409,0,79
2024-05-28T20:59:10.517048,8.3883,4,72
2024-05-28T20:59:11.732105,8.3893,4,52
2024-05-28T20:59:11.732683,8.3883,0,52
2024-05-28T20:59:11.732837,6.2914,0,52
2024-05-28T20:59:12.644421,5.2432,3,122
2024-05-28T20:59:12.644921,8.3878,0,122
2024-05-28T20:59:13.274971,14.6812,4,66
2024-05-28T20:59:14.078214,8.3884,2,105
2024-05-28T20:59:14.078648,10.4854,0,105
2024-05-28T20:59:14.704206,13.6315,2,75
2024-05-28T20:59:15.379925,11.5345,1,74
2024-05-28T20:59:16.069181,10.4862,0,83
2024-05-28T20:59:16.069444,11.5342,0,83
2024-05-28T20:59:17.051451,8.3884,5,56
2024-05-28T20:59:17.778992,8.3888,2,72
2024-05-28T20:59:17.779370,8.3881,0,72
2024-05-28T20:59:18.458608,12.5835,0,82
2024-05-28T20:59:19.109749,11.5334,2,77
2024-05-28T20:59:19.110249,12.5844,0,77
2024-05-28T20:59:19.788182,11.5343,1,74
2024-05-28T20:59:20.586064,9.4359,1,70
2024-05-28T20:59:20.586346,9.4373,0,70
2024-05-28T20:59:21.224803,14.6816,4,82
2024-05-28T20:59:21.898615,12.5828,1,71
