time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-29T13:04:38.215854,29.8550,10511,11844,88.75
2024-05-29T13:04:38.722049,33.9133,13112,14626,89.65
2024-05-29T13:04:39.224442,26.9475,12107,13310,90.96
2024-05-29T13:04:39.726699,26.6114,12111,13299,91.07
2024-05-29T13:04:40.228247,28.1793,12174,13432,90.63
2024-05-29T13:04:40.722541,34.0483,12000,13520,88.76
2024-05-29T13:04:41.224127,29.5450,11967,13286,90.07
2024-05-29T13:04:41.726970,27.9998,12010,13260,90.57
2024-05-29T13:04:42.489999,23.6092,12192,13246,92.04
2024-05-29T13:04:42.718052,28.3148,10899,12163,89.61
2024-05-29T13:04:43.218979,41.6409,13224,15083,87.67
2024-05-29T13:04:43.718315,32.7044,11931,13391,89.10
2024-05-29T13:04:44.222448,46.8617,11045,13137,84.08
2024-05-29T13:04:44.718439,48.3370,11183,13341,83.82
2024-05-29T13:04:45.217516,43.1876,11707,13635,85.86
2024-05-29T13:04:45.718477,44.8251,11451,13452,85.12
2024-05-29T13:04:46.221881,46.7484,11134,13221,84.21
2024-05-29T13:04:46.722130,45.8280,11369,13415,84.75
2024-05-29T13:04:47.221486,47.3100,11312,13424,84.27
2024-05-29T13:04:47.718215,45.6100,11440,13476,84.89
2024-05-29T13:04:48.217749,44.3929,11164,13146,84.92
2024-05-29T13:04:48.728429,47.0629,11272,13373,84.29
2024-05-29T13:04:49.220939,48.0479,11620,13765,84.42
2024-05-29T13:04:49.717829,45.0248,11182,13192,84.76
2024-05-29T13:04:50.219992,37.0698,11503,13158,87.42
2024-05-29T13:04:50.720759,49.0576,11650,13840,84.18
2024-05-29T13:04:51.221321,45.1365,11083,13098,84.62
2024-05-29T13:04:51.720866,47.5951,11311,13436,84.18
2024-05-29T13:04:52.217298,48.0293,11016,13160,83.71
2024-05-29T13:04:52.718092,44.7542,11212,13210,84.88
2024-05-29T13:04:53.219958,42.3835,12143,14035,86.52
2024-05-29T13:04:53.721112,39.1549,11605,13353,86.91
2024-05-29T13:04:54.221185,41.3718,11332,13179,85.99
2024-05-29T13:04:54.721471,49.4819,11181,13390,83.50
2024-05-29T13:04:55.217463,49.6829,11084,13302,83.33
2024-05-29T13:04:55.722700,45.3323,11385,13409,84.91
2024-05-29T13:04:56.226197,47.6708,11585,13713,84.48
2024-05-29T13:04:56.717379,45.4969,11053,13084,84.48
2024-05-29T13:04:57.218096,39.6942,11879,13651,87.02
2024-05-29T13:04:57.720252,6.8534,9115,9421,96.75
2024-05-29T13:04:58.223353,2.6882,13261,13381,99.10
2024-05-29T13:04:58.726817,4.6145,13520,13726,98.50
2024-05-29T13:04:59.231366,7.0334,13295,13609,97.69
2024-05-29T13:04:59.719078,7.1454,13126,13445,97.63
2024-05-29T13:05:00.223654,8.5344,13513,13894,97.26
2024-05-29T13:05:00.719881,12.8582,13443,14017,95.90
2024-05-29T13:05:01.222580,13.7755,13366,13981,95.60
2024-05-29T13:05:01.727395,11.0209,13523,14015,96.49
2024-05-29T13:05:02.230196,4.7485,13384,13596,98.44
2024-05-29T13:05:02.720610,8.4453,13519,13896,97.29
2024-05-29T13:05:03.233443,5.7343,13180,13436,98.09
2024-05-29T13:05:03.727009,4.9953,13392,13615,98.36
2024-05-29T13:05:04.232139,5.9138,13232,13496,98.04
2024-05-29T13:05:04.718977,8.2430,13128,13496,97.27
2024-05-29T13:05:05.240462,9.1390,12887,13295,96.93
2024-05-29T13:05:05.727981,7.6610,12987,13329,97.43
2024-05-29T13:05:06.233768,5.8461,13012,13273,98.03
2024-05-29T13:05:06.720096,8.3558,13367,13740,97.29
2024-05-29T13:05:07.226227,5.9805,13094,13361,98.00
2024-05-29T13:05:07.728932,5.8688,13205,13467,98.05
2024-05-29T13:05:08.233831,5.6895,13065,13319,98.09
2024-05-29T13:05:08.720196,9.2291,12677,13089,96.85
2024-05-29T13:05:09.223742,8.9821,12988,13389,97.01
2024-05-29T13:05:09.718586,9.9460,13145,13589,96.73
2024-05-29T13:05:10.222703,6.3167,12982,13264,97.87
2024-05-29T13:05:10.728762,8.4449,13177,13554,97.22
2024-05-29T13:05:11.232603,8.9598,12974,13374,97.01
2024-05-29T13:05:11.720565,6.7649,13303,13605,97.78
2024-05-29T13:05:12.232077,5.9804,13031,13298,97.99
2024-05-29T13:05:12.726303,20.4726,10267,11181,91.83
2024-05-29T13:05:13.222773,33.7139,13453,14958,89.94
2024-05-29T13:05:13.718287,34.3847,12294,13829,88.90
2024-05-29T13:05:14.218530,31.3155,12130,13528,89.67
2024-05-29T13:05:14.722534,34.0951,11809,13331,88.58
2024-05-29T13:05:15.217642,36.4414,11691,13318,87.78
2024-05-29T13:05:15.719519,36.4012,11854,13479,87.94
2024-05-29T13:05:16.214887,34.8802,11843,13400,88.38
2024-05-29T13:05:20.643922,19.4629,6128,6997,87.58
2024-05-29T13:05:20.691975,0.0000,0,0,0.00
2024-05-29T13:05:20.692404,0.0000,0,0,0.00
2024-05-29T13:05:20.692511,0.0000,0,0,0.00
2024-05-29T13:05:20.692596,0.0000,0,0,0.00
2024-05-29T13:05:20.692675,0.0000,0,0,0.00
2024-05-29T13:05:20.692755,9.9237,84244,84687,99.48
2024-05-29T13:05:20.692830,19.5995,13441,14316,93.89
2024-05-29T13:05:20.728637,21.3244,13105,14057,93.23
2024-05-29T13:05:21.222803,21.5951,12390,13354,92.78
2024-05-29T13:05:21.724276,18.5015,12999,13825,94.03
2024-05-29T13:05:22.221965,18.9291,11856,12701,93.35
2024-05-29T13:05:22.732629,21.4580,13083,14041,93.18
2024-05-29T13:05:23.217814,21.5928,12283,13247,92.72
2024-05-29T13:05:23.728287,19.5772,12588,13462,93.51
2024-05-29T13:05:24.233365,20.7662,12555,13482,93.12
2024-05-29T13:05:24.725133,15.9710,12701,13414,94.68
2024-05-29T13:05:25.223839,18.3895,12305,13126,93.75
2024-05-29T13:05:25.717985,17.5847,12932,13717,94.28
2024-05-29T13:05:26.227982,17.0231,12377,13137,94.21
2024-05-29T13:05:26.724683,18.5480,12755,13583,93.90
2024-05-29T13:05:27.467973,17.5399,12628,13411,94.16
2024-05-29T13:05:27.720419,5.5550,9849,10097,97.54
2024-05-29T13:05:28.214551,9.6990,13303,13736,96.85
2024-05-29T13:05:28.721664,14.8740,13534,14198,95.32
2024-05-29T13:05:29.239603,16.6890,12413,13158,94.34
2024-05-29T13:05:29.744696,12.3414,9288,9839,94.40
2024-05-29T13:05:30.217872,13.0822,10301,10885,94.63
2024-05-29T13:05:30.723070,13.5070,14008,14611,95.87
2024-05-29T13:05:31.224081,10.1696,18794,19248,97.64
2024-05-29T13:05:31.724988,14.4017,14398,15041,95.73
2024-05-29T13:05:32.216572,11.6267,12583,13102,96.04
2024-05-29T13:05:32.715766,15.6786,12878,13578,94.84
2024-05-29T13:05:33.225196,14.1122,12682,13312,95.27
2024-05-29T13:05:33.725611,4.6371,13145,13352,98.45
2024-05-29T13:05:34.214131,11.8719,12690,13220,95.99
2024-05-29T13:05:34.721422,9.5871,13097,13525,96.84
2024-05-29T13:05:35.223674,8.2211,13262,13629,97.31
2024-05-29T13:05:35.725198,10.0348,12973,13421,96.66
2024-05-29T13:05:36.215179,11.9618,12765,13299,95.98
2024-05-29T13:05:36.723747,11.5137,13030,13544,96.20
2024-05-29T13:05:37.222251,9.1617,12958,13367,96.94
2024-05-29T13:05:37.724271,10.4605,12756,13223,96.47
2024-05-29T13:05:38.214646,14.2910,12222,12860,95.04
2024-05-29T13:05:38.721457,14.1349,13449,14080,95.52
2024-05-29T13:05:39.222680,11.4242,12864,13374,96.19
2024-05-29T13:05:39.723991,10.3708,12938,13401,96.55
2024-05-29T13:05:40.218975,12.0055,12871,13407,96.00
2024-05-29T13:05:40.725103,12.0075,12762,13298,95.97
2024-05-29T13:05:41.223393,12.2083,12878,13423,95.94
2024-05-29T13:05:41.719346,12.5210,12830,13389,95.82
2024-05-29T13:05:42.216499,9.6993,12948,13381,96.76
2024-05-29T13:05:42.715700,3.6286,9556,9718,98.33
2024-05-29T13:05:43.219643,8.1766,13568,13933,97.38
2024-05-29T13:05:43.714787,8.5112,13406,13786,97.24
2024-05-29T13:05:44.216240,12.0065,13054,13590,96.06
2024-05-29T13:05:44.717373,9.1399,13711,14119,97.11
2024-05-29T13:05:45.220916,12.7456,13218,13787,95.87
2024-05-29T13:05:45.720039,16.9560,13291,14048,94.61
2024-05-29T13:05:46.218120,15.0540,13577,14249,95.28
2024-05-29T13:05:46.715671,9.8556,12983,13423,96.72
2024-05-29T13:05:47.224986,4.3905,13136,13332,98.53
2024-05-29T13:05:47.719539,7.2352,13152,13475,97.60
2024-05-29T13:05:48.218977,6.0927,12847,13119,97.93
2024-05-29T13:05:48.716059,8.1089,13094,13456,97.31
2024-05-29T13:05:49.216161,10.1920,13020,13475,96.62
2024-05-29T13:05:49.719826,14.9855,12637,13306,94.97
2024-05-29T13:05:50.221972,8.6913,12812,13200,97.06
2024-05-29T13:05:50.714966,13.6646,10177,10787,94.35
2024-05-29T13:05:51.242080,9.1167,12226,12633,96.78
2024-05-29T13:05:51.779567,9.4743,11202,11625,96.36
2024-05-29T13:05:52.242377,9.4530,5886,6308,93.31
2024-05-29T13:05:52.722115,6.7200,7636,7936,96.22
2024-05-29T13:05:53.217359,11.2233,5661,6162,91.87
2024-05-29T13:05:53.718839,12.2076,4699,5244,89.61
2024-05-29T13:05:54.343897,11.0430,5586,6079,91.89
2024-05-29T13:05:54.814638,13.1938,7845,8434,93.02
2024-05-29T13:05:55.278055,11.3340,5721,6227,91.87
2024-05-29T13:05:55.731060,11.8950,5041,5572,90.47
2024-05-29T13:05:56.215631,12.5443,7262,7822,92.84
2024-05-29T13:05:56.714687,10.4379,9030,9496,95.09
2024-05-29T13:05:57.220663,11.0886,11656,12151,95.93
2024-05-29T13:05:57.717020,21.5486,6010,6972,86.20
2024-05-29T13:05:58.217116,39.9394,8185,9968,82.11
2024-05-29T13:05:58.717212,42.5385,11875,13774,86.21
2024-05-29T13:05:59.220873,41.5525,15743,17598,89.46
2024-05-29T13:05:59.721287,41.9289,14040,15912,88.24
2024-05-29T13:06:00.216486,42.4286,14134,16028,88.18
2024-05-29T13:06:00.717591,42.7834,16128,18038,89.41
2024-05-29T13:06:01.222853,38.5956,16658,18381,90.63
2024-05-29T13:06:01.721311,41.3499,16911,18757,90.16
2024-05-29T13:06:02.217530,38.0795,16600,18300,90.71
2024-05-29T13:06:02.716126,41.9986,17289,19164,90.22
2024-05-29T13:06:03.216820,40.4087,16304,18108,90.04
2024-05-29T13:06:03.723226,39.9607,16977,18761,90.49
2024-05-29T13:06:04.224286,43.0121,16741,18661,89.71
2024-05-29T13:06:04.719354,41.6414,16392,18251,89.81
2024-05-29T13:06:05.218374,42.7173,17048,18955,89.94
2024-05-29T13:06:05.717146,40.7209,16329,18147,89.98
2024-05-29T13:06:06.216717,42.5183,17276,19174,90.10
