time,throughput_mbps,retrans,cwnd_kb
2024-05-29T15:53:09.381457,5.2375,0,13
2024-05-29T15:53:09.879997,43.0285,0,13
2024-05-29T15:53:10.380504,19.9172,0,13
2024-05-29T15:53:10.880381,61.8865,0,13
2024-05-29T15:53:11.380420,16.7734,0,13
2024-05-29T15:53:11.880174,25.1629,0,13
2024-05-29T15:53:12.380979,38.7329,0,13
2024-05-29T15:53:12.881008,36.6980,0,13
2024-05-29T15:53:13.380131,46.2180,0,13
2024-05-29T15:53:13.881027,55.4884,0,13
2024-05-29T15:53:14.379900,55.6812,0,13
2024-05-29T15:53:14.879900,46.1369,0,13
2024-05-29T15:53:15.379984,48.2276,0,13
2024-05-29T15:53:15.879890,50.3392,0,13
2024-05-29T15:53:16.379899,57.6714,0,13
2024-05-29T15:53:16.879907,61.8655,0,13
2024-05-29T15:53:17.379903,69.2059,0,13
2024-05-29T15:53:17.879898,59.7670,0,13
2024-05-29T15:53:18.379901,70.2570,0,13
2024-05-29T15:53:18.880899,11.5117,0,13
2024-05-29T15:53:19.380976,60.8113,0,13
2024-05-29T15:53:19.881279,41.9343,0,13
2024-05-29T15:53:20.379930,48.3424,0,13
2024-05-29T15:53:20.879929,65.0135,0,13
2024-05-29T15:53:21.379909,69.2062,0,13
2024-05-29T15:53:21.879932,66.0625,0,13
2024-05-29T15:53:22.380064,60.7978,0,13
2024-05-29T15:53:22.879961,74.4619,0,13
2024-05-29T15:53:23.380110,69.2161,0,13
2024-05-29T15:53:23.879938,70.2522,0,13
2024-05-29T15:53:24.379818,75.5022,0,13
2024-05-29T15:53:24.880395,74.3760,0,13
2024-05-29T15:53:25.380102,92.3491,0,13
2024-05-29T15:53:25.879883,97.5308,0,13
2024-05-29T15:53:26.379904,98.5646,0,13
2024-05-29T15:53:26.879909,100.6617,0,13
2024-05-29T15:53:27.379870,99.6183,0,13
2024-05-29T15:53:27.879920,113.2437,0,13
2024-05-29T15:53:28.379889,97.5178,0,13
2024-05-29T15:53:28.879959,136.2961,0,13
2024-05-29T15:53:29.379884,147.8723,0,13
2024-05-29T15:53:29.880278,158.3226,0,13
2024-05-29T15:53:30.379913,149.9494,0,13
2024-05-29T15:53:30.879897,157.2946,0,13
2024-05-29T15:53:31.379980,127.9063,0,13
2024-05-29T15:53:31.880092,55.5663,0,13
2024-05-29T15:53:32.379896,204.5341,0,13
2024-05-29T15:53:32.879898,158.3337,0,13
2024-05-29T15:53:33.379823,145.7620,0,13
2024-05-29T15:53:33.880032,59.7509,0,13
2024-05-29T15:53:34.380038,88.0811,0,13
2024-05-29T15:53:34.880092,181.4363,0,13
2024-05-29T15:53:35.379829,80.7478,0,14
2024-05-29T15:53:35.879907,174.0528,0,17
2024-05-29T15:53:36.379902,161.4846,0,26
2024-05-29T15:53:36.879901,169.8680,0,26
2024-05-29T15:53:37.379883,210.7655,0,26
2024-05-29T15:53:37.879970,185.5727,0,26
2024-05-29T15:53:38.379907,182.4756,0,26
2024-05-29T15:53:38.879890,177.2111,0,26
2024-05-29T15:53:39.379841,180.3637,0,26
2024-05-29T15:53:39.879904,196.0723,0,26
2024-05-29T15:53:40.379989,147.8197,0,26
2024-05-29T15:53:40.880065,54.5219,0,26
2024-05-29T15:53:41.380023,52.4308,0,26
2024-05-29T15:53:41.879883,176.1911,0,26
2024-05-29T15:53:42.380041,241.1797,0,26
2024-05-29T15:53:42.879896,191.8975,0,26
2024-05-29T15:53:43.379892,204.4719,0,26
2024-05-29T15:53:43.879981,153.0685,21,3025
2024-05-29T15:53:44.380060,111.1375,0,3025
2024-05-29T15:53:44.880080,107.9997,0,3025
2024-05-29T15:53:45.380046,92.2782,0,3025
2024-05-29T15:53:45.880030,115.3459,0,3025
2024-05-29T15:53:46.380047,39.8448,0,3025
2024-05-29T15:53:46.879976,205.5423,0,3025
2024-05-29T15:53:47.379829,145.7783,0,3025
2024-05-29T15:53:47.879925,117.4342,0,3025
2024-05-29T15:53:48.380008,142.5929,0,3025
2024-05-29T15:53:48.879929,142.6186,0,3025
2024-05-29T15:53:49.379968,134.2027,0,3025
2024-05-29T15:53:49.879819,153.1243,0,3025
2024-05-29T15:53:50.379828,154.1354,0,3025
2024-05-29T15:53:50.879985,161.4529,0,3025
2024-05-29T15:53:51.380160,149.8963,0,3025
2024-05-29T15:53:51.879969,169.9267,0,3025
2024-05-29T15:53:52.379976,154.1397,10,4771
2024-05-29T15:53:52.879885,176.1710,0,4771
2024-05-29T15:53:53.379981,190.8282,0,4771
2024-05-29T15:53:53.879907,184.5741,0,4771
2024-05-29T15:53:54.380030,166.6822,0,4771
2024-05-29T15:53:54.879959,177.2459,0,4771
2024-05-29T15:53:55.379986,148.8814,0,4771
2024-05-29T15:53:55.879969,185.6061,0,4516
2024-05-29T15:53:56.380075,46.1380,0,4516
2024-05-29T15:53:56.880054,71.2935,0,4516
2024-05-29T15:53:57.380024,145.7567,0,4516
2024-05-29T15:53:57.879980,174.0744,0,4516
2024-05-29T15:53:58.379874,102.7711,0,4516
2024-05-29T15:53:58.879917,207.6259,0,4516
2024-05-29T15:53:59.380038,133.1385,0,4516
2024-05-29T15:53:59.880000,98.5711,0,4516
2024-05-29T15:54:00.380021,173.0102,1461,5563
2024-05-29T15:54:00.879909,247.5159,0,5563
2024-05-29T15:54:01.379942,161.4791,0,5563
2024-05-29T15:54:01.879892,191.8936,0,5563
2024-05-29T15:54:02.379971,175.0849,0,5563
2024-05-29T15:54:02.879898,202.4071,0,5563
2024-05-29T15:54:03.379985,138.3899,0,5563
2024-05-29T15:54:03.879872,7.3408,0,5563
2024-05-29T15:54:04.379994,187.6718,0,5563
2024-05-29T15:54:04.880042,120.5797,0,5563
2024-05-29T15:54:05.380001,184.5560,0,5563
2024-05-29T15:54:05.880194,110.0928,0,5563
2024-05-29T15:54:06.380135,273.7090,0,5563
2024-05-29T15:54:06.879828,33.5613,0,5563
2024-05-29T15:54:07.379993,190.8004,0,5563
2024-05-29T15:54:07.879978,207.6201,17,4855
2024-05-29T15:54:08.379995,161.4807,0,4855
2024-05-29T15:54:08.879900,170.9446,0,4855
2024-05-29T15:54:09.379906,199.2235,0,4855
2024-05-29T15:54:09.879906,196.0880,0,4855
2024-05-29T15:54:10.380014,150.9663,0,4855
2024-05-29T15:54:10.880020,161.4755,0,4855
2024-05-29T15:54:11.380299,0.0000,0,4855
2024-05-29T15:54:11.879900,204.5292,0,4855
2024-05-29T15:54:12.380029,98.5443,0,4855
2024-05-29T15:54:12.880028,35.6527,0,4855
2024-05-29T15:54:13.380042,118.4858,0,4855
2024-05-29T15:54:13.880033,47.1853,0,4855
2024-05-29T15:54:14.379933,132.1351,0,4855
2024-05-29T15:54:14.880035,81.7821,0,4855
2024-05-29T15:54:15.380043,120.5824,0,4855
2024-05-29T15:54:15.880174,95.4204,0,4855
2024-05-29T15:54:16.380089,117.4335,0,4855
2024-05-29T15:54:16.879976,189.8196,24,5194
2024-05-29T15:54:17.379896,39.8523,0,5194
2024-05-29T15:54:17.879900,124.7790,0,5194
2024-05-29T15:54:18.380028,91.2066,0,5194
2024-05-29T15:54:18.879828,164.6706,0,5194
2024-05-29T15:54:19.379976,144.6809,0,5194
2024-05-29T15:54:19.879944,131.0689,0,5194
2024-05-29T15:54:20.379970,152.0426,0,5194
2024-05-29T15:54:20.879906,154.1607,0,5194
2024-05-29T15:54:21.380074,97.4942,0,5194
2024-05-29T15:54:21.880062,95.4195,0,5159
2024-05-29T15:54:22.379990,155.2004,0,5159
2024-05-29T15:54:22.880081,79.6841,0,5159
2024-05-29T15:54:23.380115,132.1301,0,5159
2024-05-29T15:54:23.880085,155.2138,0,5159
2024-05-29T15:54:24.379918,76.5427,0,5159
2024-05-29T15:54:24.880019,97.5070,0,5159
2024-05-29T15:54:25.380038,108.0014,0,5159
2024-05-29T15:54:25.880196,75.4938,0,5159
2024-05-29T15:54:26.380043,111.1513,0,5159
2024-05-29T15:54:26.879966,144.7206,0,5159
2024-05-29T15:54:27.379978,28.3127,373,5385
2024-05-29T15:54:27.880021,68.1505,0,5385
2024-05-29T15:54:28.379898,96.4881,0,5385
2024-05-29T15:54:28.880082,63.9428,0,5385
2024-05-29T15:54:29.380039,70.2589,0,5385
2024-05-29T15:54:29.880162,132.1248,0,5385
2024-05-29T15:54:30.379906,122.7089,0,5385
2024-05-29T15:54:30.879869,84.9313,0,5385
2024-05-29T15:54:31.380033,106.9353,0,5385
2024-05-29T15:54:31.880049,71.3020,0,5385
2024-05-29T15:54:32.380033,41.9438,0,5385
2024-05-29T15:54:32.880087,68.1544,0,5385
2024-05-29T15:54:33.379872,115.3690,0,5385
2024-05-29T15:54:33.879902,121.6414,0,5385
2024-05-29T15:54:34.379907,116.3926,0,5385
2024-05-29T15:54:34.880015,84.9184,0,5385
2024-05-29T15:54:35.379975,95.4225,0,5385
2024-05-29T15:54:35.880085,61.8591,0,5385
2024-05-29T15:54:36.380002,56.6351,0,5385
2024-05-29T15:54:36.880058,59.7571,0,5385
2024-05-29T15:54:37.379913,45.0962,0,5385
2024-05-29T15:54:37.880003,105.8971,0,5385
2024-05-29T15:54:38.379952,23.0702,0,5385
2024-05-29T15:54:38.880043,10.4844,0,5385
2024-05-29T15:54:39.380053,80.7407,0,5385
2024-05-29T15:54:39.879907,110.1269,0,5385
2024-05-29T15:54:40.380067,41.9312,0,5385
2024-05-29T15:54:40.880035,52.4315,0,5385
2024-05-29T15:54:41.380019,80.7402,0,5385
2024-05-29T15:54:41.880005,108.0089,0,5385
2024-05-29T15:54:42.380051,62.9119,2284,3493
2024-05-29T15:54:42.879928,92.2941,0,3493
2024-05-29T15:54:43.379893,92.2769,0,3493
2024-05-29T15:54:43.879840,92.2751,0,3493
2024-05-29T15:54:44.379922,85.9789,0,3493
2024-05-29T15:54:44.879881,101.7168,0,3493
2024-05-29T15:54:45.379964,82.8262,0,3493
2024-05-29T15:54:45.880016,102.7734,0,3493
2024-05-29T15:54:46.379886,98.5659,0,3493
2024-05-29T15:54:46.880047,37.7388,0,3493
2024-05-29T15:54:47.379817,124.8212,0,3493
2024-05-29T15:54:47.880002,79.6715,0,3493
2024-05-29T15:54:48.380012,84.9340,0,3493
2024-05-29T15:54:48.879923,19.9266,0,3506
2024-05-29T15:54:49.380046,40.8848,0,3506
2024-05-29T15:54:49.879920,140.5421,0,3506
2024-05-29T15:54:50.379870,80.7400,0,3506
2024-05-29T15:54:50.879937,112.1943,0,3506
2024-05-29T15:54:51.379968,71.2960,0,3506
2024-05-29T15:54:51.879919,71.3063,0,3506
2024-05-29T15:54:52.380101,122.6697,0,3506
2024-05-29T15:54:52.879900,161.5143,0,3506
2024-05-29T15:54:53.379951,112.1918,0,3506
2024-05-29T15:54:53.879987,116.3812,0,3506
2024-05-29T15:54:54.379967,124.7820,0,3506
2024-05-29T15:54:54.879899,126.8952,30,5
2024-05-29T15:54:55.379894,123.7332,0,5
2024-05-29T15:54:55.879896,112.1974,0,5
2024-05-29T15:54:56.379975,103.7895,0,5
2024-05-29T15:54:56.879938,152.0636,0,5
2024-05-29T15:54:57.379849,116.4019,0,5
2024-05-29T15:54:57.879883,123.7275,0,5
2024-05-29T15:54:58.379888,139.4626,0,5
2024-05-29T15:54:58.880101,69.1839,0,5
2024-05-29T15:54:59.379994,76.5709,0,5
2024-05-29T15:54:59.879906,145.7480,0,5
2024-05-29T15:55:00.380016,102.7403,0,5
2024-05-29T15:55:00.880038,121.6307,0,5
2024-05-29T15:55:01.379840,166.7703,0,5
2024-05-29T15:55:01.879897,144.6986,0,5
2024-05-29T15:55:02.379915,164.6228,0,5
2024-05-29T15:55:02.879896,143.6483,0,5
2024-05-29T15:55:03.379891,160.4437,0,5
2024-05-29T15:55:03.879995,143.6293,0,5
2024-05-29T15:55:04.379935,156.2566,233,2371
2024-05-29T15:55:04.879977,147.8324,1,2371
2024-05-29T15:55:05.379884,144.7287,0,2371
2024-05-29T15:55:05.879893,138.4109,0,2371
2024-05-29T15:55:06.380048,128.9715,0,2371
2024-05-29T15:55:06.879972,127.9109,0,2371
2024-05-29T15:55:07.379923,156.2606,0,2371
2024-05-29T15:55:07.879930,145.7457,0,2371
2024-05-29T15:55:08.379894,165.6826,0,2371
2024-05-29T15:55:08.879975,150.9735,0,2371
2024-05-29T15:55:09.379860,113.2630,0,2371
2024-05-29T15:55:09.880042,46.1262,0,2371
2024-05-29T15:55:10.379898,200.3249,0,2371
2024-05-29T15:55:10.879905,150.9898,0,2371
2024-05-29T15:55:11.380103,137.3475,0,2371
2024-05-29T15:55:11.879885,160.4575,0,2371
2024-05-29T15:55:12.379886,155.1896,0,2371
2024-05-29T15:55:12.879916,164.6198,18,3932
2024-05-29T15:55:13.379884,180.3616,0,3932
2024-05-29T15:55:13.879914,192.9361,0,3932
2024-05-29T15:55:14.379896,169.8680,0,3932
2024-05-29T15:55:14.879887,180.3641,0,3932
2024-05-29T15:55:15.380062,120.5494,0,3932
2024-05-29T15:55:15.879908,250.6768,0,3932
2024-05-29T15:55:16.379942,221.2349,0,3932
2024-05-29T15:55:16.879917,199.2362,0,3932
2024-05-29T15:55:17.379968,178.2380,0,3932
2024-05-29T15:55:17.879944,188.7576,0,3932
2024-05-29T15:55:18.379899,200.2888,0,3932
2024-05-29T15:55:18.879911,216.0075,11,4136
2024-05-29T15:55:19.379888,202.3784,0,4136
2024-05-29T15:55:19.879920,73.3991,0,4136
2024-05-29T15:55:20.379817,207.6297,0,4136
2024-05-29T15:55:20.880017,204.4588,0,4136
2024-05-29T15:55:21.379818,217.0696,0,4136
2024-05-29T15:55:21.879956,204.4445,0,4136
2024-05-29T15:55:22.379906,208.6808,0,4136
2024-05-29T15:55:22.879910,197.1354,0,4136
2024-05-29T15:55:23.379878,180.3576,0,4136
2024-05-29T15:55:23.879967,202.3468,0,4136
2024-05-29T15:55:24.379980,208.6583,0,4136
2024-05-29T15:55:24.879891,165.6899,0,4136
2024-05-29T11:16:48.560364,8.3846,0,13
2024-05-29T11:16:49.059153,15.7356,0,13
2024-05-29T11:16:49.559284,34.6007,0,13
2024-05-29T11:16:50.059024,40.8954,0,13
2024-05-29T11:16:50.559254,46.1349,0,13
2024-05-29T11:16:51.059058,49.2862,0,13
2024-05-29T11:16:51.558998,48.2264,0,13
2024-05-29T11:16:52.059209,27.2588,0,13
2024-05-29T11:16:52.558902,62.9336,0,13
2024-05-29T11:16:53.058980,52.4214,0,13
2024-05-29T11:16:53.558897,48.2411,0,13
2024-05-29T11:16:54.058891,53.4786,0,13
2024-05-29T11:16:54.558897,54.5257,0,13
2024-05-29T11:16:55.058900,56.6224,0,13
2024-05-29T11:16:55.558930,61.8657,0,13
2024-05-29T11:16:56.058893,61.8669,0,13
2024-05-29T11:16:56.558817,62.9166,0,13
2024-05-29T11:16:57.059234,62.8711,0,13
2024-05-29T11:16:57.558892,59.8078,0,13
2024-05-29T11:16:58.058904,60.8174,0,13
2024-05-29T11:16:58.559091,48.2200,0,13
2024-05-29T11:16:59.058882,38.8094,0,13
2024-05-29T11:16:59.558901,63.9617,0,13
2024-05-29T11:17:00.059037,58.7217,0,13
2024-05-29T11:17:00.559051,54.5111,0,13
2024-05-29T11:17:01.058959,67.1192,0,13
2024-05-29T11:17:01.558909,59.7750,0,13
2024-05-29T11:17:02.058999,60.8211,0,13
2024-05-29T11:17:02.559911,44.9981,0,13
2024-05-29T11:17:03.058901,72.4930,0,13
2024-05-29T11:17:03.558902,68.1569,0,13
