time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-27T16:16:13.694293,20.3,263352,264259,1e+02
2024-05-27T16:16:13.694398,15.5,-692,0,0
2024-05-27T16:16:13.694502,15.8,6495,7199,90
2024-05-27T16:16:13.694606,15.8,9290,9994,93
2024-05-27T16:16:13.694712,17.0,2771,3532,78
2024-05-27T16:16:13.694814,18.7,1751,2585,68
2024-05-27T16:16:13.694913,18.3,1974,2792,71
2024-05-27T16:16:13.695013,17.5,1732,2513,69
2024-05-27T16:16:13.695116,22.8,2286,3303,69
2024-05-27T16:16:13.695220,23.8,2384,3448,69
2024-05-27T16:16:13.695320,25.6,2432,3576,68
2024-05-27T16:16:13.695423,16.3,1584,2312,69
2024-05-27T16:16:13.695525,15.8,1579,2284,69
2024-05-27T16:16:13.695625,14.1,1347,1977,68
2024-05-27T16:16:13.695827,12.2,1178,1722,68
2024-05-27T16:16:13.695934,11.1,1088,1585,69
2024-05-27T16:16:13.696037,12.3,1206,1754,69
2024-05-27T16:16:13.696141,11.6,1140,1660,69
2024-05-27T16:16:13.696241,11.9,1123,1655,68
2024-05-27T16:16:13.696343,10.5,1014,1482,68
2024-05-27T16:16:13.696446,9.90,1018,1460,70
2024-05-27T16:16:13.696549,10.2,975,1431,68
2024-05-27T16:16:13.696648,11.9,1119,1651,68
2024-05-27T16:16:13.696748,12.3,1193,1740,69
2024-05-27T16:16:13.696847,11.7,1046,1567,67
2024-05-27T16:16:13.696946,9.32,838,1254,67
2024-05-27T16:16:13.697045,10.1,884,1335,66
2024-05-27T16:16:13.697145,8.87,833,1229,68
2024-05-27T16:16:13.697243,8.33,847,1219,69
2024-05-27T16:16:13.697339,3.11,596614,596753,1e+02
2024-05-27T16:16:13.697439,16.4,-313,419,-75
2024-05-27T16:16:13.697538,17.6,-785,0,0
2024-05-27T16:16:13.697635,17.7,228,1018,22
2024-05-27T16:16:13.697735,16.6,3976,4715,84
2024-05-27T16:16:13.697874,16.4,3773,4505,84
2024-05-27T16:16:13.697981,17.1,4063,4826,84
2024-05-27T16:16:13.698084,19.7,4878,5756,85
2024-05-27T16:16:13.698182,19.8,2416,3299,73
2024-05-27T16:16:13.698282,21.1,1355,2296,59
2024-05-27T16:16:13.698379,25.6,1743,2886,60
2024-05-27T16:16:13.698477,24.5,1575,2669,59
2024-05-27T16:16:13.698574,26.0,1838,3000,61
2024-05-27T16:16:13.698674,19.5,1374,2246,61
2024-05-27T16:16:13.698777,31.9,2053,3476,59
2024-05-27T16:16:13.698876,37.2,2356,4016,59
2024-05-27T16:16:13.698974,40.6,2560,4371,59
2024-05-27T16:16:38.692334,42.8,2752,4662,59
2024-05-27T16:16:38.692719,40.5,2730,4539,60
2024-05-27T16:16:38.692918,52.0,3302,5625,59
2024-05-27T16:16:38.693030,49.9,3047,5276,58
2024-05-27T16:16:38.693169,49.7,32603,34820,94
2024-05-27T16:16:38.693271,55.6,66616,69096,96
2024-05-27T16:16:38.693370,17.4,25096,25871,97
2024-05-27T16:16:38.693473,57.1,50255,52805,95
2024-05-27T16:16:38.693571,61.4,53995,56737,95
2024-05-27T16:16:38.693670,44.0,28878,30841,94
2024-05-27T16:16:38.693792,56.5,28417,30941,92
2024-05-27T16:16:38.693890,54.0,28697,31109,92
2024-05-27T16:16:38.693990,37.1,17017,18675,91
2024-05-27T16:16:38.694087,30.6,13106,14470,91
2024-05-27T16:16:38.694185,50.6,21832,24093,91
2024-05-27T16:16:38.694282,54.3,21386,23808,90
2024-05-27T16:16:38.694457,47.4,19973,22087,90
2024-05-27T16:16:38.694554,58.5,33759,36370,93
2024-05-27T16:16:38.694791,37.7,14080,15763,89
2024-05-27T16:16:38.695055,45.4,17886,19912,90
2024-05-27T16:16:38.695236,52.8,17971,20329,88
2024-05-27T16:16:38.695337,49.1,17760,19950,89
2024-05-27T16:16:38.695614,48.3,17913,20069,89
2024-05-27T16:16:38.696059,42.2,20736,22620,92
