Start time: 1716845496117
[2024-05-27 17:31:36.230048] PING 35.245.244.238 (35.245.244.238) 38(66) bytes of data.
[2024-05-27 17:31:36.230806] 46 bytes from 35.245.244.238: icmp_seq=1 ttl=56 time=76.2 ms
[2024-05-27 17:31:36.417184] 46 bytes from 35.245.244.238: icmp_seq=2 ttl=56 time=60.8 ms
[2024-05-27 17:31:36.616330] 46 bytes from 35.245.244.238: icmp_seq=3 ttl=56 time=59.4 ms
[2024-05-27 17:31:36.817302] 46 bytes from 35.245.244.238: icmp_seq=4 ttl=56 time=56.7 ms
[2024-05-27 17:31:37.018131] 46 bytes from 35.245.244.238: icmp_seq=5 ttl=56 time=56.5 ms
[2024-05-27 17:31:37.224101] 46 bytes from 35.245.244.238: icmp_seq=6 ttl=56 time=63.1 ms
[2024-05-27 17:31:37.417456] 46 bytes from 35.245.244.238: icmp_seq=7 ttl=56 time=54.4 ms
[2024-05-27 17:31:37.624766] 46 bytes from 35.245.244.238: icmp_seq=8 ttl=56 time=60.9 ms
[2024-05-27 17:31:37.816930] 46 bytes from 35.245.244.238: icmp_seq=9 ttl=56 time=50.7 ms
[2024-05-27 17:31:38.026594] 46 bytes from 35.245.244.238: icmp_seq=10 ttl=56 time=58.3 ms
[2024-05-27 17:31:38.226121] 46 bytes from 35.245.244.238: icmp_seq=11 ttl=56 time=58.7 ms
[2024-05-27 17:31:38.427100] 46 bytes from 35.245.244.238: icmp_seq=12 ttl=56 time=58.3 ms
[2024-05-27 17:31:38.628069] 46 bytes from 35.245.244.238: icmp_seq=13 ttl=56 time=58.4 ms
[2024-05-27 17:31:38.827263] 46 bytes from 35.245.244.238: icmp_seq=14 ttl=56 time=56.0 ms
[2024-05-27 17:31:39.026899] 46 bytes from 35.245.244.238: icmp_seq=15 ttl=56 time=53.8 ms
[2024-05-27 17:31:39.226201] 46 bytes from 35.245.244.238: icmp_seq=16 ttl=56 time=52.8 ms
[2024-05-27 17:31:39.426082] 46 bytes from 35.245.244.238: icmp_seq=17 ttl=56 time=49.3 ms
[2024-05-27 17:31:39.638484] 46 bytes from 35.245.244.238: icmp_seq=18 ttl=56 time=59.8 ms
[2024-05-27 17:31:39.837595] 46 bytes from 35.245.244.238: icmp_seq=19 ttl=56 time=56.7 ms
[2024-05-27 17:31:40.037308] 46 bytes from 35.245.244.238: icmp_seq=20 ttl=56 time=55.3 ms
[2024-05-27 17:31:40.236068] 46 bytes from 35.245.244.238: icmp_seq=21 ttl=56 time=55.4 ms
[2024-05-27 17:31:40.444694] 46 bytes from 35.245.244.238: icmp_seq=22 ttl=56 time=62.6 ms
[2024-05-27 17:31:40.637168] 46 bytes from 35.245.244.238: icmp_seq=23 ttl=56 time=53.1 ms
[2024-05-27 17:31:40.848245] 46 bytes from 35.245.244.238: icmp_seq=24 ttl=56 time=62.7 ms
[2024-05-27 17:31:41.037619] 46 bytes from 35.245.244.238: icmp_seq=25 ttl=56 time=50.9 ms
[2024-05-27 17:31:41.235982] 46 bytes from 35.245.244.238: icmp_seq=26 ttl=56 time=50.1 ms
[2024-05-27 17:31:41.436934] 46 bytes from 35.245.244.238: icmp_seq=27 ttl=56 time=49.9 ms
[2024-05-27 17:31:41.651395] 46 bytes from 35.245.244.238: icmp_seq=28 ttl=56 time=60.8 ms
[2024-05-27 17:31:41.846740] 46 bytes from 35.245.244.238: icmp_seq=29 ttl=56 time=56.3 ms
[2024-05-27 17:31:42.047590] 46 bytes from 35.245.244.238: icmp_seq=30 ttl=56 time=56.2 ms
[2024-05-27 17:31:42.246054] 46 bytes from 35.245.244.238: icmp_seq=31 ttl=56 time=56.0 ms
[2024-05-27 17:31:42.447165] 46 bytes from 35.245.244.238: icmp_seq=32 ttl=56 time=56.7 ms
[2024-05-27 17:31:42.647068] 46 bytes from 35.245.244.238: icmp_seq=33 ttl=56 time=54.9 ms
[2024-05-27 17:31:42.846737] 46 bytes from 35.245.244.238: icmp_seq=34 ttl=56 time=53.7 ms
[2024-05-27 17:31:43.046242] 46 bytes from 35.245.244.238: icmp_seq=35 ttl=56 time=51.9 ms
[2024-05-27 17:31:43.257033] 46 bytes from 35.245.244.238: icmp_seq=36 ttl=56 time=62.5 ms
[2024-05-27 17:31:43.457443] 46 bytes from 35.245.244.238: icmp_seq=37 ttl=56 time=60.9 ms
[2024-05-27 17:31:43.647275] 46 bytes from 35.245.244.238: icmp_seq=38 ttl=56 time=50.1 ms
[2024-05-27 17:31:43.846401] 46 bytes from 35.245.244.238: icmp_seq=39 ttl=56 time=49.2 ms
[2024-05-27 17:31:44.057348] 46 bytes from 35.245.244.238: icmp_seq=40 ttl=56 time=57.4 ms
[2024-05-27 17:31:44.256035] 46 bytes from 35.245.244.238: icmp_seq=41 ttl=56 time=56.3 ms
[2024-05-27 17:31:44.456030] 46 bytes from 35.245.244.238: icmp_seq=42 ttl=56 time=55.7 ms
[2024-05-27 17:31:44.660068] 46 bytes from 35.245.244.238: icmp_seq=43 ttl=56 time=57.7 ms
[2024-05-27 17:31:44.857126] 46 bytes from 35.245.244.238: icmp_seq=44 ttl=56 time=53.3 ms
[2024-05-27 17:31:45.056875] 46 bytes from 35.245.244.238: icmp_seq=45 ttl=56 time=52.2 ms
[2024-05-27 17:31:45.265958] 46 bytes from 35.245.244.238: icmp_seq=46 ttl=56 time=61.7 ms
[2024-05-27 17:31:45.464842] 46 bytes from 35.245.244.238: icmp_seq=47 ttl=56 time=57.6 ms
[2024-05-27 17:31:45.666008] 46 bytes from 35.245.244.238: icmp_seq=48 ttl=56 time=58.6 ms
[2024-05-27 17:31:45.866233] 46 bytes from 35.245.244.238: icmp_seq=49 ttl=56 time=57.8 ms
[2024-05-27 17:31:46.067057] 46 bytes from 35.245.244.238: icmp_seq=50 ttl=56 time=56.4 ms
