Start time: 1716923220273
[2024-05-28 15:07:23.137659] Connecting to host 35.245.244.238, port 5201
[2024-05-28 15:07:23.138271] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:07:23.138309] [  5] local 100.118.80.242 port 58248 connected to 35.245.244.238 port 5201
[2024-05-28 15:07:23.138340] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:07:23.138374] [  5]   0.00-0.50   sec  19.1 KBytes   313 Kbits/sec  240139210652.289 ms  391063/391077 (1e+02%)  
[2024-05-28 15:07:23.138402] [  5]   0.50-1.00   sec  6.84 KBytes   112 Kbits/sec  173907960023.930 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138429] [  5]   1.00-1.50   sec  6.84 KBytes   112 Kbits/sec  125943524498.078 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138456] [  5]   1.50-2.00   sec  6.84 KBytes   112 Kbits/sec  91207851330.024 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138483] [  5]   2.00-2.50   sec  6.84 KBytes   112 Kbits/sec  66052400688.116 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138509] [  5]   2.50-3.00   sec  6.84 KBytes   112 Kbits/sec  47834913038.618 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138535] [  5]   3.00-3.50   sec  6.84 KBytes   112 Kbits/sec  34641873445.339 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138559] [  5]   3.50-4.00   sec  5.47 KBytes  89.4 Kbits/sec  26760022632.693 ms  -4/0 (0%)  
[2024-05-28 15:07:23.138631] [  5]   4.00-4.50   sec  6.84 KBytes   112 Kbits/sec  19379512965.736 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138654] [  5]   4.50-5.00   sec  6.84 KBytes   112 Kbits/sec  14034574184.248 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138677] [  5]   5.00-5.50   sec  6.84 KBytes   112 Kbits/sec  10163788578.298 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138699] [  5]   5.50-6.00   sec  6.84 KBytes   112 Kbits/sec  7360579445.560 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138721] [  5]   6.00-6.50   sec  6.84 KBytes   112 Kbits/sec  5330505387.285 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138744] [  5]   6.50-7.00   sec  6.84 KBytes   112 Kbits/sec  3860332993.521 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138768] [  5]   7.00-7.50   sec  6.84 KBytes   112 Kbits/sec  2795639389.162 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138790] [  5]   7.50-8.00   sec  6.84 KBytes   112 Kbits/sec  2024592076.933 ms  -5/0 (0%)  
[2024-05-28 15:07:23.138812] [  5]   8.00-8.50   sec  6.84 KBytes   112 Kbits/sec  1466202363.782 ms  6520/6525 (1e+02%)  
[2024-05-28 15:07:23.138834] [  5]   8.50-9.00   sec  6.84 KBytes   112 Kbits/sec  1061818524.854 ms  22235/22240 (1e+02%)  
[2024-05-28 15:07:23.138858] [  5]   9.00-9.50   sec  6.84 KBytes   112 Kbits/sec  768965190.215 ms  22358/22363 (1e+02%)  
[2024-05-28 15:07:23.138880] [  5]   9.50-10.00  sec  6.84 KBytes   112 Kbits/sec  556881848.769 ms  22269/22274 (1e+02%)  
[2024-05-28 15:07:23.138903] [  5]  10.00-10.50  sec  6.84 KBytes   112 Kbits/sec  403291849.599 ms  22275/22280 (1e+02%)  
[2024-05-28 15:07:23.138927] [  5]  10.50-11.00  sec  6.84 KBytes   112 Kbits/sec  292062520.397 ms  22494/22499 (1e+02%)  
[2024-05-28 15:07:23.138949] [  5]  11.00-11.50  sec  6.84 KBytes   112 Kbits/sec  211510635.887 ms  22227/22232 (1e+02%)  
[2024-05-28 15:07:23.138972] [  5]  11.50-12.00  sec  6.84 KBytes   112 Kbits/sec  153175248.442 ms  22318/22323 (1e+02%)  
[2024-05-28 15:07:23.138995] [  5]  12.00-12.50  sec  6.84 KBytes   112 Kbits/sec  110928968.783 ms  22315/22320 (1e+02%)  
[2024-05-28 15:07:23.139018] [  5]  12.50-13.00  sec  6.84 KBytes   112 Kbits/sec  80334365.480 ms  22274/22279 (1e+02%)  
