time,rtt_ms,operator
2024-05-28T17:56:49.794930-04:00,185,verizon
2024-05-28T17:56:49.965033-04:00,156,verizon
2024-05-28T17:56:50.310037-04:00,300,verizon
2024-05-28T17:56:50.319605-04:00,102,verizon
2024-05-28T17:56:50.834159-04:00,416,verizon
2024-05-28T17:56:50.834740-04:00,209,verizon
2024-05-28T17:56:51.256681-04:00,422,verizon
2024-05-28T17:56:51.257482-04:00,222,verizon
2024-05-28T17:56:51.675580-04:00,429,verizon
2024-05-28T17:56:51.680192-04:00,235,verizon
2024-05-28T17:56:51.902440-04:00,249,verizon
2024-05-28T17:56:51.904203-04:00,50.4,verizon
2024-05-28T17:56:52.476872-04:00,421,verizon
2024-05-28T17:56:52.507656-04:00,251,verizon
2024-05-28T17:56:52.776789-04:00,310,verizon
2024-05-28T17:56:52.783385-04:00,118,verizon
2024-05-28T17:56:52.948569-04:00,82.5,verizon
2024-05-28T17:56:53.114727-04:00,46.3,verizon
2024-05-28T17:56:53.459698-04:00,190,verizon
2024-05-28T17:56:53.793003-04:00,323,verizon
2024-05-28T17:56:53.794657-04:00,117,verizon
2024-05-28T17:56:54.195312-04:00,317,verizon
2024-05-28T17:56:54.197223-04:00,112,verizon
2024-05-28T17:56:54.616008-04:00,328,verizon
2024-05-28T17:56:54.616209-04:00,128,verizon
2024-05-28T17:56:55.074631-04:00,385,verizon
2024-05-28T17:56:55.077204-04:00,180,verizon
2024-05-28T17:56:55.272662-04:00,175,verizon
2024-05-28T17:56:55.475516-04:00,175,verizon
2024-05-28T17:56:56.082022-04:00,581,verizon
2024-05-28T17:56:56.103320-04:00,393,verizon
2024-05-28T17:56:56.104199-04:00,186,verizon
2024-05-28T17:56:56.530111-04:00,412,verizon
2024-05-28T17:56:56.535131-04:00,210,verizon
2024-05-28T17:56:56.942249-04:00,411,verizon
2024-05-28T17:56:56.942834-04:00,209,verizon
2024-05-28T17:56:57.145456-04:00,203,verizon
2024-05-28T17:56:57.497629-04:00,354,verizon
2024-05-28T17:56:57.505174-04:00,160,verizon
2024-05-28T17:56:58.039126-04:00,493,verizon
2024-05-28T17:56:58.041111-04:00,288,verizon
2024-05-28T17:56:58.055243-04:00,94.6,verizon
2024-05-28T17:56:58.296558-04:00,135,verizon
2024-05-28T17:56:58.598426-04:00,237,verizon
2024-05-28T17:56:58.923694-04:00,353,verizon
2024-05-28T17:56:58.924573-04:00,152,verizon
2024-05-28T17:56:59.075983-04:00,103,verizon
2024-05-28T17:56:59.580681-04:00,408,verizon
2024-05-28T17:56:59.587265-04:00,206,verizon
2024-05-28T17:56:59.942781-04:00,360,verizon
2024-05-28T17:56:59.943337-04:00,161,verizon
2024-05-28T17:57:00.136428-04:00,152,verizon
2024-05-28T17:57:00.456628-04:00,272,verizon
2024-05-28T17:57:00.457010-04:00,63.9,verizon
2024-05-28T17:57:00.676976-04:00,83.6,verizon
2024-05-28T17:57:01.075284-04:00,280,verizon
2024-05-28T17:57:01.076325-04:00,74.7,verizon
2024-05-28T17:57:01.461798-04:00,258,verizon
2024-05-28T17:57:01.753847-04:00,349,verizon
2024-05-28T17:57:01.754500-04:00,149,verizon
2024-05-28T17:57:01.986570-04:00,180,verizon
2024-05-28T17:57:02.136427-04:00,129,verizon
2024-05-28T17:57:02.355903-04:00,147,verizon
2024-05-28T17:57:02.602740-04:00,194,verizon
2024-05-28T17:57:02.663463-04:00,53.7,verizon
2024-05-28T17:57:02.909324-04:00,99.6,verizon
2024-05-28T17:57:03.097642-04:00,86.5,verizon
2024-05-28T17:57:03.416081-04:00,204,verizon
2024-05-28T17:57:03.495727-04:00,79.3,verizon
2024-05-28T17:57:03.706672-04:00,87.0,verizon
2024-05-28T17:57:03.884626-04:00,65.2,verizon
2024-05-28T17:57:04.144984-04:00,123,verizon
2024-05-28T17:57:04.319280-04:00,96.3,verizon
2024-05-28T17:57:04.521293-04:00,97.5,verizon
2024-05-28T17:57:04.676581-04:00,52.7,verizon
2024-05-28T17:57:04.988708-04:00,163,verizon
2024-05-28T17:57:05.075318-04:00,47.4,verizon
2024-05-28T17:57:05.311350-04:00,82.4,verizon
2024-05-28T17:57:05.547222-04:00,117,verizon
2024-05-28T17:57:05.707861-04:00,77.7,verizon
2024-05-28T17:57:05.948592-04:00,118,verizon
2024-05-28T17:57:06.099954-04:00,67.3,verizon
2024-05-28T17:57:06.285633-04:00,51.1,verizon
2024-05-28T17:57:06.498596-04:00,62.3,verizon
2024-05-28T17:57:06.696565-04:00,59.2,verizon
2024-05-28T17:57:06.899281-04:00,61.7,verizon
2024-05-28T17:57:07.096574-04:00,56.7,verizon
2024-05-28T17:57:07.297700-04:00,57.2,verizon
2024-05-28T17:57:07.496548-04:00,55.0,verizon
2024-05-28T17:57:07.705781-04:00,62.4,verizon
2024-05-28T17:57:07.895364-04:00,51.1,verizon
2024-05-28T17:57:08.113710-04:00,66.5,verizon
2024-05-28T17:57:08.293614-04:00,45.8,verizon
2024-05-28T17:57:08.507853-04:00,58.1,verizon
2024-05-28T17:57:08.715732-04:00,64.1,verizon
2024-05-28T17:57:08.906700-04:00,55.6,verizon
2024-05-28T17:57:09.107317-04:00,54.8,verizon
2024-05-28T17:57:09.308359-04:00,54.4,verizon
2024-05-28T17:57:09.517414-04:00,62.5,verizon
2024-05-28T17:57:09.707741-04:00,51.5,verizon
2024-05-28T17:57:09.915005-04:00,58.4,verizon
2024-05-28T17:57:10.116816-04:00,58.0,verizon
2024-05-28T17:57:10.318019-04:00,56.3,verizon
2024-05-28T17:57:10.517560-04:00,54.0,verizon
2024-05-28T17:57:10.727863-04:00,62.9,verizon
2024-05-28T17:57:10.936847-04:00,72.0,verizon
2024-05-28T17:57:11.128457-04:00,61.3,verizon
2024-05-28T17:57:11.339851-04:00,72.1,verizon
2024-05-28T17:57:11.540480-04:00,71.0,verizon
2024-05-28T17:57:11.738755-04:00,68.6,verizon
2024-05-28T17:57:11.936666-04:00,66.5,verizon
2024-05-28T17:57:12.137737-04:00,64.5,verizon
2024-05-28T17:57:12.337111-04:00,63.0,verizon
2024-05-28T17:57:12.547505-04:00,71.8,verizon
2024-05-28T17:57:12.737620-04:00,60.3,verizon
2024-05-28T17:57:12.962870-04:00,84.6,verizon
2024-05-28T17:57:13.137597-04:00,58.0,verizon
2024-05-28T17:57:13.338826-04:00,57.4,verizon
2024-05-28T17:57:13.547557-04:00,65.4,verizon
2024-05-28T17:57:13.748667-04:00,65.9,verizon
2024-05-28T17:57:13.954779-04:00,72.3,verizon
2024-05-28T17:57:14.148731-04:00,64.2,verizon
2024-05-28T17:57:14.357801-04:00,72.2,verizon
2024-05-28T17:57:14.547088-04:00,61.1,verizon
2024-05-28T17:57:14.757940-04:00,68.7,verizon
2024-05-28T17:57:14.956629-04:00,67.3,verizon
2024-05-28T17:57:15.159014-04:00,66.5,verizon
2024-05-28T17:57:15.357751-04:00,63.1,verizon
2024-05-28T17:57:15.557560-04:00,61.3,verizon
2024-05-28T17:57:15.757700-04:00,60.3,verizon
2024-05-28T17:57:15.966967-04:00,68.4,verizon
2024-05-28T17:57:16.168010-04:00,66.1,verizon
2024-05-28T17:57:16.367784-04:00,63.9,verizon
2024-05-28T17:57:16.577712-04:00,72.6,verizon
2024-05-28T17:57:16.767152-04:00,61.6,verizon
2024-05-28T17:57:16.976638-04:00,69.6,verizon
2024-05-28T17:57:17.167323-04:00,58.3,verizon
2024-05-28T17:57:17.368057-04:00,56.9,verizon
2024-05-28T17:57:17.566667-04:00,55.8,verizon
2024-05-28T17:57:17.767766-04:00,55.2,verizon
2024-05-28T17:57:17.966683-04:00,54.2,verizon
2024-05-28T17:57:18.167667-04:00,53.1,verizon
2024-05-28T17:57:18.367855-04:00,51.3,verizon
2024-05-28T17:57:18.577498-04:00,59.9,verizon
2024-05-28T17:57:18.778513-04:00,59.4,verizon
2024-05-28T17:57:18.976520-04:00,57.3,verizon
2024-05-28T17:57:19.176887-04:00,56.2,verizon
2024-05-28T17:57:19.377783-04:00,53.6,verizon
2024-05-28T17:57:19.577536-04:00,51.5,verizon
