time,throughput_mbps,pkt_drop,pkt_total,loss
2024-05-28T18:08:34.789933,3.5836,0,160,0.00
2024-05-28T18:08:35.247995,5.1298,0,229,0.00
2024-05-28T18:08:35.831692,5.1515,0,230,0.00
2024-05-28T18:08:36.388540,5.4660,0,244,0.00
2024-05-28T18:08:36.839958,5.1510,0,230,0.00
2024-05-28T18:08:39.073344,3.0467,0,136,0.00
2024-05-28T18:08:39.073680,0.0896,0,4,0.00
2024-05-28T18:08:39.073806,0.1120,0,5,0.00
2024-05-28T18:08:39.073914,0.0672,0,3,0.00
2024-05-28T18:08:41.289048,0.2912,0,13,0.00
2024-05-28T18:08:41.289460,0.1344,0,6,0.00
2024-05-28T18:08:41.289592,0.1792,0,8,0.00
2024-05-28T18:08:41.289705,0.1792,0,8,0.00
2024-05-28T18:08:41.289807,0.5823,0,26,0.00
2024-05-28T18:08:42.169568,4.7270,0,211,0.00
2024-05-28T18:08:42.276543,3.9423,0,176,0.00
2024-05-28T18:08:42.775453,6.0480,0,270,0.00
2024-05-28T18:08:43.284808,5.7565,0,257,0.00
2024-05-28T18:08:43.871516,6.3840,0,285,0.00
2024-05-28T18:08:44.276674,6.8310,0,305,0.00
2024-05-28T18:08:44.831548,6.3846,0,285,0.00
2024-05-28T18:08:45.635084,5.9815,0,267,0.00
2024-05-28T18:08:45.842977,4.4575,0,199,0.00
2024-05-28T18:08:46.243627,2.9566,0,132,0.00
2024-05-28T18:08:46.960418,3.5394,0,158,0.00
2024-05-28T18:08:47.574255,2.5762,0,115,0.00
2024-05-28T18:08:48.081169,2.5981,0,116,0.00
2024-05-28T18:08:48.634904,3.2931,0,147,0.00
2024-05-28T18:08:48.791906,2.4862,0,111,0.00
2024-05-28T18:08:49.697442,2.9567,0,132,0.00
2024-05-28T18:08:49.851600,2.0162,0,90,0.00
2024-05-28T18:08:50.460623,3.3597,0,150,0.00
2024-05-28T18:08:51.010748,2.0609,0,92,0.00
2024-05-28T18:08:51.713020,0.4480,0,20,0.00
2024-05-28T18:08:52.216884,1.0528,0,47,0.00
2024-05-28T18:08:52.772859,1.7919,0,80,0.00
2024-05-28T18:08:52.773369,1.0976,0,49,0.00
2024-05-28T18:08:53.277928,1.7248,0,77,0.00
2024-05-28T18:08:53.782486,1.7248,0,77,0.00
2024-05-28T18:08:54.500786,2.4192,0,108,0.00
2024-05-28T18:08:55.062297,1.7920,0,80,0.00
2024-05-28T18:08:56.167830,0.4480,0,20,0.00
2024-05-28T18:08:56.169670,0.0224,0,1,0.00
2024-05-28T18:08:56.726687,0.8064,0,36,0.00
2024-05-28T18:08:57.182532,1.2320,0,55,0.00
2024-05-28T18:08:57.743147,1.7920,0,80,0.00
2024-05-28T18:08:57.743608,2.0605,0,92,0.00
2024-05-28T18:08:58.396151,1.9711,0,88,0.00
2024-05-28T18:08:58.845005,1.9268,0,86,0.00
2024-05-28T18:08:59.355844,1.7469,0,78,0.00
2024-05-28T18:09:00.469711,1.5458,0,69,0.00
2024-05-28T18:09:00.470324,1.1871,0,53,0.00
2024-05-28T18:09:00.973487,1.4784,0,66,0.00
2024-05-28T18:09:01.528314,1.9040,0,85,0.00
2024-05-28T18:09:02.034602,1.7249,0,77,0.00
2024-05-28T18:09:02.696409,1.4560,0,65,0.00
2024-05-28T18:09:03.205673,1.7023,0,76,0.00
2024-05-28T18:09:03.711614,1.8369,0,82,0.00
2024-05-28T18:09:04.269022,1.6577,0,74,0.00
2024-05-28T18:09:04.269564,1.6352,0,73,0.00
2024-05-28T18:09:04.823595,1.3887,0,62,0.00
2024-05-28T18:09:05.329462,1.1424,0,51,0.00
2024-05-28T18:09:05.888597,1.2992,0,58,0.00
2024-05-28T18:09:07.056310,1.3441,0,60,0.00
2024-05-28T18:09:07.056613,0.8288,0,37,0.00
2024-05-28T18:09:08.592829,0.6719,0,30,0.00
2024-05-28T18:09:08.593336,0.3136,0,14,0.00
2024-05-28T18:09:08.593475,0.5600,0,25,0.00
2024-05-28T18:09:11.307837,0.3360,0,15,0.00
2024-05-28T18:09:12.720948,0.0000,0,0,0.00
2024-05-28T18:09:12.721599,0.0000,0,0,0.00
2024-05-28T18:09:12.721898,0.0000,0,0,0.00
2024-05-28T18:09:12.722199,0.0000,0,0,0.00
2024-05-28T18:09:12.722315,1.0974,7,56,12.50
2024-05-28T18:09:12.722419,1.9940,0,89,0.00
2024-05-28T18:09:12.722522,0.8288,0,37,0.00
2024-05-28T18:09:13.276672,0.9183,0,41,0.00
2024-05-28T18:09:13.277122,1.0304,0,46,0.00
2024-05-28T18:09:14.685351,0.6720,0,30,0.00
2024-05-28T18:09:14.685817,0.4032,0,18,0.00
2024-05-28T18:09:15.935425,0.2016,0,9,0.00
2024-05-28T18:09:15.935687,0.0448,0,2,0.00
2024-05-28T18:09:15.935728,0.3808,0,17,0.00
2024-05-28T18:09:16.887769,1.6577,0,74,0.00
2024-05-28T18:09:16.888229,0.6272,0,28,0.00
2024-05-28T18:09:17.901038,0.7615,0,34,0.00
2024-05-28T18:09:17.901479,0.5825,0,26,0.00
2024-05-28T18:09:18.457117,1.0304,0,46,0.00
2024-05-28T18:09:19.410022,0.8288,0,37,0.00
2024-05-28T18:09:19.410525,0.8287,0,37,0.00
2024-05-28T18:09:19.964545,1.2769,0,57,0.00
2024-05-28T18:09:21.031747,1.6128,0,72,0.00
2024-05-28T18:09:21.032274,0.9632,0,43,0.00
2024-05-28T18:09:21.748707,1.8816,0,84,0.00
2024-05-28T18:09:21.749230,0.9632,0,43,0.00
2024-05-28T18:09:22.711209,0.9633,0,43,0.00
2024-05-28T18:09:23.267356,0.8960,0,40,0.00
2024-05-28T18:09:23.269090,0.8063,0,36,0.00
2024-05-28T18:09:23.771766,1.3664,0,61,0.00
2024-05-28T18:09:24.276597,1.2992,0,58,0.00
2024-05-28T18:09:24.785990,1.6129,0,72,0.00
