Start time: 1716937509043
[2024-05-28 19:05:10.153539] nuttcp-t: v8.1.4: socket
[2024-05-28 19:05:10.154736] nuttcp-t: buflen=65536, nstream=1, port=5001 tcp -> 35.245.244.238
[2024-05-28 19:05:10.154854] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 19:05:10.154964] nuttcp-t: connect to 35.245.244.238 with mss=1376, RTT=54.226 ms af=inet
[2024-05-28 19:05:10.155057] nuttcp-t: send window size = 1048576, receive window size = 4194304
[2024-05-28 19:05:10.155143] nuttcp-t: available send window = 786432, available receive window = 3145728
[2024-05-28 19:05:10.155229] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-28 19:05:10.155320] nuttcp-r: v8.1.4: socket
[2024-05-28 19:05:10.155404] nuttcp-r: buflen=65536, nstream=1, port=5001 tcp
[2024-05-28 19:05:10.155486] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 19:05:10.155569] nuttcp-r: accept from 174.224.162.179 with af=inet
[2024-05-28 19:05:10.155652] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 19:05:10.155735] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 19:05:10.155845]     0.1250 MB /   0.50 sec =    2.0968 Mbps     0 retrans    216 KB-cwnd
[2024-05-28 19:05:13.475636]     0.1250 MB /   0.50 sec =    2.0973 Mbps     0 retrans    999 KB-cwnd
[2024-05-28 19:05:13.476016]     0.1875 MB /   0.50 sec =    3.1456 Mbps     0 retrans    999 KB-cwnd
[2024-05-28 19:05:13.476145]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans    999 KB-cwnd
[2024-05-28 19:05:13.476266]     0.1250 MB /   0.50 sec =    2.0970 Mbps     0 retrans    999 KB-cwnd
[2024-05-28 19:05:13.476374]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans    999 KB-cwnd
[2024-05-28 19:05:13.476512]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans    999 KB-cwnd
[2024-05-28 19:05:15.366287]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans   1053 KB-cwnd
[2024-05-28 19:05:15.366736]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans   1053 KB-cwnd
[2024-05-28 19:05:15.366879]     0.1875 MB /   0.50 sec =    3.1456 Mbps     0 retrans   1053 KB-cwnd
[2024-05-28 19:05:15.366993]     0.1875 MB /   0.50 sec =    3.1456 Mbps     0 retrans   1053 KB-cwnd
[2024-05-28 19:05:18.962631]     0.1875 MB /   0.50 sec =    3.1455 Mbps     0 retrans   1076 KB-cwnd
[2024-05-28 19:05:18.963087]     0.1250 MB /   0.50 sec =    2.0974 Mbps     0 retrans   1076 KB-cwnd
[2024-05-28 19:05:18.963252]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans   1076 KB-cwnd
[2024-05-28 19:05:18.963369]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans   1076 KB-cwnd
[2024-05-28 19:05:18.963477]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans   1076 KB-cwnd
